Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,37,1,3,0,37,46,9
0,1,0,68,1,3,0,31,39,8
0,2,28,68,0,5,28,0,1,29
0,3,65,68,0,3,37,0,10,47
0,4,95,68,0,12,30,0,9,39
0,5,95,73,1,6,0,5,15,10
0,6,95,109,1,9,0,36,11,0
1,0,45,0,0,6,45,0,9,54
1,1,45,30,1,5,0,30,39,9
1,2,60,30,0,5,15,0,3,18
1,3,60,51,1,5,0,21,31,10
1,4,60,61,1,14,0,10,18,8
1,5,93,61,0,6,33,0,8,41
1,6,176,61,0,1,83,0,0,58
2,0,7,0,0,6,7,0,7,14
2,1,7,51,1,2,0,51,55,4
2,2,42,51,0,4,35,0,8,43
2,3,42,53,1,8,0,2,12,10
2,4,42,70,1,5,0,17,25,8
2,5,42,78,1,9,0,8,18,10
2,6,42,103,1,5,0,25,30,5
3,0,28,0,0,7,28,0,6,34
3,1,28,31,1,8,0,31,33,2
3,2,28,43,1,8,0,12,20,8
3,3,28,61,1,9,0,18,23,5
3,4,28,79,1,11,0,18,21,3
3,5,28,98,1,7,0,19,28,9
3,6,28,103,1,7,0,5,12,7
4,0,18,0,0,6,18,0,7,25
4,1,18,42,1,4,0,42,52,10
4,2,23,42,0,9,5,0,8,13
4,3,23,70,1,4,0,28,29,1
4,4,49,70,0,4,26,0,7,33
4,5,94,70,0,7,45,0,4,49
4,6,101,70,0,4,7,0,10,17
5,0,0,28,1,6,0,28,38,10
5,1,0,32,1,10,0,4,12,8
5,2,0,42,1,6,0,10,19,9
5,3,0,90,1,3,0,48,57,9
5,4,0,101,1,11,0,11,20,9
6,0,17,0,0,4,17,0,10,27
6,1,43,0,0,8,26,0,8,34
6,2,43,7,1,9,0,7,11,4
6,3,73,7,0,5,30,0,7,37
6,4,97,7,0,10,24,0,8,32
6,5,97,29,1,7,0,22,31,9
6,6,97,34,1,6,0,5,13,8
6,7,126,34,0,5,29,0,10,39
7,0,0,13,1,9,0,13,18,5
7,1,0,28,1,6,0,15,24,9
7,2,11,28,0,12,11,0,9,20
7,3,11,52,1,3,0,24,29,5
7,4,11,64,1,4,0,12,14,2
7,5,11,78,1,15,0,14,18,4
7,6,47,78,0,6,36,0,1,37
7,7,47,114,1,11,0,36,11,0
8,0,39,0,0,7,39,0,6,45
8,1,55,0,0,5,16,0,9,25
8,2,92,0,0,6,37,0,10,47
8,3,92,20,1,8,0,20,22,2
8,4,115,20,0,5,23,0,9,32
9,0,0,28,1,6,0,28,33,5
9,1,0,86,1,4,0,58,33,0
9,2,26,86,0,7,26,0,10,36
9,3,76,86,0,3,50,0,7,57
9,4,76,129,1,1,0,43,53,10
10,0,0,5,1,10,0,5,13,8
10,1,0,12,1,10,0,7,15,8
10,2,18,12,0,8,18,0,6,24
10,3,18,15,1,9,0,3,12,9
10,4,59,15,0,6,41,0,1,42
10,5,68,15,0,5,9,0,3,12
10,6,68,24,1,7,0,9,18,9
10,7,68,50,1,4,0,26,35,9
10,8,121,50,0,3,53,0,6,59
11,0,0,17,1,8,0,17,26,9
11,1,0,29,1,7,0,12,19,7
11,2,0,35,1,8,0,6,13,7
11,3,0,58,1,6,0,23,28,5
11,4,0,72,1,9,0,14,23,9
11,5,13,72,0,10,13,0,1,14
11,6,13,135,1,3,0,63,70,7
12,0,0,27,1,3,0,27,37,10
12,1,0,46,1,2,0,19,26,7
12,2,0,47,1,4,0,1,11,10
12,3,0,68,1,6,0,21,26,5
12,4,12,68,0,10,12,0,6,18
12,5,19,68,0,8,7,0,9,16
12,6,55,68,0,3,36,0,9,45
12,7,55,70,1,6,0,2,11,9
12,8,94,70,0,8,39,0,6,45
12,9,94,89,1,6,0,19,29,10
12,10,94,107,1,5,0,18,28,10
