Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,76.0,36.0,1.6251741,2.064E-4
0,0,1,80.0,31.0,1.2619937,1.541E-4
0,0,2,51.0,30.0,1.1357579,8.85E-5
0,0,3,51.0,21.0,0.9751714,1.072E-4
0,0,4,51.0,17.0,0.8494522,9.03E-5
0,0,5,25.0,17.0,0.8483052,9.19E-5
0,0,6,25.0,17.0,0.8225461,1.003E-4
0,0,7,20.0,17.0,0.7623113,9.7E-5
0,0,8,20.0,8.0,0.6831084,1.33E-4
0,1,0,57.0,60.0,1.1447548,1.831E-4
0,1,1,61.0,52.0,1.0655856,7.62E-5
0,1,2,52.0,48.0,0.9706627,7.49E-5
0,1,3,23.0,42.0,0.9082678,8.76E-5
0,1,4,23.0,41.0,0.8519334,9.88E-5
0,1,5,22.0,41.0,0.7482478,1.474E-4
0,1,6,22.0,41.0,0.7636263,9.63E-5
0,1,7,26.0,32.0,0.684284,1.047E-4
0,1,8,6.0,20.0,0.5385496,1.579E-4
0,2,0,46.0,49.0,1.0187856,8.47E-5
0,2,1,46.0,42.0,1.0045937,7.47E-5
0,2,2,41.0,40.0,0.946385,8.9E-5
0,2,3,41.0,32.0,0.9031512,6.85E-5
0,2,4,15.0,29.0,0.7977885,9.05E-5
0,2,5,16.0,26.0,0.7195266,8.67E-5
0,2,6,15.0,9.0,0.6940388,1.006E-4
0,3,0,66.0,63.0,1.1577029,5.53E-5
0,3,1,73.0,58.0,1.1003669,6.35E-5
0,3,2,73.0,49.0,1.0946029,6.48E-5
0,3,3,73.0,41.0,0.9799549,6.36E-5
0,3,4,78.0,22.0,0.9869275,8.24E-5
0,3,5,54.0,19.0,0.8891765,1.106E-4
0,3,6,55.0,19.0,0.937879,1.122E-4
0,3,7,0.0,6.0,0.0,1.667E-4
0,4,0,42.0,46.0,1.0962472,5.97E-5
0,4,1,46.0,42.0,0.9331134,5.93E-5
0,4,2,45.0,41.0,0.9220356,5.82E-5
0,4,3,40.0,41.0,0.8802616,5.85E-5
0,4,4,40.0,38.0,0.8660563,5.66E-5
0,4,5,44.0,18.0,0.7940264,7.07E-5
0,4,6,42.0,18.0,0.8109149,9.47E-5
0,4,7,43.0,7.0,0.7866485,1.226E-4
1,0,0,49.0,62.0,1.0318092,5.75E-5
1,0,1,41.0,59.0,1.0364657,5.98E-5
1,0,2,41.0,56.0,0.9272978,5.61E-5
1,0,3,25.0,51.0,0.8454332,5.97E-5
1,0,4,25.0,48.0,0.7917755,6.09E-5
1,0,5,15.0,30.0,0.7167957,7.36E-5
1,0,6,13.0,24.0,0.6441258,7.85E-5
1,0,7,12.0,24.0,0.5860035,7.02E-5
1,0,8,9.0,0.0,0.5396302,0.0
1,1,0,49.0,48.0,1.0417117,6.49E-5
1,1,1,49.0,41.0,1.0365221,7.16E-5
1,1,2,55.0,34.0,0.9801016,7.52E-5
1,1,3,27.0,17.0,0.9205443,1.146E-4
1,1,4,2.0,17.0,0.7329368,1.369E-4
1,2,0,36.0,58.0,1.0288751,5.86E-5
1,2,1,36.0,28.0,1.0496425,7.14E-5
1,2,2,35.0,26.0,0.9237093,7.2E-5
1,2,3,39.0,25.0,0.9307302,7.02E-5
1,2,4,35.0,20.0,0.9461063,7.13E-5
1,2,5,35.0,20.0,0.9104397,7.1E-5
1,2,6,15.0,20.0,0.7249159,7.22E-5
1,2,7,6.0,0.0,0.5858116,0.0
1,3,0,53.0,50.0,1.1036798,8.41E-5
1,3,1,35.0,20.0,1.1214081,1.224E-4
1,3,2,35.0,15.0,1.0448492,1.373E-4
1,3,3,0.0,9.0,0.0,1.438E-4
1,4,0,64.0,50.0,1.1245475,6.79E-5
1,4,1,52.0,50.0,1.0972623,7.1E-5
1,4,2,46.0,46.0,1.1491623,6.79E-5
1,4,3,26.0,38.0,0.9857808,7.26E-5
1,4,4,23.0,31.0,0.9018115,9.04E-5
1,4,5,0.0,0.0,0.609619,0.0
2,0,0,11.0,42.0,0.9103433,8.72E-5
2,0,1,7.0,0.0,0.6400286,0.0
2,1,0,60.0,31.0,1.0191263,9.53E-5
2,1,1,60.0,26.0,1.034682,1.025E-4
2,1,2,63.0,18.0,0.9813877,9.99E-5
2,1,3,37.0,15.0,0.9653548,1.015E-4
2,1,4,11.0,15.0,0.7615223,1.034E-4
2,1,5,11.0,13.0,0.6636493,1.028E-4
2,1,6,11.0,11.0,0.655615,1.017E-4
2,1,7,0.0,8.0,0.0,1.134E-4
2,2,0,17.0,45.0,0.7879937,1.248E-4
2,2,1,13.0,38.0,0.786834,6.9E-5
2,2,2,11.0,35.0,0.6850037,6.77E-5
2,2,3,7.0,0.0,0.5501458,0.0
2,3,0,32.0,31.0,0.997433,6.6E-5
2,3,1,32.0,12.0,0.9933794,8.89E-5
2,3,2,35.0,12.0,0.9545754,1.009E-4
2,3,3,0.0,8.0,0.0,1.084E-4
2,4,0,53.0,35.0,1.086465,6.77E-5
2,4,1,35.0,34.0,1.1170747,6.94E-5
2,4,2,35.0,31.0,0.9889132,6.66E-5
2,4,3,28.0,11.0,1.0570433,9.42E-5
2,4,4,32.0,10.0,1.0131189,1.085E-4
2,5,0,60.0,54.0,1.0522239,5.87E-5
2,5,1,51.0,52.0,1.0204732,6.37E-5
2,5,2,21.0,52.0,0.8356009,8.32E-5
2,5,3,19.0,43.0,0.7424633,9.3E-5
2,5,4,1.0,36.0,0.5095838,6.25E-5
2,6,0,69.0,35.0,1.1011837,8.42E-5
2,6,1,41.0,34.0,0.9748811,8.73E-5
2,6,2,39.0,5.0,0.9636842,1.404E-4
2,7,0,60.0,50.0,1.0866252,6.16E-5
2,7,1,54.0,42.0,1.0747864,7.55E-5
2,7,2,55.0,17.0,0.9656178,8.81E-5
2,7,3,60.0,12.0,1.0329302,9.67E-5
2,7,4,0.0,8.0,0.0,1.053E-4
3,0,0,69.0,71.0,1.1283442,9.69E-5
3,0,1,41.0,69.0,0.959207,5.69E-5
3,0,2,38.0,63.0,0.925189,5.94E-5
3,0,3,9.0,0.0,0.8153098,0.0
3,1,0,81.0,34.0,1.128955,6.1E-5
3,1,1,58.0,30.0,1.0643343,8.58E-5
3,1,2,34.0,26.0,1.0357733,6.89E-5
3,1,3,0.0,7.0,0.0,1.195E-4
3,2,0,78.0,26.0,1.1433806,6.59E-5
3,2,1,76.0,21.0,1.1328776,6.81E-5
3,2,2,50.0,19.0,1.1350223,6.66E-5
3,2,3,50.0,19.0,1.082513,6.08E-5
3,2,4,22.0,19.0,0.9200277,6.74E-5
3,2,5,22.0,19.0,0.8980014,6.5E-5
3,2,6,19.0,8.0,0.8686423,9.06E-5
3,3,0,74.0,49.0,1.1241839,6.2E-5
3,3,1,47.0,44.0,1.0339651,9.11E-5
3,3,2,38.0,41.0,0.9587669,8.86E-5
3,3,3,39.0,23.0,0.9494343,1.087E-4
3,3,4,0.0,3.0,0.0,2.309E-4
3,4,0,61.0,53.0,1.1924291,6.96E-5
3,4,1,63.0,51.0,1.1434811,5.54E-5
3,4,2,43.0,50.0,1.0512911,5.39E-5
3,4,3,40.0,24.0,1.1135737,6.52E-5
3,4,4,24.0,18.0,1.0781334,8.29E-5
3,4,5,23.0,18.0,0.9646238,9.32E-5
3,4,6,4.0,0.0,0.7656431,0.0
3,5,0,59.0,38.0,1.0995733,8.98E-5
3,5,1,55.0,32.0,1.0193419,1.014E-4
3,5,2,44.0,29.0,0.9345797,1.485E-4
3,5,3,47.0,25.0,0.975113,1.525E-4
3,5,4,41.0,18.0,0.9266661,2.044E-4
3,5,5,41.0,18.0,0.7560564,2.028E-4
3,5,6,0.0,4.0,0.0,2.758E-4
4,0,0,46.0,71.0,1.1713418,5.58E-5
4,0,1,43.0,63.0,1.1261262,5.57E-5
4,0,2,46.0,54.0,1.0000797,9.49E-5
4,0,3,38.0,53.0,1.078266,5.54E-5
4,0,4,38.0,45.0,0.9438212,5.17E-5
4,0,5,38.0,39.0,0.9354982,7.12E-5
4,0,6,30.0,39.0,0.8628568,1.041E-4
4,0,7,32.0,17.0,0.8291463,9.43E-5
4,0,8,22.0,17.0,0.7741749,7.14E-5
4,0,9,11.0,17.0,0.6251923,6.6E-5
4,0,10,11.0,8.0,0.5059647,8.99E-5
4,1,0,77.0,14.0,1.1825167,1.248E-4
4,1,1,77.0,14.0,1.1301211,9.99E-5
4,1,2,51.0,14.0,1.0203423,9.91E-5
4,1,3,52.0,14.0,0.985122,1.092E-4
4,1,4,48.0,14.0,0.9938599,1.267E-4
4,1,5,44.0,14.0,0.9592323,2.0E-4
4,1,6,44.0,13.0,0.9035644,1.008E-4
4,1,7,0.0,4.0,0.0,2.01E-4
4,2,0,40.0,63.0,1.065052,5.29E-5
4,2,1,38.0,55.0,0.9613301,5.59E-5
4,2,2,28.0,38.0,0.9258011,6.41E-5
4,2,3,24.0,34.0,0.874571,6.6E-5
4,2,4,23.0,34.0,0.8208666,6.46E-5
4,2,5,23.0,14.0,0.8577074,1.141E-4
4,2,6,14.0,14.0,0.7593174,1.267E-4
4,2,7,14.0,10.0,0.6855185,1.241E-4
4,3,0,39.0,42.0,1.0865892,5.79E-5
4,3,1,42.0,41.0,1.0357394,7.67E-5
