Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,17,1,10,0,17,26,9
0,1,0,36,1,9,0,19,21,2
0,2,0,46,1,7,0,10,19,9
0,3,0,61,1,7,0,15,22,7
0,4,0,75,1,3,0,14,24,10
0,5,31,75,0,4,31,0,8,39
0,6,56,75,0,7,25,0,6,31
0,7,56,83,1,11,0,8,17,9
0,8,79,83,0,7,23,0,3,26
0,9,79,92,1,7,0,9,19,10
0,10,79,118,1,5,0,26,33,7
1,0,0,4,1,8,0,4,13,9
1,1,0,28,1,6,0,24,32,8
1,2,10,28,0,8,10,0,10,20
1,3,22,28,0,9,12,0,2,14
1,4,33,28,0,7,11,0,10,21
1,5,38,28,0,11,5,0,10,15
1,6,38,32,1,5,0,4,11,7
1,7,38,65,1,4,0,33,42,9
1,8,50,65,0,7,12,0,9,21
1,9,61,65,0,11,11,0,10,21
1,10,86,65,0,4,25,0,10,35
1,11,86,129,1,3,0,64,74,10
2,0,35,0,0,2,35,0,7,42
2,1,35,13,1,11,0,13,20,7
2,2,63,13,0,4,28,0,7,35
2,3,63,44,1,4,0,31,39,8
2,4,73,44,0,12,10,0,7,17
2,5,85,44,0,10,12,0,2,14
2,6,102,44,0,5,17,0,1,18
3,0,14,0,0,8,14,0,5,19
3,1,14,41,1,3,0,41,51,10
3,2,14,85,1,4,0,44,54,10
3,3,14,96,1,5,0,11,19,8
3,4,51,96,0,7,37,0,0,12
3,5,53,96,0,9,2,0,10,12
3,6,53,152,1,4,0,56,63,7
4,0,13,0,0,8,13,0,7,20
4,1,13,47,1,5,0,47,56,9
4,2,13,51,1,8,0,4,11,7
4,3,18,51,0,4,5,0,9,14
4,4,18,67,1,4,0,16,25,9
4,5,36,67,0,8,18,0,4,22
4,6,36,77,1,8,0,10,20,10
4,7,87,77,0,5,51,0,0,26
4,8,109,77,0,7,22,0,8,30
5,0,36,0,0,12,36,0,0,11
5,1,36,26,1,10,0,26,27,1
5,2,50,26,0,7,14,0,7,21
5,3,67,26,0,5,17,0,9,26
5,4,77,26,0,14,10,0,1,11
5,5,96,26,0,4,19,0,10,29
5,6,136,26,0,5,40,0,3,43
6,0,0,10,1,8,0,10,19,9
6,1,15,10,0,6,15,0,7,22
6,2,15,61,1,7,0,51,53,2
6,3,15,73,1,9,0,12,22,10
6,4,15,80,1,10,0,7,13,6
6,5,16,80,0,6,1,0,10,11
6,6,25,80,0,8,9,0,7,16
6,7,25,121,1,6,0,41,46,5
7,0,23,0,0,7,23,0,3,26
7,1,23,54,1,5,0,54,61,7
7,2,32,54,0,8,9,0,3,12
7,3,32,87,1,3,0,33,42,9
7,4,32,116,1,6,0,29,30,1
8,0,15,0,0,11,15,0,9,24
8,1,28,0,0,6,13,0,6,19
8,2,28,5,1,9,0,5,15,10
8,3,48,5,0,4,20,0,6,26
8,4,87,5,0,4,39,0,10,49
8,5,90,5,0,6,3,0,8,11
8,6,113,5,0,5,23,0,6,29
9,0,11,0,0,9,11,0,10,21
9,1,11,37,1,9,0,37,45,8
9,2,11,49,1,9,0,12,22,10
9,3,22,49,0,10,11,0,7,18
9,4,22,54,1,3,0,5,15,10
9,5,22,67,1,6,0,13,17,4
9,6,33,67,0,7,11,0,8,19
9,7,33,136,1,5,0,69,71,2
10,0,43,0,0,6,43,0,0,18
10,1,43,13,1,12,0,13,16,3
10,2,43,29,1,10,0,16,20,4
10,3,86,29,0,7,43,0,0,18
10,4,119,29,0,5,33,0,1,34
11,0,0,12,1,3,0,12,19,7
11,1,19,12,0,7,19,0,9,28
11,2,36,12,0,8,17,0,10,27
11,3,36,68,1,3,0,56,64,8
11,4,36,131,1,6,0,63,68,5
12,0,21,0,0,6,21,0,6,27
12,1,21,23,1,4,0,23,30,7
12,2,22,23,0,5,1,0,10,11
12,3,44,23,0,7,22,0,7,29
12,4,54,23,0,9,10,0,2,12
12,5,54,38,1,10,0,15,22,7
12,6,54,60,1,3,0,22,28,6
12,7,78,60,0,5,24,0,4,28
12,8,85,60,0,9,7,0,8,15
12,9,85,97,1,5,0,37,43,6
12,10,85,148,1,2,0,51,59,8
13,0,0,48,1,5,0,48,54,6
13,1,0,81,1,2,0,33,43,10
13,2,42,81,0,5,42,0,6,48
13,3,78,81,0,3,36,0,2,38
13,4,78,102,1,6,0,21,25,4
14,0,0,26,1,5,0,26,31,5
14,1,4,26,0,5,4,0,10,14
14,2,44,26,0,3,40,0,10,50
14,3,44,58,1,2,0,32,39,7
14,4,44,107,1,5,0,49,55,6
15,0,13,0,0,4,13,0,4,17
15,1,13,45,1,4,0,45,55,10
15,2,13,68,1,8,0,23,32,9
15,3,13,92,1,5,0,24,31,7
15,4,52,92,0,2,39,0,9,48
15,5,52,104,1,3,0,12,21,9
16,0,4,0,0,10,4,0,10,14
16,1,20,0,0,6,16,0,2,18
16,2,43,0,0,9,23,0,7,30
16,3,43,38,1,6,0,38,45,7
16,4,54,38,0,7,11,0,7,18
16,5,54,72,1,5,0,34,41,7
16,6,54,100,1,13,0,28,36,8
17,0,36,0,0,7,36,0,7,43
17,1,36,23,1,5,0,23,31,8
17,2,59,23,0,5,23,0,3,26
17,3,59,51,1,4,0,28,38,10
17,4,59,68,1,9,0,17,20,3
17,5,59,87,1,9,0,19,24,5
17,6,66,87,0,12,7,0,8,15
17,7,66,101,1,10,0,14,22,8
18,0,25,0,0,5,25,0,9,34
18,1,25,44,1,4,0,44,52,8
18,2,45,44,0,7,20,0,6,26
18,3,58,44,0,9,13,0,8,21
18,4,65,44,0,12,7,0,6,13
18,5,65,59,1,11,0,15,19,4
18,6,65,94,1,3,0,35,42,7
18,7,84,94,0,5,19,0,8,27
18,8,84,98,1,8,0,4,11,7
18,9,84,116,1,7,0,18,27,9
19,0,0,4,1,8,0,4,12,8
19,1,2,4,0,9,2,0,10,12
19,2,9,4,0,8,7,0,6,13
19,3,9,28,1,2,0,24,32,8
19,4,9,39,1,8,0,11,20,9
19,5,9,73,1,6,0,34,43,9
19,6,68,73,0,1,59,0,10,69
19,7,126,73,0,4,58,0,7,65
20,0,0,22,1,8,0,22,24,2
20,1,0,36,1,6,0,14,22,8
20,2,5,36,0,5,5,0,9,14
20,3,5,39,1,8,0,3,13,10
20,4,5,41,1,5,0,2,11,9
20,5,21,41,0,5,16,0,10,26
20,6,21,95,1,2,0,54,60,6
20,7,21,118,1,10,0,23,24,1
21,0,0,9,1,10,0,9,17,8
21,1,40,9,0,6,40,0,8,48
21,2,42,9,0,6,2,0,10,12
21,3,66,9,0,7,24,0,2,26
21,4,66,22,1,10,0,13,23,10
21,5,66,68,1,7,0,46,55,9
21,6,66,84,1,4,0,16,24,8
21,7,66,115,1,5,0,31,40,9
22,0,0,56,1,7,0,56,31,0
22,1,13,56,0,6,13,0,8,21
22,2,13,60,1,5,0,4,14,10
22,3,13,70,1,7,0,10,18,8
22,4,23,70,0,12,10,0,4,14
22,5,51,70,0,4,28,0,4,32
22,6,69,70,0,10,18,0,9,27
22,7,69,86,1,6,0,16,26,10
22,8,69,139,1,3,0,53,62,9
23,0,9,0,0,7,9,0,2,11
23,1,9,8,1,7,0,8,13,5
23,2,9,32,1,2,0,24,32,8
23,3,9,34,1,7,0,2,11,9
23,4,9,76,1,4,0,42,51,9
23,5,9,112,1,6,0,36,44,8
24,0,7,0,0,8,7,0,7,14
24,1,17,0,0,6,10,0,8,18
24,2,69,0,0,5,52,0,0,27
24,3,69,2,1,9,0,2,12,10
24,4,69,16,1,9,0,14,21,7
24,5,78,16,0,6,9,0,8,17
24,6,78,34,1,12,0,18,20,2
24,7,78,58,1,7,0,24,31,7
24,8,99,58,0,5,21,0,8,29
24,9,119,58,0,6,20,0,1,21
