Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,78.0,14.0,5.7E-5,0.865956
0,0,1,48.0,14.0,6.57E-5,0.7644055
0,0,2,46.0,9.0,1.116E-4,0.7449362
0,1,0,63.0,62.0,4.82E-5,1.0657695
0,1,1,55.0,32.0,5.04E-5,0.9386349
0,1,2,53.0,34.0,5.29E-5,0.9301739
0,1,3,40.0,34.0,5.88E-5,0.8036569
0,1,4,38.0,25.0,6.21E-5,0.8434783
0,1,5,38.0,25.0,6.17E-5,0.7695477
0,1,6,15.0,25.0,9.62E-5,0.7009871
0,1,7,15.0,25.0,8.56E-5,0.6125357
0,1,8,1.0,15.0,1.456E-4,0.5787391
0,2,0,46.0,73.0,5.94E-5,1.0577662
0,2,1,43.0,73.0,6.43E-5,1.0133991
0,2,2,36.0,44.0,6.27E-5,0.9303862
0,2,3,31.0,36.0,6.75E-5,0.8898175
0,2,4,12.0,12.0,8.33E-5,0.7008184
0,2,5,12.0,13.0,9.29E-5,0.6082472
0,2,6,12.0,8.0,9.23E-5,0.5976224
0,3,0,59.0,71.0,6.22E-5,1.1046927
0,3,1,51.0,71.0,4.98E-5,1.0301779
0,3,2,51.0,71.0,4.95E-5,1.1089143
0,3,3,46.0,47.0,4.94E-5,1.0403793
0,3,4,46.0,40.0,5.16E-5,0.9831761
0,3,5,21.0,20.0,8.27E-5,0.8950749
0,3,6,14.0,20.0,9.29E-5,0.8141098
0,3,7,0.0,4.0,0.0,0.7023463
0,4,0,39.0,46.0,5.96E-5,1.0852505
0,4,1,35.0,49.0,6.42E-5,1.0173775
0,4,2,32.0,49.0,6.56E-5,1.0677453
0,4,3,32.0,19.0,6.68E-5,0.8917763
0,4,4,18.0,22.0,8.21E-5,0.8231249
0,4,5,18.0,18.0,9.39E-5,0.7724688
0,4,6,18.0,12.0,9.11E-5,0.6329765
0,4,7,11.0,12.0,1.226E-4,0.636393
0,4,8,6.0,0.0,1.304E-4,0.0
0,5,0,24.0,56.0,8.78E-5,1.1360366
0,5,1,22.0,53.0,8.83E-5,1.1135011
0,5,2,22.0,53.0,8.56E-5,1.0342921
0,5,3,22.0,45.0,8.6E-5,0.9950813
0,5,4,22.0,45.0,8.61E-5,0.9797646
0,5,5,22.0,19.0,8.75E-5,0.8001968
0,5,6,22.0,20.0,8.93E-5,0.783809
0,5,7,14.0,20.0,1.126E-4,0.7334763
0,5,8,14.0,16.0,1.275E-4,0.6357887
0,5,9,14.0,15.0,1.275E-4,0.5743418
0,5,10,2.0,14.0,1.902E-4,0.5262617
0,6,0,49.0,79.0,4.61E-5,1.0457247
0,6,1,24.0,59.0,6.31E-5,0.8921006
0,6,2,19.0,35.0,6.45E-5,0.9858875
0,6,3,19.0,35.0,6.5E-5,0.8132071
0,6,4,17.0,35.0,6.5E-5,0.8715699
0,6,5,11.0,25.0,8.26E-5,0.7945525
0,6,6,11.0,25.0,1.074E-4,0.7673474
0,6,7,11.0,25.0,9.3E-5,0.7169169
0,6,8,3.0,0.0,1.528E-4,0.0
0,7,0,53.0,50.0,4.96E-5,1.0778692
0,7,1,38.0,48.0,5.64E-5,0.9790774
0,7,2,34.0,48.0,6.18E-5,0.9923576
0,7,3,33.0,51.0,1.381E-4,0.8948782
0,7,4,29.0,25.0,6.4E-5,0.8241246
0,7,5,29.0,26.0,6.22E-5,0.8969401
0,7,6,16.0,26.0,8.25E-5,0.7886263
0,7,7,14.0,26.0,1.174E-4,0.7402767
0,7,8,11.0,17.0,9.87E-5,0.6479599
0,7,9,11.0,12.0,1.706E-4,0.5555496
0,7,10,6.0,11.0,1.269E-4,0.4861486
0,8,0,30.0,48.0,9.2E-5,1.0651967
0,8,1,28.0,48.0,9.66E-5,1.0310192
0,8,2,28.0,14.0,1.027E-4,0.817253
0,8,3,23.0,17.0,1.01E-4,0.7798296
0,8,4,20.0,24.0,9.81E-5,0.8609162
0,8,5,15.0,5.0,1.039E-4,0.602324
0,9,0,56.0,48.0,4.87E-5,0.9529904
0,9,1,52.0,52.0,4.74E-5,1.0269534
0,9,2,50.0,23.0,5.13E-5,0.8715987
0,9,3,46.0,23.0,4.9E-5,0.8447233
0,9,4,45.0,23.0,4.94E-5,0.826122
0,9,5,40.0,18.0,4.92E-5,0.7771865
0,9,6,38.0,16.0,4.96E-5,0.7334426
0,9,7,38.0,16.0,4.83E-5,0.696944
0,9,8,0.0,9.0,0.0,0.5935998
0,10,0,57.0,60.0,4.99E-5,1.1053391
0,10,1,28.0,69.0,6.37E-5,1.0533629
0,10,2,14.0,68.0,1.22E-4,1.0823002
0,10,3,10.0,0.0,1.344E-4,0.0
1,0,0,49.0,62.0,5.78E-5,1.102214
1,0,1,19.0,60.0,9.59E-5,1.0537859
1,0,2,17.0,58.0,9.1E-5,1.0204219
1,0,3,17.0,58.0,9.5E-5,0.9765222
1,0,4,17.0,31.0,9.3E-5,0.8474669
1,0,5,16.0,36.0,9.16E-5,0.8324823
1,0,6,4.0,0.0,1.51E-4,0.0
1,1,0,50.0,39.0,5.94E-5,1.1687684
1,1,1,48.0,34.0,6.03E-5,1.1131611
1,1,2,48.0,34.0,5.9E-5,1.0303452
1,1,3,20.0,25.0,7.8E-5,0.9689695
1,1,4,16.0,23.0,8.57E-5,0.9371411
1,1,5,11.0,12.0,1.43E-4,0.889818
