Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,76.0,36.0,1.0648893,2.053E-4
0,0,1,80.0,31.0,0.6321577,1.276E-4
0,0,2,50.0,31.0,0.5803767,9.04E-5
0,0,3,47.0,30.0,0.5392921,1.111E-4
0,0,4,44.0,21.0,0.5109156,8.89E-5
0,0,5,19.0,21.0,0.447347,1.213E-4
0,0,6,26.0,17.0,0.4053279,9.29E-5
0,0,7,26.0,5.0,0.3851887,1.761E-4
0,1,0,74.0,60.0,0.5755827,1.339E-4
0,1,1,72.0,51.0,0.5395549,7.41E-5
0,1,2,58.0,45.0,0.5341857,7.79E-5
0,1,3,59.0,36.0,0.5228301,1.276E-4
0,1,4,29.0,32.0,0.4785438,7.84E-5
0,1,5,20.0,32.0,0.4376799,1.229E-4
0,1,6,0.0,32.0,0.3469141,7.85E-5
0,2,0,46.0,43.0,0.5095732,9.98E-5
0,2,1,43.0,36.0,0.5204321,8.58E-5
0,2,2,38.0,35.0,0.4445589,7.03E-5
0,2,3,38.0,29.0,0.4207911,7.02E-5
0,2,4,19.0,9.0,0.4745389,1.265E-4
0,3,0,61.0,63.0,0.5483664,5.81E-5
0,3,1,59.0,63.0,0.6116763,6.68E-5
0,3,2,67.0,55.0,0.5739308,6.68E-5
0,3,3,61.0,41.0,0.5872171,1.097E-4
0,3,4,66.0,40.0,0.5271715,7.8E-5
0,3,5,43.0,23.0,0.5019753,1.031E-4
0,3,6,39.0,18.0,0.466169,1.76E-4
0,3,7,15.0,17.0,0.4515234,1.917E-4
0,3,8,15.0,17.0,0.3375345,2.923E-4
0,3,9,10.0,11.0,0.2849159,2.459E-4
0,4,0,42.0,46.0,0.514824,8.02E-5
0,4,1,42.0,46.0,0.4625902,6.12E-5
0,4,2,37.0,46.0,0.4442223,6.23E-5
0,4,3,37.0,19.0,0.445472,6.92E-5
0,4,4,43.0,10.0,0.4337783,9.75E-5
0,5,0,25.0,52.0,0.5671878,6.36E-5
0,5,1,25.0,26.0,0.5423651,9.24E-5
0,5,2,28.0,18.0,0.5110929,1.014E-4
0,5,3,28.0,18.0,0.4887224,1.033E-4
0,5,4,0.0,2.0,0.0,1.807E-4
0,6,0,55.0,74.0,0.5293644,5.56E-5
