Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,78.0,17.0,6.43E-5,0.4612034
0,0,1,75.0,14.0,9.53E-5,0.4018381
0,0,2,46.0,9.0,6.59E-5,0.3318763
0,1,0,57.0,60.0,6.63E-5,0.5597578
0,1,1,43.0,30.0,1.018E-4,0.4811567
0,1,2,34.0,30.0,6.27E-5,0.4522369
0,1,3,32.0,30.0,6.93E-5,0.5186348
0,1,4,32.0,30.0,6.34E-5,0.4272257
0,1,5,0.0,4.0,0.0,0.3811466
0,2,0,46.0,80.0,5.88E-5,0.5335721
0,2,1,39.0,53.0,6.33E-5,0.4921389
0,2,2,15.0,24.0,8.86E-5,0.4802724
0,2,3,15.0,17.0,9.46E-5,0.4313627
0,2,4,12.0,12.0,9.65E-5,0.4105953
0,2,5,7.0,0.0,1.38E-4,0.0
0,3,0,59.0,71.0,5.04E-5,0.593833
0,3,1,51.0,71.0,4.85E-5,0.5894814
0,3,2,25.0,46.0,7.96E-5,0.5254967
0,3,3,25.0,39.0,7.86E-5,0.4810859
0,3,4,20.0,21.0,8.02E-5,0.4542108
0,3,5,13.0,21.0,1.047E-4,0.4599024
0,3,6,11.0,21.0,9.65E-5,0.3698487
0,3,7,11.0,11.0,1.381E-4,0.3361847
0,3,8,11.0,11.0,1.185E-4,0.3531271
0,3,9,0.0,8.0,0.0,0.2652072
0,4,0,39.0,42.0,5.95E-5,0.5778062
0,4,1,39.0,45.0,6.81E-5,0.5561471
0,4,2,36.0,49.0,6.71E-5,0.5419491
0,4,3,32.0,19.0,6.58E-5,0.449309
0,4,4,18.0,19.0,8.37E-5,0.4174295
0,4,5,18.0,18.0,9.33E-5,0.4355201
0,4,6,18.0,12.0,1.039E-4,0.3713327
0,4,7,11.0,4.0,1.718E-4,0.2198179
0,5,0,26.0,54.0,9.3E-5,0.614113
0,5,1,23.0,54.0,8.97E-5,0.5573802
0,5,2,23.0,52.0,9.17E-5,0.4622107
0,5,3,21.0,48.0,1.574E-4,0.5176216
0,5,4,21.0,22.0,9.08E-5,0.4959136
0,5,5,21.0,22.0,9.4E-5,0.4657828
0,5,6,21.0,12.0,9.24E-5,0.4335446
0,5,7,0.0,2.0,0.0,0.2881162
0,6,0,49.0,79.0,4.86E-5,0.5268241
0,6,1,24.0,59.0,6.49E-5,0.4882592
0,6,2,19.0,35.0,6.24E-5,0.4770049
0,6,3,19.0,35.0,6.65E-5,0.4374889
0,6,4,17.0,35.0,6.4E-5,0.4664152
0,6,5,11.0,30.0,8.29E-5,0.3519172
0,6,6,11.0,0.0,9.03E-5,0.3042057
1,0,0,49.0,62.0,6.18E-5,0.5083029
1,0,1,41.0,65.0,6.78E-5,0.4597405
1,0,2,26.0,64.0,9.04E-5,0.4664977
1,0,3,24.0,60.0,9.01E-5,0.4473682
1,0,4,24.0,44.0,9.01E-5,0.4362459
1,0,5,19.0,52.0,8.94E-5,0.4332516
1,0,6,15.0,50.0,8.89E-5,0.4599577
1,0,7,9.0,0.0,1.305E-4,0.0
1,1,0,55.0,41.0,5.76E-5,0.5308156
1,1,1,48.0,34.0,5.92E-5,0.5249322
1,1,2,48.0,34.0,5.79E-5,0.5087286
1,1,3,20.0,25.0,8.01E-5,0.475711
1,1,4,16.0,23.0,8.59E-5,0.4558714
1,1,5,11.0,13.0,1.384E-4,0.432365
1,1,6,0.0,0.0,0.0,0.2610964
1,2,0,29.0,35.0,6.1E-5,0.4926192
1,2,1,24.0,42.0,6.33E-5,0.5029333
1,2,2,21.0,49.0,1.0E-4,0.5727124
1,2,3,18.0,40.0,6.92E-5,0.5189246
1,2,4,18.0,16.0,1.113E-4,0.4076307
1,2,5,7.0,0.0,8.34E-5,0.0
1,3,0,58.0,52.0,5.0E-5,0.4977144
1,3,1,51.0,22.0,5.11E-5,0.3993498
1,3,2,46.0,27.0,4.96E-5,0.4160426
1,3,3,28.0,27.0,6.56E-5,0.3748559
1,3,4,13.0,27.0,2.108E-4,0.351653
1,3,5,5.0,27.0,2.532E-4,0.4518848
1,4,0,62.0,40.0,4.98E-5,0.5219724
1,4,1,58.0,38.0,5.41E-5,0.4854537
1,4,2,51.0,40.0,5.81E-5,0.469393
1,4,3,49.0,35.0,5.28E-5,0.4659851
1,4,4,28.0,34.0,6.42E-5,0.4185414
1,4,5,23.0,33.0,7.23E-5,0.437305
1,4,6,23.0,35.0,6.58E-5,0.4390661
1,4,7,23.0,37.0,7.53E-5,0.4101713
1,4,8,20.0,35.0,6.73E-5,0.3625166
1,4,9,20.0,35.0,6.6E-5,0.3350329
1,4,10,20.0,30.0,1.115E-4,0.2778704
1,4,11,20.0,14.0,6.91E-5,0.2964494
1,4,12,11.0,14.0,8.6E-5,0.2290552
1,4,13,8.0,0.0,1.256E-4,0.0
1,5,0,52.0,71.0,4.89E-5,0.5388463
1,5,1,47.0,43.0,5.53E-5,0.5403753
1,5,2,47.0,36.0,5.13E-5,0.5190213
1,5,3,47.0,14.0,5.07E-5,0.4041391
1,5,4,24.0,17.0,7.9E-5,0.3298724
1,5,5,0.0,9.0,0.0,0.3191078
1,6,0,18.0,57.0,1.369E-4,0.5511112
1,6,1,11.0,58.0,1.259E-4,0.5798612
1,6,2,10.0,0.0,1.442E-4,0.0
2,0,0,11.0,44.0,8.87E-5,0.5550048
2,0,1,11.0,44.0,1.12E-4,0.501994
2,0,2,11.0,41.0,9.65E-5,0.4604425
2,0,3,11.0,11.0,9.83E-5,0.3853376
2,0,4,7.0,0.0,1.387E-4,0.0
2,1,0,55.0,33.0,5.86E-5,0.5300868
2,1,1,0.0,4.0,0.0,0.4242412
2,2,0,17.0,54.0,8.84E-5,0.5217647
2,2,1,8.0,0.0,9.95E-5,0.0
2,3,0,57.0,36.0,6.79E-5,0.5128892
2,3,1,56.0,37.0,5.23E-5,0.5012455
2,3,2,56.0,32.0,5.01E-5,0.459214
2,3,3,51.0,32.0,5.29E-5,0.4445699
2,3,4,51.0,32.0,5.21E-5,0.4312485
2,3,5,48.0,35.0,5.43E-5,0.4769448
2,3,6,31.0,40.0,6.4E-5,0.4355945
2,3,7,26.0,39.0,1.449E-4,0.4540404
2,3,8,13.0,18.0,1.177E-4,0.3934499
2,3,9,11.0,18.0,1.109E-4,0.3587316
2,3,10,11.0,18.0,1.093E-4,0.3127273
2,3,11,8.0,18.0,1.136E-4,0.2864571
2,4,0,53.0,62.0,4.81E-5,0.5791319
2,4,1,49.0,32.0,5.52E-5,0.4476474
2,4,2,46.0,31.0,5.69E-5,0.4732456
2,4,3,45.0,31.0,7.73E-5,0.5234691
2,4,4,40.0,35.0,6.06E-5,0.4078467
2,4,5,21.0,36.0,8.18E-5,0.4108858
2,4,6,21.0,33.0,8.43E-5,0.3732141
2,4,7,19.0,33.0,1.038E-4,0.3764954
2,4,8,8.0,0.0,1.039E-4,0.0
2,5,0,58.0,54.0,6.97E-5,0.5658492
2,5,1,53.0,44.0,1.027E-4,0.609378
