Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,37,1,3,0,37,46,9
0,1,0,65,1,6,0,28,32,4
0,2,5,65,0,6,5,0,7,12
0,3,5,68,1,10,0,3,11,8
0,4,5,75,1,8,0,7,11,4
0,5,5,94,1,8,0,19,21,2
0,6,5,130,1,7,0,36,11,0
1,0,41,0,0,8,41,0,9,50
1,1,41,36,1,6,0,36,11,0
1,2,50,36,0,6,9,0,7,16
1,3,72,36,0,6,22,0,5,27
1,4,78,36,0,14,6,0,8,14
1,5,78,51,1,6,0,15,24,9
1,6,126,51,0,3,48,0,10,58
2,0,4,0,0,5,4,0,7,11
2,1,4,51,1,2,0,51,55,4
2,2,50,51,0,2,46,0,8,54
2,3,60,51,0,12,10,0,8,18
2,4,85,51,0,9,25,0,8,33
2,5,99,51,0,7,14,0,9,23
2,6,99,76,1,4,0,25,30,5
2,7,99,94,1,7,0,18,25,7
2,8,107,94,0,5,8,0,8,16
3,0,0,11,1,12,0,11,18,7
3,1,0,73,1,6,0,62,37,0
3,2,0,88,1,8,0,15,22,7
3,3,0,108,1,9,0,20,23,3
4,0,0,8,1,6,0,8,18,10
4,1,0,32,1,6,0,24,34,10
4,2,28,32,0,6,28,0,4,32
4,3,34,32,0,5,6,0,8,14
4,4,58,32,0,8,24,0,9,33
4,5,58,35,1,10,0,3,12,9
4,6,100,35,0,4,42,0,9,51
5,0,12,0,0,10,12,0,8,20
5,1,12,23,1,10,0,23,30,7
5,2,12,49,1,8,0,26,36,10
5,3,12,69,1,6,0,20,24,4
5,4,12,85,1,8,0,16,17,1
5,5,38,85,0,5,26,0,2,28
5,6,45,85,0,7,7,0,4,11
5,7,61,85,0,7,16,0,8,24
5,8,71,85,0,8,10,0,8,18
5,9,97,85,0,6,26,0,3,29
5,10,148,85,0,6,51,0,7,58
6,0,0,7,1,7,0,7,13,6
6,1,9,7,0,8,9,0,7,16
6,2,34,7,0,10,25,0,7,32
6,3,77,7,0,3,43,0,10,53
6,4,77,18,1,8,0,11,21,10
6,5,77,36,1,8,0,18,27,9
6,6,95,36,0,6,18,0,7,25
6,7,95,80,1,5,0,44,51,7
6,8,130,80,0,8,35,0,9,44
7,0,0,13,1,9,0,13,18,5
7,1,0,17,1,9,0,4,13,9
7,2,28,17,0,7,28,0,10,38
7,3,28,49,1,2,0,32,39,7
7,4,28,54,1,6,0,5,14,9
7,5,28,93,1,12,0,39,14,0
7,6,121,93,0,4,93,0,0,68
8,0,0,10,1,9,0,10,12,2
8,1,6,10,0,7,6,0,8,14
8,2,62,10,0,6,56,0,7,63
8,3,62,19,1,6,0,9,19,10
8,4,86,19,0,5,24,0,7,31
8,5,86,57,1,8,0,38,13,0
8,6,100,57,0,6,14,0,10,24
9,0,0,11,1,11,0,11,14,3
9,1,0,39,1,8,0,28,36,8
9,2,3,39,0,6,3,0,10,13
9,3,3,42,1,16,0,3,11,8
9,4,3,85,1,1,0,43,53,10
9,5,17,85,0,10,14,0,3,17
9,6,43,85,0,6,26,0,1,27
9,7,56,85,0,7,13,0,10,23
9,8,56,90,1,15,0,5,14,9
9,9,78,90,0,6,22,0,8,30
9,10,78,119,1,2,0,29,33,4
10,0,22,0,0,10,22,0,8,30
10,1,22,3,1,16,0,3,12,9
10,2,22,13,1,11,0,10,12,2
10,3,22,19,1,10,0,6,12,6
10,4,67,19,0,4,45,0,9,54
10,5,71,19,0,5,4,0,10,14
10,6,81,19,0,10,10,0,8,18
10,7,81,40,1,9,0,21,27,6
10,8,126,40,0,3,45,0,10,55
11,0,0,21,1,9,0,21,22,1
11,1,52,21,0,5,52,0,7,59
11,2,105,21,0,5,53,0,10,63
12,0,33,0,0,6,33,0,10,43
12,1,33,18,1,2,0,18,27,9
12,2,49,18,0,7,16,0,9,25
12,3,68,18,0,4,19,0,9,28
12,4,68,38,1,5,0,20,23,3
12,5,68,42,1,16,0,4,14,10
12,6,68,55,1,10,0,13,15,2
12,7,93,55,0,8,25,0,9,34
12,8,93,93,1,7,0,38,13,0
12,9,93,114,1,5,0,21,30,9
13,0,0,50,1,4,0,50,58,8
13,1,0,83,1,2,0,33,43,10
13,2,13,83,0,5,13,0,10,23
13,3,50,83,0,5,37,0,2,39
13,4,50,110,1,6,0,27,34,7
14,0,0,29,1,3,0,29,36,7
14,1,13,29,0,5,13,0,10,23
14,2,13,41,1,9,0,12,22,10
14,3,13,102,1,3,0,61,36,0
15,0,0,12,1,7,0,12,21,9
15,1,0,27,1,8,0,15,24,9
15,2,0,49,1,6,0,22,31,9
15,3,0,79,1,4,0,30,39,9
15,4,9,79,0,9,9,0,5,14
15,5,9,84,1,9,0,5,15,10
15,6,9,88,1,4,0,4,13,9
15,7,16,88,0,8,7,0,6,13
15,8,16,104,1,6,0,16,21,5
16,0,10,0,0,6,10,0,1,11
16,1,31,0,0,4,21,0,7,28
16,2,100,0,0,2,69,0,2,71
17,0,33,0,0,10,33,0,4,37
17,1,68,0,0,4,35,0,6,41
17,2,68,3,1,6,0,3,13,10
17,3,68,19,1,7,0,16,23,7
17,4,68,37,1,7,0,18,28,10
17,5,72,37,0,10,4,0,10,14
17,6,72,57,1,6,0,20,29,9
17,7,76,57,0,12,4,0,7,11
17,8,76,93,1,7,0,36,43,7
17,9,96,93,0,12,20,0,4,24
17,10,143,93,0,4,47,0,10,57
18,0,0,12,1,6,0,12,13,1
18,1,0,17,1,8,0,5,12,7
18,2,17,17,0,5,17,0,8,25
18,3,46,17,0,7,29,0,10,39
18,4,46,22,1,12,0,5,12,7
18,5,46,33,1,5,0,11,20,9
18,6,46,41,1,13,0,8,14,6
18,7,94,41,0,2,48,0,9,57
18,8,94,67,1,6,0,26,36,10
18,9,94,82,1,7,0,15,20,5
18,10,116,82,0,8,22,0,8,30
19,0,0,19,1,5,0,19,20,1
19,1,5,19,0,8,5,0,10,15
19,2,5,27,1,6,0,8,16,8
19,3,5,35,1,5,0,8,16,8
19,4,5,53,1,4,0,18,27,9
19,5,5,74,1,8,0,21,28,7
19,6,39,74,0,7,34,0,8,42
