Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,76.0,36.0,4.535483191,3.20992E-4
0,0,1,80.0,31.0,1.856002117,2.04141E-4
0,0,2,50.0,31.0,1.639963278,1.77705E-4
0,0,3,47.0,30.0,1.490725863,2.28217E-4
0,0,4,47.0,24.0,1.510732925,9.7323E-5
0,0,5,22.0,24.0,1.37384972,1.11817E-4
0,0,6,22.0,24.0,1.224280073,1.12666E-4
0,0,7,20.0,17.0,1.161341829,2.31352E-4
0,0,8,20.0,8.0,1.051322072,0.002435411
0,1,0,57.0,60.0,1.785835989,2.26754E-4
0,1,1,54.0,52.0,1.727430361,1.28871E-4
0,1,2,51.0,46.0,1.777674693,1.16228E-4
0,1,3,59.0,46.0,1.687999519,1.47094E-4
0,1,4,27.0,38.0,1.466387121,1.66756E-4
0,1,5,27.0,38.0,1.264570325,1.14542E-4
0,1,6,25.0,20.0,1.108557249,1.51227E-4
0,1,7,25.0,15.0,1.057049602,3.11164E-4
0,1,8,0.0,10.0,0.0,3.28217E-4
0,2,0,46.0,43.0,1.798411396,1.69247E-4
0,2,1,52.0,34.0,1.701096687,1.0661E-4
0,2,2,25.0,11.0,1.572513222,1.38455E-4
0,2,3,20.0,8.0,1.493070148,2.05167E-4
0,3,0,61.0,63.0,1.899797078,1.05289E-4
0,3,1,61.0,61.0,1.915312447,1.14832E-4
0,3,2,61.0,53.0,1.783261511,9.9274E-5
0,3,3,63.0,37.0,1.735707109,1.31737E-4
0,3,4,66.0,36.0,1.643943842,1.34978E-4
0,3,5,50.0,28.0,1.568405624,1.46838E-4
0,3,6,26.0,27.0,1.438958205,1.49693E-4
0,3,7,25.0,27.0,1.364229993,1.55443E-4
0,3,8,23.0,21.0,1.224518154,1.6063E-4
0,3,9,23.0,21.0,1.143039895,1.33061E-4
0,3,10,0.0,10.0,0.0,2.09439E-4
0,4,0,42.0,46.0,1.876372096,1.07197E-4
0,4,1,45.0,22.0,1.725131448,1.08687E-4
0,4,2,45.0,17.0,1.740061003,1.29027E-4
0,4,3,45.0,17.0,1.634819202,1.23939E-4
0,4,4,41.0,17.0,1.527343787,1.12535E-4
0,4,5,41.0,7.0,1.478066748,2.54938E-4
0,5,0,25.0,52.0,2.277467625,1.92793E-4
0,5,1,29.0,26.0,2.63984763,1.70241E-4
0,5,2,21.0,22.0,2.951382581,1.70228E-4
0,5,3,21.0,22.0,1.852592189,1.83942E-4
0,5,4,0.0,3.0,0.0,3.83015E-4
1,0,0,53.0,58.0,2.10803537,1.01875E-4
1,0,1,27.0,54.0,2.418431319,9.7477E-5
1,0,2,19.0,31.0,1.595876596,1.27929E-4
1,0,3,16.0,29.0,1.467458967,1.39897E-4
1,0,4,19.0,28.0,1.428162074,1.72242E-4
1,0,5,9.0,0.0,1.21567514,0.0
1,1,0,55.0,48.0,2.192844743,1.14023E-4
1,1,1,55.0,42.0,1.891287912,1.51034E-4
1,1,2,48.0,23.0,1.792750126,1.84879E-4
1,1,3,23.0,23.0,1.524754844,3.79398E-4
1,1,4,3.0,13.0,1.246884817,2.85012E-4
1,2,0,35.0,59.0,1.842288483,1.31909E-4
1,2,1,35.0,54.0,1.847762526,1.04918E-4
1,2,2,34.0,26.0,1.853569907,1.21652E-4
1,2,3,29.0,23.0,1.842656668,1.29788E-4
1,2,4,29.0,23.0,5.899724539,3.53206E-4
1,2,5,9.0,0.0,2.316817915,0.0
1,3,0,53.0,50.0,3.118309316,2.93644E-4
1,3,1,53.0,20.0,3.225782525,4.35727E-4
1,3,2,36.0,14.0,3.358757451,2.38207E-4
1,3,3,0.0,8.0,0.0,4.13105E-4
1,4,0,59.0,61.0,3.163008988,1.03584E-4
1,4,1,64.0,41.0,2.283453112,1.43182E-4
1,4,2,56.0,37.0,2.216018047,1.23787E-4
1,4,3,36.0,29.0,2.041274893,1.29819E-4
1,4,4,6.0,0.0,1.546629258,0.0
1,5,0,52.0,71.0,2.238313142,9.6507E-5
1,5,1,55.0,70.0,2.838623219,1.79703E-4
1,5,2,48.0,62.0,11.837128022,4.1864E-4
1,5,3,49.0,53.0,4.920294497,6.26486E-4
1,5,4,49.0,52.0,2.845697556,1.18575E-4
1,5,5,49.0,31.0,2.276172551,1.71757E-4
1,5,6,41.0,31.0,2.248092532,3.04129E-4
1,5,7,37.0,31.0,2.00734181,1.37005E-4
1,5,8,37.0,27.0,1.623966482,2.14637E-4
1,5,9,37.0,17.0,1.64341171,1.65468E-4
1,5,10,13.0,15.0,1.27743417,2.23757E-4
1,5,11,13.0,15.0,0.993861026,2.69031E-4
1,5,12,13.0,15.0,0.942830007,3.00713E-4
1,5,13,0.0,2.0,0.0,3.64077E-4
1,6,0,26.0,54.0,1.869731324,1.13875E-4
1,6,1,26.0,40.0,1.935652472,1.61042E-4
1,6,2,17.0,40.0,1.939956744,2.97426E-4
1,6,3,16.0,26.0,1.500393526,1.94656E-4
1,6,4,8.0,0.0,1.427142261,0.0
1,7,0,72.0,29.0,2.934658505,2.66088E-4
1,7,1,42.0,17.0,2.382690377,1.95635E-4
1,7,2,37.0,17.0,2.391557289,1.6461E-4
1,7,3,0.0,1.0,0.0,4.51088E-4
1,8,0,74.0,49.0,2.466504552,1.4438E-4
1,8,1,47.0,45.0,2.363839817,1.16552E-4
1,8,2,47.0,45.0,1.948077284,9.9338E-5
1,8,3,21.0,24.0,1.711213836,1.33495E-4
1,8,4,21.0,14.0,1.588060221,2.81251E-4
1,8,5,15.0,11.0,1.536530229,2.18699E-4
1,8,6,13.0,11.0,1.296995924,1.69355E-4
1,8,7,9.0,0.0,1.022859966,0.0
1,9,0,44.0,69.0,2.071334867,2.56172E-4
1,9,1,44.0,62.0,2.011311496,1.05957E-4
1,9,2,42.0,57.0,1.802458052,1.69648E-4
1,9,3,40.0,51.0,1.90396761,1.21452E-4
1,9,4,15.0,38.0,2.099856479,1.23275E-4
1,9,5,11.0,38.0,1.524085872,4.53735E-4
1,9,6,11.0,15.0,1.523861068,1.83072E-4
1,9,7,11.0,15.0,1.464765326,1.90608E-4
1,9,8,7.0,15.0,1.12271541,1.90637E-4
1,10,0,52.0,60.0,2.470415393,2.36258E-4
1,10,1,24.0,58.0,2.826157334,9.6673E-5
1,10,2,2.0,0.0,2.152661736,0.0
2,0,0,11.0,42.0,1.85436172,1.26635E-4
2,0,1,7.0,0.0,1.334487853,0.0
2,1,0,65.0,31.0,2.1164698,1.71836E-4
2,1,1,37.0,26.0,1.985011317,1.76562E-4
2,1,2,36.0,25.0,1.83743912,1.61885E-4
2,1,3,32.0,23.0,2.05385244,2.27434E-4
2,1,4,32.0,20.0,1.984266049,1.74018E-4
2,1,5,8.0,20.0,1.540108425,1.82261E-4
2,2,0,17.0,45.0,1.75459348,1.22754E-4
2,2,1,17.0,42.0,1.567710747,1.13727E-4
2,2,2,9.0,0.0,1.400144436,0.0
2,3,0,32.0,31.0,2.15469509,1.17101E-4
2,3,1,39.0,12.0,1.860664247,1.37117E-4
2,3,2,0.0,9.0,0.0,2.04131E-4
2,4,0,58.0,60.0,2.117498276,9.2214E-5
2,4,1,39.0,56.0,2.242881831,1.03615E-4
2,4,2,30.0,55.0,1.872565511,1.09844E-4
2,4,3,36.0,48.0,1.823941808,2.39921E-4
2,4,4,27.0,48.0,2.025298348,9.9708E-5
2,4,5,27.0,47.0,1.836852488,1.04336E-4
2,4,6,2.0,0.0,1.188889875,0.0
3,0,0,69.0,71.0,2.371396993,1.03942E-4
3,0,1,46.0,64.0,2.069653695,1.08801E-4
3,0,2,39.0,62.0,1.931300039,2.49096E-4
3,0,3,10.0,0.0,1.713948723,0.0
3,1,0,84.0,34.0,2.36066511,1.09726E-4
3,1,1,54.0,31.0,2.184902837,1.19077E-4
3,1,2,51.0,30.0,2.039996058,1.49015E-4
3,1,3,48.0,28.0,1.992774733,1.47587E-4
3,1,4,23.0,28.0,1.757715486,2.35375E-4
3,1,5,0.0,9.0,0.0,6.21898E-4
3,2,0,69.0,28.0,2.300295848,1.47689E-4
3,2,1,71.0,22.0,2.171973373,1.47688E-4
3,2,2,45.0,22.0,2.310513393,2.73067E-4
3,2,3,45.0,8.0,2.030184938,1.50217E-4
3,3,0,65.0,49.0,2.403373607,1.06937E-4
3,3,1,35.0,44.0,2.113496773,3.09743E-4
3,3,2,36.0,26.0,1.892327623,2.17108E-4
3,3,3,11.0,23.0,1.715711375,2.07245E-4
3,3,4,10.0,12.0,1.378862888,3.34333E-4
3,4,0,58.0,56.0,2.381764088,1.24822E-4
3,4,1,58.0,51.0,2.3936137,1.10161E-4
3,4,2,64.0,27.0,2.18231951,2.67083E-4
3,4,3,43.0,24.0,2.096919563,1.42262E-4
3,4,4,27.0,15.0,1.952536376,2.21101E-4
3,4,5,15.0,15.0,1.708792388,2.00068E-4
3,4,6,0.0,0.0,1.384895965,0.0
3,5,0,59.0,38.0,2.36099031,1.70602E-4
