Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,12,1,9,0,12,20,8
0,1,0,27,1,9,0,15,25,10
0,2,0,39,1,4,0,12,20,8
0,3,0,52,1,11,0,13,23,10
0,4,0,86,1,6,0,34,41,7
0,5,0,104,1,5,0,18,21,3
1,0,19,0,0,6,19,0,9,28
1,1,29,0,0,5,10,0,3,13
1,2,43,0,0,6,14,0,9,23
1,3,43,28,1,4,0,28,36,8
1,4,66,28,0,5,23,0,6,29
1,5,66,39,1,14,0,11,13,2
1,6,84,39,0,5,18,0,8,26
1,7,84,75,1,4,0,36,37,1
1,8,86,75,0,8,2,0,9,11
1,9,94,75,0,9,8,0,7,15
1,10,150,75,0,3,56,0,2,58
2,0,35,0,0,2,35,0,7,42
2,1,47,0,0,6,12,0,8,20
2,2,80,0,0,3,33,0,9,42
2,3,80,30,1,3,0,30,39,9
2,4,125,30,0,7,45,0,2,47
3,0,52,0,0,4,52,0,10,62
3,1,52,14,1,6,0,14,23,9
3,2,52,51,1,4,0,37,45,8
3,3,54,51,0,5,2,0,10,12
3,4,94,51,0,6,40,0,0,15
3,5,102,51,0,6,8,0,8,16
4,0,18,0,0,10,18,0,4,22
4,1,18,69,1,5,0,69,78,9
4,2,18,92,1,7,0,23,28,5
4,3,18,95,1,7,0,3,12,9
4,4,34,95,0,8,16,0,8,24
4,5,48,95,0,8,14,0,6,20
4,6,84,95,0,5,36,0,8,44
4,7,84,112,1,10,0,17,22,5
5,0,0,7,1,9,0,7,17,10
5,1,0,25,1,11,0,18,19,1
5,2,7,25,0,10,7,0,7,14
5,3,26,25,0,4,19,0,8,27
5,4,45,25,0,12,19,0,7,26
5,5,52,25,0,7,7,0,6,13
5,6,81,25,0,5,29,0,9,38
5,7,85,25,0,8,4,0,10,14
5,8,108,25,0,7,23,0,7,30
6,0,18,0,0,6,18,0,8,26
6,1,36,0,0,5,18,0,7,25
6,2,36,8,1,9,0,8,15,7
6,3,36,16,1,6,0,8,18,10
6,4,36,22,1,9,0,6,12,6
6,5,42,22,0,7,6,0,5,11
6,6,42,35,1,9,0,13,21,8
6,7,42,44,1,8,0,9,17,8
6,8,54,44,0,10,12,0,3,15
6,9,92,44,0,5,38,0,8,46
6,10,92,50,1,6,0,6,12,6
6,11,114,50,0,6,22,0,9,31
7,0,16,0,0,8,16,0,7,23
7,1,16,56,1,5,0,56,63,7
7,2,16,93,1,5,0,37,47,10
7,3,30,93,0,4,14,0,4,18
7,4,39,93,0,4,9,0,5,14
7,5,39,128,1,6,0,35,36,1
8,0,0,25,1,9,0,25,35,10
8,1,10,25,0,6,10,0,1,11
8,2,10,90,1,5,0,65,40,0
8,3,30,90,0,6,20,0,6,26
8,4,30,106,1,7,0,16,17,1
9,0,11,0,0,10,11,0,10,21
9,1,27,0,0,7,16,0,4,20
9,2,27,15,1,7,0,15,25,10
9,3,36,15,0,7,9,0,4,13
9,4,36,21,1,4,0,6,16,10
9,5,36,51,1,6,0,30,38,8
9,6,59,51,0,4,23,0,1,24
9,7,66,51,0,8,7,0,7,14
9,8,66,86,1,8,0,35,45,10
9,9,66,96,1,11,0,10,18,8
9,10,100,96,0,3,34,0,9,43
10,0,0,24,1,4,0,24,29,5
10,1,2,24,0,14,2,0,9,11
10,2,18,24,0,8,16,0,9,25
10,3,28,24,0,6,10,0,10,20
10,4,28,43,1,5,0,19,24,5
10,5,34,43,0,4,6,0,6,12
10,6,34,71,1,7,0,28,31,3
10,7,34,82,1,8,0,11,20,9
10,8,80,82,0,3,46,0,7,53
10,9,84,82,0,7,4,0,8,12
10,10,84,135,1,4,0,53,55,2
11,0,9,0,0,4,9,0,3,12
11,1,9,41,1,8,0,41,47,6
11,2,28,41,0,7,19,0,8,27
11,3,28,76,1,4,0,35,43,8
11,4,28,96,1,6,0,20,23,3
11,5,41,96,0,5,13,0,8,21
11,6,77,96,0,5,36,0,8,44
11,7,92,96,0,5,15,0,8,23
11,8,92,121,1,6,0,25,33,8
12,0,45,0,0,6,45,0,3,48
12,1,45,53,1,8,0,53,62,9
12,2,88,53,0,5,43,0,0,18
12,3,88,76,1,6,0,23,28,5
12,4,120,76,0,7,32,0,10,42
13,0,14,0,0,7,14,0,7,21
13,1,14,33,1,2,0,33,43,10
13,2,55,33,0,5,41,0,1,42
13,3,76,33,0,6,21,0,2,23
13,4,81,33,0,10,5,0,6,11
13,5,89,33,0,5,8,0,3,11
13,6,89,66,1,6,0,33,42,9
13,7,89,78,1,8,0,12,17,5
13,8,94,78,0,8,5,0,9,14
13,9,94,116,1,6,0,38,40,2
14,0,15,0,0,6,15,0,6,21
14,1,15,59,1,6,0,59,34,0
14,2,45,59,0,7,30,0,5,35
14,3,45,91,1,2,0,32,39,7
14,4,45,125,1,8,0,34,42,8
15,0,0,58,1,3,0,58,67,9
15,1,8,58,0,16,8,0,6,14
15,2,8,100,1,8,0,42,44,2
16,0,0,25,1,5,0,25,33,8
16,1,29,25,0,4,29,0,10,39
16,2,54,25,0,8,25,0,9,34
16,3,54,61,1,4,0,36,45,9
16,4,78,61,0,7,24,0,7,31
16,5,78,90,1,5,0,29,35,6
16,6,78,115,1,3,0,25,32,7
17,0,18,0,0,9,18,0,7,25
17,1,25,0,0,5,7,0,4,11
17,2,25,6,1,7,0,6,12,6
17,3,25,34,1,3,0,28,38,10
17,4,25,49,1,6,0,15,25,10
