Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,78.0,17.0,1.56674E-4,2.066588803
0,0,1,75.0,14.0,3.21439E-4,1.736138092
0,0,2,46.0,9.0,1.09986E-4,1.675322629
0,1,0,47.0,66.0,1.03051E-4,2.379330884
0,1,1,39.0,36.0,1.20296E-4,2.103058264
0,1,2,0.0,8.0,0.0,1.612036051
0,2,0,46.0,74.0,1.04905E-4,2.463964673
0,2,1,45.0,44.0,1.22796E-4,2.2545958
0,2,2,42.0,17.0,1.16616E-4,1.850200553
0,2,3,19.0,14.0,1.64179E-4,1.771743211
0,2,4,18.0,1.0,2.32882E-4,1.439360092
0,3,0,34.0,76.0,1.48379E-4,2.262121648
0,3,1,17.0,77.0,3.03811E-4,2.254112838
0,3,2,17.0,69.0,1.78128E-4,2.184382115
0,3,3,11.0,39.0,1.87865E-4,2.0165902
0,3,4,11.0,38.0,2.59765E-4,1.797457111
0,3,5,4.0,13.0,2.52009E-4,1.513916657
0,4,0,39.0,42.0,9.8725E-5,2.46377501
0,4,1,39.0,46.0,1.1544E-4,2.213381833
0,4,2,35.0,46.0,1.17987E-4,2.155230196
0,4,3,34.0,41.0,4.13452E-4,2.036372602
0,4,4,34.0,41.0,1.06231E-4,2.076582009
0,4,5,31.0,41.0,2.34759E-4,1.942127168
0,4,6,31.0,26.0,1.82133E-4,1.768062267
0,4,7,31.0,26.0,1.73351E-4,1.688190154
0,4,8,26.0,7.0,1.20301E-4,1.169265776
1,0,0,49.0,62.0,1.44173E-4,2.28796329
1,0,1,41.0,64.0,1.10185E-4,2.292342812
1,0,2,36.0,61.0,1.56995E-4,1.877839065
1,0,3,14.0,63.0,1.44347E-4,2.081081595
1,0,4,14.0,63.0,1.74631E-4,1.639114419
1,0,5,9.0,0.0,2.51011E-4,0.0
1,1,0,50.0,39.0,1.14079E-4,2.587571495
1,1,1,50.0,32.0,1.12952E-4,2.278436978
1,1,2,41.0,32.0,1.14081E-4,2.038805409
1,1,3,39.0,34.0,1.18648E-4,1.97278316
1,1,4,35.0,34.0,1.33586E-4,1.961343342
1,1,5,20.0,21.0,2.88849E-4,1.597359921
1,1,6,20.0,11.0,2.37426E-4,1.450399157
1,1,7,20.0,11.0,2.1599E-4,1.474094819
1,1,8,20.0,11.0,2.33655E-4,1.117185855
1,1,9,0.0,8.0,0.0,1.08620452
1,2,0,29.0,42.0,1.33657E-4,2.26028135
1,2,1,22.0,42.0,1.10615E-4,2.083854365
1,2,2,21.0,38.0,1.18016E-4,2.209651216
1,2,3,21.0,35.0,2.19805E-4,2.088346455
1,2,4,8.0,0.0,2.86276E-4,0.0
1,3,0,58.0,52.0,1.0211E-4,2.257290211
1,3,1,55.0,25.0,1.01158E-4,1.821943604
1,3,2,50.0,30.0,1.34248E-4,1.607758241
1,3,3,43.0,30.0,9.8797E-5,1.561736617
1,3,4,0.0,0.0,0.0,1.412355628
1,4,0,62.0,46.0,8.3414E-5,2.23556098
1,4,1,56.0,47.0,9.138E-5,2.041312935
1,4,2,51.0,38.0,9.5504E-5,2.04386393
1,4,3,51.0,36.0,9.5241E-5,1.856809943
1,4,4,44.0,35.0,1.17486E-4,2.702869391
1,4,5,38.0,39.0,1.84775E-4,3.024702791
1,4,6,20.0,14.0,2.28305E-4,2.708456874
1,4,7,20.0,14.0,0.001075937,1.569733192
1,4,8,20.0,14.0,1.47056E-4,1.508524802
1,4,9,5.0,0.0,2.92769E-4,0.0
1,5,0,57.0,69.0,6.28481E-4,2.755004976
1,5,1,52.0,68.0,1.20315E-4,2.278579288
1,5,2,36.0,68.0,1.4535E-4,2.205244078
1,5,3,28.0,72.0,1.79641E-4,2.606858165
1,5,4,28.0,43.0,3.71112E-4,2.487958411
