Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,37,1,3,0,37,46,9
0,1,0,68,1,3,0,31,39,8
0,2,0,85,1,5,0,17,18,1
0,3,9,85,0,6,9,0,4,13
0,4,9,104,1,9,0,19,26,7
1,0,54,0,0,6,54,0,9,63
1,1,54,12,1,10,0,12,20,8
1,2,81,12,0,5,27,0,8,35
1,3,81,80,1,4,0,68,43,0
1,4,90,80,0,10,9,0,5,14
1,5,124,80,0,6,34,0,8,42
2,0,41,0,0,2,41,0,9,50
2,1,41,55,1,2,0,55,59,4
2,2,88,55,0,3,47,0,8,55
2,3,88,76,1,7,0,21,30,9
2,4,88,116,1,6,0,40,41,1
3,0,0,5,1,10,0,5,14,9
3,1,0,52,1,3,0,47,57,10
3,2,0,66,1,9,0,14,23,9
3,3,0,107,1,5,0,41,44,3
4,0,42,0,0,7,42,0,8,50
4,1,42,17,1,9,0,17,22,5
4,2,42,25,1,8,0,8,15,7
4,3,49,25,0,4,7,0,5,12
4,4,70,25,0,4,21,0,7,28
4,5,82,25,0,8,12,0,6,18
4,6,89,25,0,8,7,0,10,17
4,7,89,47,1,4,0,22,31,9
4,8,155,47,0,4,66,0,1,67
5,0,32,0,0,9,32,0,2,34
5,1,49,0,0,7,17,0,10,27
5,2,49,9,1,6,0,9,12,3
5,3,49,29,1,7,0,20,24,4
5,4,49,51,1,9,0,22,23,1
5,5,68,51,0,3,19,0,10,29
5,6,107,51,0,7,39,0,5,44
6,0,14,0,0,5,14,0,9,23
6,1,65,0,0,4,51,0,0,26
6,2,79,0,0,10,14,0,7,21
6,3,109,0,0,4,30,0,10,40
7,0,0,21,1,5,0,21,28,7
7,1,0,54,1,6,0,33,42,9
7,2,0,59,1,7,0,5,12,7
7,3,0,87,1,2,0,28,37,9
7,4,22,87,0,4,22,0,10,32
7,5,22,106,1,9,0,19,26,7
8,0,0,11,1,9,0,11,20,9
8,1,0,15,1,5,0,4,14,10
8,2,59,15,0,5,59,0,2,61
8,3,65,15,0,8,6,0,9,15
8,4,88,15,0,5,23,0,9,32
8,5,111,15,0,3,23,0,7,30
9,0,6,0,0,9,6,0,9,15
9,1,28,0,0,6,22,0,8,30
9,2,28,20,1,7,0,20,26,6
9,3,84,20,0,5,56,0,7,63
9,4,84,63,1,1,0,43,53,10
9,5,89,63,0,11,5,0,8,13
9,6,89,81,1,4,0,18,26,8
9,7,89,94,1,7,0,13,23,10
9,8,89,120,1,6,0,26,33,7
10,0,0,9,1,6,0,9,19,10
10,1,4,9,0,10,4,0,9,13
10,2,4,30,1,7,0,21,22,1
10,3,47,30,0,6,43,0,0,18
10,4,47,36,1,5,0,6,15,9
10,5,56,36,0,6,9,0,3,12
10,6,56,49,1,7,0,13,20,7
10,7,56,75,1,4,0,26,35,9
10,8,109,75,0,3,53,0,9,62
11,0,31,0,0,4,31,0,7,38
11,1,31,41,1,6,0,41,16,0
11,2,47,41,0,10,16,0,8,24
11,3,50,41,0,7,3,0,10,13
11,4,92,41,0,6,42,0,8,50
11,5,92,68,1,4,0,27,29,2
11,6,92,78,1,5,0,10,18,8
11,7,92,97,1,8,0,19,24,5
11,8,92,136,1,6,0,39,14,0
12,0,0,19,1,4,0,19,28,9
12,1,0,35,1,7,0,16,23,7
12,2,31,35,0,2,31,0,10,41
12,3,49,35,0,4,18,0,9,27
12,4,49,60,1,5,0,25,30,5
12,5,49,83,1,13,0,23,25,2
12,6,85,83,0,3,36,0,9,45
12,7,85,89,1,11,0,6,16,10
12,8,85,101,1,6,0,12,13,1
13,0,8,0,0,9,8,0,9,17
13,1,8,33,1,2,0,33,43,10
13,2,61,33,0,3,53,0,7,60
13,3,101,33,0,6,40,0,2,42
14,0,0,25,1,5,0,25,32,7
