Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,78,36,3.1893457,0.029594
0,0,1,48,35,2.5687961,0.0182857
0,0,2,51,25,2.3542036,0.0197297
0,0,3,44,5,2.240321,0.017417
0,1,0,61,60,2.6411427,0.0200797
0,1,1,52,52,2.6332316,0.0377607
0,1,2,52,49,2.5405512,0.0328509
0,1,3,50,49,2.2655315,0.023111
0,1,4,50,49,2.0501729,0.015161
0,1,5,48,43,1.9973019,0.0215011
0,1,6,48,36,1.7873334,0.0272185
0,1,7,23,22,1.4696833,0.0294036
0,1,8,23,22,1.3907817,0.0227188
0,1,9,14,14,1.1790126,0.0274502
0,1,10,0,7,0,0.0188393
0,2,0,48,49,2.4442248,0.0227096
0,2,1,53,42,2.3603769,0.0276134
0,2,2,53,26,2.296641,0.0256211
0,2,3,27,18,2.1687508,0.0447337
0,2,4,1,0,1.6436991,0
0,3,0,61,63,2.7843483,0.0248571
0,3,1,58,61,2.5696634,0.0218627
0,3,2,67,56,2.4870409,0.0194196
0,3,3,67,47,2.5752757,0.0238226
0,3,4,61,47,2.4831527,0.0160207
0,3,5,41,24,2.3015943,0.0224061
0,3,6,37,22,2.2851962,0.0225564
0,3,7,33,22,2.0864884,0.0119634
0,3,8,19,18,2.0664591,0.0428011
0,3,9,19,18,1.9354162,0.0145907
0,3,10,4,18,1.2947727,0.0161752
0,4,0,42,46,2.5776754,0.0189499
0,4,1,48,40,2.4100335,0.0191441
0,4,2,46,35,2.3772159,0.0696732
0,4,3,46,35,2.2248303,0.022236
0,4,4,51,26,2.0273915,0.0586201
0,4,5,23,26,1.9910236,0.0434757
0,4,6,17,26,1.660039,0.0331526
0,4,7,11,15,1.4105959,0.0471333
0,4,8,11,15,1.2941702,0.0397255
0,4,9,11,15,1.2706863,0.0259039
0,4,10,9,0,1.143942,0
0,5,0,28,52,2.7270279,0.0166898
0,5,1,32,49,2.6919506,0.0245809
0,5,2,32,45,2.5069844,0.020517
0,5,3,2,22,2.0298835,0.0195752
0,6,0,56,74,2.7333263,0.0231767
0,6,1,57,46,2.5307239,0.0115272
0,6,2,57,40,2.517581,0.0227478
0,6,3,35,32,2.2463406,0.0138665
0,6,4,30,27,2.1432901,0.0257958
0,6,5,7,0,1.7932414,0
0,7,0,65,68,2.7233167,0.0320016
0,7,1,66,60,2.7690259,0.0300554
0,7,2,64,33,2.3752358,0.0220804
0,7,3,36,28,2.2771219,0.0433843
0,7,4,29,28,2.2320663,0.0587695
0,7,5,29,28,1.8663758,0.0542618
0,7,6,14,28,1.6106022,0.0249888
0,7,7,9,28,1.4286732,0.0193629
0,8,0,30,46,2.7409943,0.0186722
0,8,1,31,45,2.455181,0.0182417
0,8,2,5,0,1.6867908,0
1,0,0,55,56,2.8419415,0.0200009
1,0,1,25,48,2.4368405,0.0249332
1,0,2,22,46,2.3373332,0.0542462
1,0,3,3,0,2.0143519,0
1,1,0,50,39,2.7000185,0.0653091
1,1,1,55,32,2.5750347,0.0288635
1,1,2,55,12,2.412401,0.0276596
1,1,3,25,12,2.1105825,0.0413435
1,1,4,0,5,0,0.0407861
1,2,0,30,35,2.6595046,0.024395
1,2,1,34,34,2.4413795,0.0304993
1,2,2,28,29,2.3983806,0.0289014
1,2,3,25,26,2.5370691,0.0695059
1,2,4,30,23,2.595069,0.0365531
1,2,5,5,0,1.8858518,0
1,3,0,53,50,2.8118743,0.0309814
1,3,1,53,20,2.7384497,0.028653
1,3,2,38,14,2.575396,0.0811638
1,3,3,0,8,0,0.0930463
1,4,0,67,62,2.8282252,0.0276525
1,4,1,55,62,3.0045623,0.016472
1,4,2,50,42,3.1409691,0.0130523
1,4,3,50,41,3.04722,0.016339
1,4,4,43,39,2.9356691,0.016427
1,4,5,20,28,2.3792013,0.0316136
1,4,6,22,28,2.3849615,0.0219652
1,4,7,12,28,2.2264722,0.0477598
1,4,8,0,0,1.5071613,0
2,0,0,11,42,2.1144254,0.0207611
2,0,1,7,0,1.5509115,0
2,1,0,55,33,2.7779682,0.0306087
2,1,1,61,24,2.6672911,0.0259452
2,1,2,60,16,2.7359464,0.0449861
2,1,3,54,16,2.374404,0.0343194
2,1,4,49,13,2.2726385,0.0307656
2,1,5,45,13,2.0888403,0.0173705
2,1,6,45,12,2.0002486,0.0353958
2,1,7,45,12,1.7708921,0.0487917
2,1,8,29,12,1.6451321,0.0100063
2,1,9,0,9,0,0.0111721
2,2,0,17,45,1.7643081,0.0219163
2,2,1,17,42,1.7499751,0.0271312
2,2,2,9,0,1.584547,0
2,3,0,34,31,2.3823061,0.0222569
2,3,1,37,30,2.4235186,0.0172164
2,3,2,35,24,2.451914,0.0941498
2,3,3,40,24,2.3439449,0.0290674
2,3,4,0,8,0,0.0536775
2,4,0,53,35,2.6055441,0.0420495
2,4,1,39,30,2.5091143,0.018976
2,4,2,35,29,2.416622,0.0391257
2,4,3,35,24,2.3322805,0.0143974
2,4,4,36,24,2.2395849,0.0520498
2,4,5,34,21,2.1520381,0.0139121
2,4,6,26,21,1.9527955,0.0116951
2,4,7,26,21,1.856396,0.0411622
2,4,8,5,0,1.0573125,0
2,5,0,58,54,2.4524536,0.0444492
2,5,1,28,39,2.1757597,0.0146349
2,5,2,2,30,1.6029821,0.0181801
3,0,0,68,65,2.5517324,0.0300049
3,0,1,41,65,2.2456634,0.0224225
3,0,2,12,35,1.7539821,0.0241707
3,0,3,12,35,1.6202928,0.0389717
3,0,4,10,0,1.3882109,0
3,1,0,86,34,2.5599136,0.0234527
3,1,1,63,32,2.3101119,0.0268546
3,1,2,64,27,2.4910909,0.0274148
3,1,3,40,26,2.0849762,0.0352069
3,1,4,0,10,0,0.033983
3,2,0,69,28,2.6009514,0.0256357
3,2,1,64,28,2.414729,0.0199638
3,2,2,67,9,2.3867848,0.0156557
3,3,0,65,49,2.5756858,0.0212106
3,3,1,35,44,2.3669496,0.0251496
3,3,2,34,26,2.0616899,0.04585
3,3,3,33,24,2.1796813,0.0247205
3,3,4,10,22,1.6577117,0.0396194
3,4,0,58,56,2.8697369,0.0211896
3,4,1,64,32,2.7339465,0.0161125
3,4,2,48,4,2.6335457,0.0396128
4,0,0,52,67,2.814851,0.0264267
4,0,1,50,64,2.7748049,0.0264142
4,0,2,47,59,2.6361773,0.0221417
4,0,3,42,34,2.4125645,0.0210984
4,0,4,39,29,2.3279655,0.0428166
4,0,5,39,24,2.430353,0.0467254
4,0,6,29,24,2.170878,0.0355323
4,0,7,24,20,1.9243596,0.0259302
4,0,8,25,20,1.9845707,0.0375754
4,0,9,22,20,1.7862931,0.0188163
4,0,10,19,17,1.469668,0.0251135
4,0,11,18,9,1.2846226,0.016301
4,1,0,77,14,2.6812269,0.0555219
4,1,1,79,14,2.5667544,0.023584
4,1,2,53,14,2.3773204,0.0217119
4,1,3,53,14,2.2968529,0.0222016
4,1,4,50,14,2.2301675,0.0176386
4,1,5,50,14,2.1792298,0.0204691
4,1,6,50,13,2.0389934,0.0169475
4,1,7,0,4,0,0.0243598
4,2,0,40,63,2.4447751,0.0216627
4,2,1,40,55,2.2858406,0.0262007
4,2,2,24,47,2.1485744,0.0183531
4,2,3,21,47,2.0278554,0.0311357
4,2,4,21,26,1.9110453,0.0124096
4,2,5,15,25,1.6863346,0.0345409
4,2,6,15,19,1.5983587,0.0135104
4,2,7,12,6,1.3902215,0.0271087
4,3,0,40,42,2.5815374,0.0267964
4,3,1,40,16,2.5164861,0.0295816
4,3,2,15,14,2.2188251,0.0449141
4,3,3,9,14,1.6283002,0.0238085
4,4,0,45,58,2.5008049,0.0223723
4,4,1,50,52,2.3666956,0.0242634
4,4,2,49,43,2.3157905,0.0274159
4,4,3,49,43,2.1323752,0.0650022
4,4,4,43,22,2.0980102,0.0240979
4,4,5,15,12,1.4874299,0.0436491
4,4,6,0,0,1.3317085,0
4,5,0,22,53,2.1246904,0.0124122
4,5,1,22,52,1.8367524,0.0211616
4,5,2,19,44,1.9752886,0.0257268
4,5,3,19,22,1.8631193,0.0247521
4,5,4,19,22,1.7343719,0.0803966
4,5,5,21,22,1.6124573,0.0423482
4,5,6,21,20,1.5735947,0.0179295
4,5,7,6,20,1.2747778,0.0182737
4,6,0,48,49,2.6049749,0.0282964
4,6,1,39,49,2.5089664,0.0235104
4,6,2,31,42,2.3547495,0.0246662
4,6,3,31,41,2.1829045,0.0227064
4,6,4,22,41,2.0096223,0.0269004
4,6,5,22,16,1.7659304,0.0247011
4,6,6,22,11,1.6559107,0.0455891
4,6,7,8,0,1.219903,0
4,7,0,75,37,2.5373023,0.0254988
4,7,1,75,29,2.432125,0.0251483
4,7,2,52,27,2.2949371,0.0293373
4,7,3,42,26,2.0710445,0.0208373
4,7,4,12,26,1.5652914,0.0229443
4,7,5,12,15,1.2583255,0.0232099
4,7,6,0,9,0,0.0408209
4,8,0,13,58,2.1291397,0.0232252
4,8,1,14,32,1.7443691,0.0178291
4,8,2,14,30,1.6745488,0.0433917
4,8,3,5,0,1.342635,0
4,9,0,24,13,2.000636,0.0219411
4,9,1,0,2,0,0.0257513
