Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,39,1,4,0,39,44,5
0,1,0,46,1,11,0,7,14,7
0,2,17,46,0,5,17,0,1,18
0,3,31,46,0,11,14,0,4,18
0,4,37,46,0,11,6,0,9,15
0,5,57,46,0,4,20,0,2,22
0,6,77,46,0,6,20,0,7,27
0,7,96,46,0,8,19,0,9,28
0,8,136,46,0,3,40,0,5,45
1,0,43,0,0,4,43,0,3,46
1,1,43,20,1,5,0,20,25,5
1,2,61,20,0,6,18,0,5,23
1,3,61,50,1,4,0,30,38,8
1,4,114,50,0,8,53,0,0,28
2,0,35,0,0,2,35,0,7,42
2,1,35,20,1,10,0,20,29,9
2,2,68,20,0,3,33,0,9,42
2,3,68,52,1,5,0,32,40,8
2,4,84,52,0,9,16,0,5,21
2,5,112,52,0,3,28,0,2,30
3,0,25,0,0,5,25,0,10,35
3,1,25,30,1,5,0,30,40,10
3,2,25,88,1,3,0,58,67,9
3,3,37,88,0,5,12,0,10,22
3,4,37,132,1,3,0,44,48,4
4,0,0,9,1,12,0,9,18,9
4,1,0,55,1,8,0,46,50,4
4,2,0,61,1,8,0,6,12,6
4,3,5,61,0,4,5,0,9,14
4,4,42,61,0,6,37,0,0,12
4,5,56,61,0,8,14,0,6,20
4,6,59,61,0,8,3,0,8,11
4,7,59,64,1,7,0,3,12,9
4,8,84,64,0,4,25,0,5,30
4,9,84,86,1,2,0,22,24,2
4,10,84,100,1,11,0,14,24,10
5,0,37,0,0,10,37,0,0,12
5,1,96,0,0,5,59,0,0,34
5,2,107,0,0,7,11,0,5,16
6,0,0,18,1,10,0,18,26,8
6,1,28,18,0,5,28,0,1,29
6,2,46,18,0,6,18,0,1,19
6,3,46,26,1,7,0,8,14,6
6,4,58,26,0,8,12,0,1,13
6,5,58,32,1,12,0,6,12,6
6,6,76,32,0,3,18,0,10,28
6,7,76,63,1,6,0,31,41,10
6,8,84,63,0,8,8,0,8,16
6,9,117,63,0,4,33,0,6,39
7,0,29,0,0,4,29,0,4,33
7,1,29,47,1,5,0,47,56,9
7,2,29,84,1,4,0,37,39,2
7,3,29,121,1,4,0,37,46,9
8,0,0,4,1,9,0,4,12,8
8,1,10,4,0,5,10,0,10,20
8,2,25,4,0,7,15,0,10,25
8,3,52,4,0,4,27,0,8,35
8,4,52,20,1,6,0,16,17,1
8,5,52,35,1,5,0,15,24,9
8,6,52,41,1,11,0,6,13,7
8,7,52,54,1,6,0,13,21,8
8,8,52,80,1,5,0,26,34,8
8,9,78,80,0,4,26,0,8,34
8,10,124,80,0,3,46,0,9,55
9,0,0,6,1,6,0,6,13,7
9,1,0,48,1,7,0,42,43,1
9,2,0,63,1,7,0,15,21,6
9,3,5,63,0,12,5,0,7,12
9,4,5,78,1,3,0,15,16,1
9,5,17,78,0,4,12,0,7,19
9,6,20,78,0,6,3,0,8,11
9,7,20,100,1,5,0,22,24,2
