Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,76.0,14.0,0.0341778,2.245853
0,0,1,46.0,9.0,0.0444479,1.9983976
0,1,0,47.0,66.0,0.0387032,2.7919309
0,1,1,39.0,38.0,0.0209794,2.4374712
0,1,2,0.0,8.0,0.0,2.0565439
0,2,0,46.0,49.0,0.0224582,2.5625445
0,2,1,39.0,42.0,0.0479874,2.2755573
0,2,2,31.0,16.0,0.0243294,1.8734133
0,2,3,11.0,13.0,0.0171269,1.7483976
0,2,4,11.0,13.0,0.058943,1.6763328
0,2,5,8.0,0.0,0.0168082,0.0
0,3,0,59.0,71.0,0.0166567,2.8797799
0,3,1,32.0,68.0,0.0215074,2.7302079
0,3,2,26.0,38.0,0.0351293,2.4342506
0,3,3,18.0,13.0,0.0530353,2.0899998
0,3,4,3.0,12.0,0.0307693,1.744123
0,4,0,39.0,46.0,0.0208971,2.8464712
0,4,1,35.0,49.0,0.0225995,2.7284046
0,4,2,35.0,22.0,0.0328666,2.4827575
0,4,3,32.0,17.0,0.0161474,2.141636
0,4,4,32.0,17.0,0.0524106,1.9492015
0,4,5,31.0,17.0,0.043442,1.8221354
0,4,6,31.0,17.0,0.0145291,1.479807
0,4,7,25.0,17.0,0.0151516,1.7317694
0,4,8,19.0,8.0,0.0409534,1.4081637
0,5,0,21.0,59.0,0.0277809,2.9852328
0,5,1,18.0,61.0,0.0331325,2.9728884
0,5,2,18.0,61.0,0.0391422,2.8039532
0,5,3,10.0,33.0,0.0339238,2.5525282
0,6,0,49.0,77.0,0.0260239,2.762699
0,6,1,49.0,77.0,0.0270287,2.6502034
0,6,2,49.0,73.0,0.0227723,2.3740629
0,6,3,24.0,45.0,0.0270869,2.3816845
0,6,4,24.0,41.0,0.1412173,2.0930045
0,6,5,24.0,34.0,0.0220669,1.7932993
0,6,6,24.0,34.0,0.039997,1.8107069
0,6,7,19.0,32.0,0.0419922,1.5418491
0,6,8,18.0,35.0,0.0151504,1.5649946
0,6,9,17.0,35.0,0.0193091,1.5287691
0,6,10,6.0,0.0,0.0142681,0.0
0,7,0,52.0,51.0,0.0250288,2.6358667
0,7,1,37.0,49.0,0.0302475,2.5718021
0,7,2,37.0,44.0,0.0334284,2.4712737
0,7,3,35.0,40.0,0.0214766,2.3143166
0,7,4,30.0,46.0,0.0393717,2.1349374
0,7,5,29.0,24.0,0.0383741,2.0449783
0,7,6,29.0,24.0,0.0419106,1.9532102
0,7,7,16.0,24.0,0.0242442,1.7642949
0,7,8,14.0,24.0,0.0471138,1.5787264
0,7,9,11.0,16.0,0.0312711,1.4653395
0,7,10,11.0,12.0,0.0274448,1.3655305
0,7,11,6.0,11.0,0.0159361,1.2112603
0,8,0,30.0,51.0,0.0239364,2.7089313
0,8,1,30.0,23.0,0.0277452,2.3846414
0,8,2,20.0,21.0,0.0523159,2.1274936
0,8,3,8.0,0.0,0.0285051,0.0
0,9,0,57.0,49.0,0.0247901,2.4811232
0,9,1,53.0,50.0,0.0174125,2.4242531
0,9,2,48.0,21.0,0.0252758,2.082067
0,9,3,0.0,1.0,0.0,1.6331132
1,0,0,49.0,62.0,0.0429842,2.7526225
1,0,1,41.0,60.0,0.0263335,2.4487072
1,0,2,40.0,57.0,0.0237134,2.2375586
1,0,3,18.0,57.0,0.0131283,2.1018882
1,0,4,14.0,57.0,0.0461845,2.1303699
1,0,5,9.0,0.0,0.0493895,0.0
1,1,0,50.0,39.0,0.0276295,2.7613554
1,1,1,43.0,41.0,0.0225304,2.8777169
1,1,2,43.0,11.0,0.0173361,2.3394195
1,1,3,0.0,7.0,0.0,1.7266867
1,2,0,29.0,42.0,0.0237836,2.6393991
1,2,1,22.0,42.0,0.0477495,2.7028106
1,2,2,21.0,41.0,0.017644,2.6949001
1,2,3,14.0,17.0,0.0220604,2.2636731
1,2,4,3.0,0.0,0.0705486,0.0
1,3,0,53.0,55.0,0.0237647,2.5767712
1,3,1,51.0,27.0,0.0260095,2.1068091
1,3,2,51.0,30.0,0.0292072,1.9937754
1,3,3,0.0,0.0,0.0,1.7270374
2,0,0,11.0,42.0,0.0185728,2.4242899
2,0,1,11.0,42.0,0.0804223,2.4943824
2,0,2,11.0,36.0,0.0404412,2.2801804
2,0,3,11.0,36.0,0.0132453,1.9995502
2,0,4,11.0,36.0,0.0609624,1.9506653
2,0,5,8.0,0.0,0.0196627,0.0
2,1,0,55.0,33.0,0.0194262,2.4576034
2,1,1,0.0,4.0,0.0,1.8562021
2,2,0,17.0,50.0,0.0141334,2.9584173
2,2,1,12.0,47.0,0.0263564,2.8998332
2,2,2,9.0,0.0,0.061933,0.0
2,3,0,62.0,38.0,0.0704583,2.801792
2,3,1,57.0,39.0,0.0270739,2.6677195
2,3,2,57.0,39.0,0.0110136,2.4189946
2,3,3,31.0,39.0,0.0123921,2.3127572
2,3,4,31.0,32.0,0.0736932,2.1220726
2,3,5,27.0,11.0,0.0247194,1.8768236
2,3,6,22.0,11.0,0.0151823,1.4828841
2,3,7,22.0,13.0,0.0331823,1.3378264
2,3,8,16.0,12.0,0.030678,1.2713225
2,3,9,0.0,10.0,0.0,1.0401359
2,4,0,53.0,58.0,0.018128,2.4989914
2,4,1,49.0,61.0,0.0195982,2.4206886
2,4,2,31.0,31.0,0.0272679,2.3039094
2,4,3,23.0,31.0,0.0181764,1.9882207
2,4,4,23.0,12.0,0.045042,1.7907088
2,4,5,22.0,11.0,0.033635,1.4937378
2,4,6,22.0,5.0,0.0239409,1.184619
2,5,0,78.0,63.0,0.0244774,2.8137688
2,5,1,48.0,48.0,0.0222584,2.737716
2,5,2,45.0,42.0,0.0214548,2.7420863
2,5,3,20.0,14.0,0.0491983,2.2628858
2,5,4,13.0,14.0,0.04411,2.0119909
2,5,5,0.0,8.0,0.0,1.920292
2,6,0,66.0,38.0,0.0346336,2.512887
2,6,1,64.0,38.0,0.0333347,2.2261455
2,6,2,61.0,38.0,0.0201711,2.2453263
2,6,3,54.0,26.0,0.0166231,2.1004164
2,6,4,28.0,28.0,0.0191113,1.9990975
2,6,5,28.0,25.0,0.0164013,1.8488467
2,6,6,9.0,0.0,0.0352401,0.0
2,7,0,61.0,53.0,0.0230022,2.6647645
2,7,1,53.0,59.0,0.0231136,2.4781308
2,7,2,52.0,53.0,0.0256995,2.5617929
2,7,3,46.0,59.0,0.0219621,2.3180718
2,7,4,42.0,51.0,0.0225505,2.2485399
2,7,5,42.0,16.0,0.0139283,1.7409554
2,7,6,0.0,7.0,0.0,1.4621689
3,0,0,66.0,65.0,0.0163858,2.5679364
3,0,1,37.0,36.0,0.0224102,2.3550437
3,0,2,36.0,36.0,0.0153492,2.1308604
3,0,3,36.0,35.0,0.0236802,2.0548374
3,0,4,29.0,41.0,0.0232482,1.8958269
3,0,5,23.0,42.0,0.0283651,2.1320859
3,0,6,8.0,0.0,0.0352867,0.0
3,1,0,54.0,34.0,0.0199939,3.147898
3,1,1,51.0,34.0,0.0194342,2.7438073
3,1,2,46.0,30.0,0.0215308,2.4547966
3,1,3,46.0,32.0,0.0353692,2.4841122
3,1,4,23.0,36.0,0.0208854,2.4760383
3,1,5,19.0,41.0,0.0242384,2.3350414
3,1,6,16.0,28.0,0.0821516,2.2470119
3,1,7,14.0,28.0,0.0356633,2.2277332
3,1,8,0.0,6.0,0.0,1.5751355
3,2,0,70.0,33.0,0.0250571,2.3789933
3,2,1,63.0,33.0,0.0230554,2.3488064
3,2,2,62.0,40.0,0.0201966,2.2461219
3,2,3,59.0,40.0,0.0188854,2.184681
3,2,4,35.0,33.0,0.0189131,2.0617067
3,2,5,26.0,33.0,0.089105,1.8373593
3,2,6,26.0,33.0,0.0345927,1.7851094
3,2,7,21.0,11.0,0.0244336,1.4187339
3,2,8,21.0,6.0,0.0277425,1.0862298
3,3,0,60.0,49.0,0.0261572,2.719632
3,3,1,58.0,43.0,0.0212014,2.6450986
3,3,2,32.0,43.0,0.0206477,2.6191005
3,3,3,29.0,43.0,0.0172196,2.4600796
