Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,37,1,2,0,37,46,9
0,1,0,68,1,3,0,31,39,8
0,2,5,68,0,6,5,0,8,13
0,3,14,68,0,5,9,0,3,12
0,4,14,79,1,9,0,11,19,8
0,5,37,79,0,4,23,0,10,33
0,6,66,79,0,11,29,0,6,35
0,7,71,79,0,12,5,0,6,11
0,8,84,79,0,4,13,0,8,21
0,9,84,126,1,4,0,47,48,1
1,0,48,0,0,6,48,0,9,57
1,1,48,36,1,4,0,36,43,7
1,2,62,36,0,5,14,0,3,17
1,3,62,112,1,3,0,76,51,0
2,0,28,0,0,6,28,0,8,36
2,1,28,51,1,2,0,51,55,4
2,2,66,51,0,3,38,0,9,47
2,3,66,57,1,10,0,6,16,10
2,4,66,74,1,7,0,17,22,5
2,5,66,79,1,6,0,5,13,8
2,6,82,79,0,7,16,0,9,25
2,7,82,114,1,7,0,35,42,7
3,0,34,0,0,7,34,0,8,42
3,1,34,8,1,9,0,8,14,6
3,2,34,23,1,9,0,15,21,6
3,3,67,23,0,5,33,0,9,42
3,4,67,30,1,5,0,7,16,9
3,5,67,47,1,11,0,17,24,7
3,6,93,47,0,5,26,0,9,35
3,7,93,101,1,6,0,54,29,0
4,0,10,0,0,6,10,0,10,20
4,1,10,42,1,4,0,42,52,10
4,2,19,42,0,9,9,0,4,13
4,3,27,42,0,2,8,0,9,17
4,4,27,57,1,6,0,15,20,5
4,5,77,57,0,2,50,0,7,57
4,6,77,61,1,7,0,4,12,8
4,7,77,68,1,8,0,7,17,10
4,8,87,68,0,6,10,0,6,16
4,9,94,68,0,1,7,0,9,16
4,10,94,77,1,11,0,9,19,10
4,11,108,77,0,10,14,0,5,19
5,0,0,22,1,10,0,22,31,9
5,1,5,22,0,11,5,0,7,12
5,2,13,22,0,6,8,0,10,18
5,3,13,70,1,3,0,48,57,9
5,4,13,91,1,8,0,21,29,8
5,5,44,91,0,2,31,0,9,40
5,6,89,91,0,2,45,0,6,51
5,7,92,91,0,4,3,0,10,13
5,8,97,91,0,8,5,0,10,15
5,9,97,115,1,6,0,24,32,8
6,0,0,7,1,7,0,7,13,6
6,1,0,16,1,10,0,9,12,3
6,2,8,16,0,7,8,0,4,12
6,3,44,16,0,4,36,0,4,40
6,4,72,16,0,7,28,0,8,36
6,5,72,29,1,10,0,13,22,9
6,6,89,29,0,8,17,0,3,20
6,7,89,57,1,7,0,28,38,10
6,8,98,57,0,8,9,0,7,16
6,9,108,57,0,6,10,0,4,14
7,0,0,9,1,6,0,9,16,7
7,1,0,57,1,6,0,48,50,2
7,2,0,63,1,8,0,6,15,9
7,3,0,77,1,3,0,14,23,9
7,4,15,77,0,3,15,0,8,23
7,5,43,77,0,6,28,0,3,31
7,6,76,77,0,5,33,0,7,40
7,7,79,77,0,8,3,0,8,11
7,8,117,77,0,10,38,0,7,45
8,0,39,0,0,9,39,0,2,41
8,1,39,25,1,4,0,25,31,6
8,2,69,25,0,6,30,0,2,32
8,3,69,29,1,10,0,4,13,9
8,4,89,29,0,4,20,0,10,30
8,5,110,29,0,3,21,0,10,31
9,0,0,50,1,5,0,50,55,5
9,1,0,63,1,7,0,13,17,4
9,2,0,95,1,5,0,32,34,2
9,3,26,95,0,5,26,0,7,33
9,4,26,113,1,1,0,18,28,10
10,0,0,22,1,6,0,22,25,3
10,1,0,36,1,10,0,14,23,9
10,2,0,44,1,10,0,8,18,10
10,3,37,44,0,5,37,0,0,12
10,4,37,47,1,5,0,3,13,10
10,5,37,52,1,8,0,5,14,9
10,6,37,68,1,7,0,16,23,7
10,7,37,94,1,4,0,26,35,9
10,8,96,94,0,3,59,0,8,67
10,9,99,94,0,6,3,0,10,13
10,10,99,122,1,8,0,28,31,3
11,0,0,43,1,8,0,43,18,0
11,1,0,59,1,8,0,16,25,9
11,2,13,59,0,7,13,0,3,16
11,3,13,72,1,7,0,13,19,6
11,4,50,72,0,4,37,0,9,46
