Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,6,1,10,0,6,14,8
0,1,0,19,1,7,0,13,19,6
0,2,0,29,1,10,0,10,12,2
0,3,12,29,0,4,12,0,10,22
0,4,12,50,1,5,0,21,30,9
0,5,12,65,1,8,0,15,17,2
0,6,19,65,0,10,7,0,5,12
0,7,19,83,1,12,0,18,20,2
0,8,28,83,0,10,9,0,6,15
0,9,28,92,1,7,0,9,13,4
0,10,28,98,1,11,0,6,14,8
0,11,28,106,1,10,0,8,18,10
1,0,9,0,0,9,9,0,5,14
1,1,30,0,0,9,21,0,7,28
1,2,30,1,1,2,0,1,11,10
1,3,33,1,0,2,3,0,10,13
1,4,56,1,0,10,23,0,9,32
1,5,56,16,1,9,0,15,16,1
1,6,67,16,0,11,11,0,7,18
1,7,89,16,0,5,22,0,8,30
1,8,89,26,1,10,0,10,19,9
1,9,99,26,0,9,10,0,3,13
1,10,117,26,0,8,18,0,9,27
2,0,0,7,1,5,0,7,13,6
2,1,35,7,0,3,35,0,6,41
2,2,35,11,1,7,0,4,11,7
2,3,35,33,1,5,0,22,28,6
2,4,35,48,1,4,0,15,23,8
2,5,35,55,1,8,0,7,11,4
2,6,44,55,0,11,9,0,2,11
2,7,64,55,0,4,20,0,9,29
2,8,75,55,0,6,11,0,1,12
2,9,84,55,0,10,9,0,8,17
2,10,84,67,1,9,0,12,20,8
2,11,84,74,1,8,0,7,15,8
2,12,124,74,0,4,40,0,4,44
3,0,3,0,0,10,3,0,10,13
3,1,3,53,1,4,0,53,62,9
3,2,10,53,0,8,7,0,7,14
3,3,10,57,1,10,0,4,13,9
3,4,10,67,1,6,0,10,19,9
3,5,10,79,1,3,0,12,22,10
3,6,10,108,1,6,0,29,38,9
4,0,0,34,1,5,0,34,44,10
4,1,6,34,0,7,6,0,8,14
4,2,18,34,0,8,12,0,4,16
4,3,26,34,0,6,8,0,5,13
4,4,26,49,1,6,0,15,21,6
4,5,49,49,0,6,23,0,7,30
4,6,63,49,0,6,14,0,2,16
4,7,63,92,1,7,0,43,18,0
4,8,63,98,1,7,0,6,13,7
4,9,63,117,1,5,0,19,27,8
5,0,3,0,0,13,3,0,8,11
5,1,3,4,1,4,0,4,11,7
5,2,20,4,0,9,17,0,9,26
5,3,42,4,0,7,22,0,6,28
5,4,44,4,0,8,2,0,9,11
5,5,47,4,0,9,3,0,8,11
5,6,47,9,1,6,0,5,13,8
5,7,67,9,0,3,20,0,9,29
5,8,75,9,0,8,8,0,4,12
5,9,75,13,1,10,0,4,11,7
5,10,75,19,1,6,0,6,11,5
5,11,75,35,1,8,0,16,24,8
5,12,83,35,0,14,8,0,5,13
5,13,95,35,0,4,12,0,6,18
5,14,95,41,1,8,0,6,16,10
5,15,95,49,1,10,0,8,13,5
5,16,97,49,0,10,2,0,9,11
5,17,97,65,1,5,0,16,21,5
5,18,104,65,0,8,7,0,7,14
