Game,Rounds,P0 Score,P1 Score,Winner
0,11,79,100,1
1,12,120,74,0
2,5,11,102,1
3,10,38,102,1
4,8,112,26,0
5,9,102,79,0
6,12,107,38,0
7,8,115,62,0
8,6,34,108,1
9,9,48,108,1
10,7,110,84,0
11,10,82,105,1
12,5,112,13,0
13,9,113,92,0
14,13,78,111,1
15,7,101,55,0
16,10,140,82,0
17,14,77,112,1
18,7,115,10,0
19,8,39,102,1
20,19,67,110,1
21,5,102,0,0
22,9,118,48,0
23,8,106,46,0
24,10,68,105,1
25,7,28,109,1
26,12,106,65,0
27,9,62,115,1
28,10,146,80,0
29,8,78,110,1
30,14,76,105,1
31,11,115,83,0
32,9,109,28,0
33,7,29,102,1
34,10,160,47,0
35,10,53,106,1
36,6,110,2,0
37,10,109,44,0
38,11,113,86,0
39,6,100,86,0
40,8,10,100,1
41,7,117,96,0
42,7,128,49,0
43,11,113,56,0
44,10,129,54,0
45,13,80,110,1
46,12,51,113,1
47,6,121,18,0
48,10,53,116,1
49,10,103,81,0
