Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,54.0,55.0,1.37327E-4,0.054791742
0,0,1,51.0,51.0,1.02497E-4,0.032002921
0,0,2,50.0,47.0,1.67326E-4,0.019198736
0,0,3,40.0,38.0,1.30455E-4,0.020829032
0,0,4,40.0,14.0,1.23681E-4,0.015978562
0,0,5,37.0,8.0,1.31467E-4,3.407E-4
0,1,0,65.0,51.0,7.9677E-5,0.014210518
0,1,1,65.0,47.0,8.0667E-5,0.016295126
0,1,2,37.0,30.0,9.5153E-5,0.015383035
0,1,3,34.0,30.0,1.154E-4,0.016635973
0,1,4,26.0,19.0,1.99601E-4,0.021528985
0,1,5,6.0,19.0,2.11777E-4,0.027286747
0,2,0,71.0,54.0,1.00235E-4,0.016255302
0,2,1,64.0,54.0,8.6173E-5,0.011763804
0,2,2,59.0,51.0,1.03846E-4,0.019078009
0,2,3,51.0,51.0,8.4803E-5,0.037023773
0,2,4,32.0,51.0,9.2834E-5,0.012245344
0,2,5,20.0,50.0,1.72353E-4,0.010578574
0,2,6,20.0,28.0,1.26351E-4,0.012527675
0,2,7,20.0,28.0,1.35502E-4,0.01743925
0,2,8,20.0,25.0,2.74195E-4,0.01213419
0,2,9,19.0,10.0,2.42619E-4,0.012727872
0,3,0,75.0,44.0,9.1741E-5,0.016856875
0,3,1,45.0,43.0,1.03868E-4,0.024763851
0,3,2,42.0,36.0,1.38341E-4,0.019834925
0,3,3,34.0,36.0,1.12487E-4,0.034481017
0,3,4,12.0,11.0,1.5388E-4,0.017588801
0,3,5,0.0,9.0,0.0,0.019467451
0,4,0,73.0,33.0,1.42939E-4,0.022751762
0,4,1,73.0,28.0,1.17885E-4,0.023992053
0,4,2,72.0,28.0,9.1547E-5,0.02892424
0,4,3,65.0,28.0,1.51063E-4,0.027227256
0,4,4,37.0,26.0,1.015E-4,0.025968069
0,4,5,35.0,23.0,1.70844E-4,0.032101961
0,4,6,34.0,19.0,1.18407E-4,0.028029927
0,4,7,33.0,19.0,1.00783E-4,0.022807603
0,4,8,27.0,19.0,9.8349E-5,0.025423818
0,4,9,22.0,19.0,1.94362E-4,0.02894222
0,4,10,21.0,19.0,1.42111E-4,0.017797263
0,4,11,21.0,19.0,1.43422E-4,0.024573123
0,4,12,18.0,19.0,2.27608E-4,0.018178908
0,4,13,18.0,19.0,1.58453E-4,0.013964158
0,4,14,18.0,19.0,1.02513E-4,0.013482205
0,4,15,14.0,8.0,1.35853E-4,0.049528764
0,5,0,56.0,57.0,8.4434E-5,0.022598907
0,5,1,32.0,57.0,9.8733E-5,0.017794534
0,5,2,32.0,55.0,1.31625E-4,0.044025502
0,5,3,27.0,55.0,1.04046E-4,0.016586016
0,5,4,27.0,48.0,1.64899E-4,0.015825188
0,5,5,27.0,26.0,1.76324E-4,0.011368488
0,5,6,26.0,26.0,1.75949E-4,0.019109472
0,5,7,20.0,26.0,1.31315E-4,0.019302192
0,5,8,20.0,23.0,1.77548E-4,0.017170468
0,5,9,0.0,8.0,0.0,0.012461166
0,6,0,62.0,63.0,9.5634E-5,0.01475202
0,6,1,59.0,54.0,8.288E-5,0.013236339
0,6,2,57.0,54.0,1.07888E-4,0.016316005
0,6,3,57.0,50.0,8.5331E-5,0.018957696
0,6,4,56.0,42.0,2.31985E-4,0.018411367
0,6,5,32.0,42.0,1.16948E-4,0.016746677
0,6,6,31.0,42.0,1.60755E-4,0.016655648
0,6,7,28.0,41.0,9.4851E-5,0.012144848
0,6,8,22.0,40.0,1.17593E-4,0.014193678
0,6,9,22.0,22.0,1.1585E-4,0.012463638
0,6,10,10.0,0.0,1.63858E-4,0.0
0,7,0,48.0,60.0,9.2981E-5,0.014443436
0,7,1,47.0,31.0,9.395E-5,0.01427415
0,7,2,44.0,25.0,1.51142E-4,0.019135925
0,7,3,19.0,18.0,1.31325E-4,0.020761534
0,7,4,15.0,18.0,3.49658E-4,0.023345159
0,7,5,15.0,14.0,1.34761E-4,0.019391315
0,7,6,0.0,3.0,0.0,0.018679229
0,8,0,51.0,25.0,1.90426E-4,0.106717658
0,8,1,51.0,22.0,1.0397E-4,0.037842814
0,8,2,51.0,20.0,1.78425E-4,0.026547593
0,8,3,28.0,20.0,1.72754E-4,0.02208098
0,8,4,23.0,14.0,1.821E-4,0.022150886
0,8,5,8.0,0.0,1.57361E-4,0.0
0,9,0,63.0,50.0,8.0162E-5,0.017088424
0,9,1,63.0,46.0,1.79922E-4,0.027229413
0,9,2,56.0,46.0,1.00526E-4,0.017087016
0,9,3,54.0,19.0,9.9568E-5,0.025589822
0,9,4,35.0,16.0,1.36426E-4,0.019422123
0,9,5,35.0,16.0,1.03509E-4,0.021657678
0,9,6,32.0,16.0,1.24026E-4,0.0192227
0,9,7,13.0,16.0,2.47517E-4,0.017759491
0,9,8,13.0,16.0,1.89707E-4,0.019473544
0,9,9,13.0,16.0,1.72908E-4,0.013607999
0,9,10,13.0,16.0,1.60534E-4,0.015272388
0,9,11,0.0,10.0,0.0,0.017299936
0,10,0,42.0,51.0,1.19338E-4,0.092188273
0,10,1,42.0,51.0,1.62823E-4,0.017749904
0,10,2,42.0,21.0,1.06461E-4,1.766053669
0,10,3,42.0,19.0,1.55931E-4,0.194387908
0,10,4,40.0,12.0,1.84369E-4,0.030966271
0,10,5,37.0,12.0,1.83904E-4,0.045552844
0,10,6,23.0,8.0,2.73029E-4,0.067130054
0,11,0,39.0,55.0,1.30725E-4,0.015059364
0,11,1,29.0,55.0,1.30885E-4,0.016668487
0,11,2,25.0,36.0,1.37693E-4,0.019119429
0,11,3,25.0,34.0,1.2477E-4,0.017004961
0,11,4,8.0,26.0,1.6822E-4,0.01836811
0,12,0,54.0,41.0,1.17154E-4,0.029485598
0,12,1,54.0,12.0,9.7213E-5,0.017718321
0,12,2,54.0,12.0,1.0492E-4,0.0174912
0,12,3,49.0,4.0,1.43142E-4,0.015930853
1,0,0,45.0,32.0,3.50437E-4,0.028980429
1,0,1,39.0,32.0,1.44042E-4,0.021878752
1,0,2,14.0,32.0,1.84776E-4,0.025277879
1,0,3,11.0,32.0,2.32558E-4,0.015154671
1,0,4,0.0,0.0,3.15288E-4,0.0
1,1,0,35.0,33.0,1.11419E-4,0.01595114
1,1,1,31.0,27.0,1.07956E-4,0.018138548
1,1,2,31.0,27.0,1.02867E-4,0.015904864
1,1,3,18.0,27.0,2.6914E-4,0.013979914
