Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,7,0,0,6,7,0,8,15
0,1,7,13,1,10,0,13,19,6
0,2,11,13,0,13,4,0,7,11
0,3,32,13,0,5,21,0,6,27
0,4,49,13,0,10,17,0,7,24
0,5,49,40,1,5,0,27,37,10
0,6,49,47,1,6,0,7,15,8
0,7,63,47,0,4,14,0,7,21
0,8,82,47,0,6,19,0,9,28
0,9,82,60,1,9,0,13,23,10
0,10,94,60,0,8,12,0,8,20
0,11,94,70,1,8,0,10,20,10
0,12,94,75,1,10,0,5,11,6
0,13,94,80,1,8,0,5,15,10
0,14,112,80,0,7,18,0,6,24
1,0,0,21,1,6,0,21,27,6
1,1,4,21,0,9,4,0,9,13
1,2,4,25,1,6,0,4,12,8
1,3,21,25,0,5,17,0,4,21
1,4,21,63,1,8,0,38,13,0
1,5,21,77,1,10,0,14,20,6
1,6,21,89,1,2,0,12,17,5
1,7,51,89,0,6,30,0,2,32
1,8,69,89,0,6,18,0,9,27
1,9,89,89,0,3,20,0,6,26
1,10,97,89,0,8,8,0,7,15
1,11,112,89,0,8,15,0,10,25
2,0,0,8,1,10,0,8,12,4
2,1,3,8,0,6,3,0,9,12
2,2,9,8,0,4,6,0,7,13
2,3,50,8,0,3,41,0,7,48
2,4,50,17,1,5,0,9,16,7
2,5,50,49,1,7,0,32,40,8
2,6,89,49,0,4,39,0,6,45
2,7,89,62,1,10,0,13,23,10
2,8,109,62,0,6,20,0,10,30
3,0,0,1,1,7,0,1,11,10
3,1,0,11,1,10,0,10,17,7
3,2,35,11,0,6,35,0,4,39
3,3,41,11,0,13,6,0,7,13
3,4,45,11,0,10,4,0,8,12
3,5,45,21,1,7,0,10,17,7
3,6,81,21,0,5,36,0,7,43
3,7,81,67,1,8,0,46,51,5
3,8,84,67,0,8,3,0,10,13
3,9,113,67,0,4,29,0,8,37
4,0,0,31,1,1,0,31,39,8
4,1,13,31,0,6,13,0,10,23
4,2,32,31,0,4,19,0,6,25
4,3,44,31,0,13,12,0,9,21
4,4,50,31,0,7,6,0,9,15
4,5,50,60,1,8,0,29,31,2
4,6,88,60,0,6,38,0,10,48
4,7,91,60,0,7,3,0,9,12
4,8,109,60,0,8,18,0,8,26
5,0,0,21,1,9,0,21,24,3
5,1,0,31,1,5,0,10,18,8
5,2,0,56,1,6,0,25,32,7
5,3,9,56,0,15,9,0,9,18
5,4,9,73,1,12,0,17,26,9
5,5,18,73,0,5,9,0,6,15
5,6,18,76,1,8,0,3,11,8
5,7,18,85,1,5,0,9,19,10
5,8,18,87,1,8,0,2,11,9
5,9,18,95,1,7,0,8,16,8
5,10,18,102,1,6,0,7,16,9
6,0,0,9,1,4,0,9,19,10
6,1,7,9,0,5,7,0,10,17
6,2,36,9,0,5,29,0,9,38
6,3,36,52,1,6,0,43,18,0
6,4,36,62,1,5,0,10,18,8
6,5,81,62,0,5,45,0,2,47
6,6,81,66,1,11,0,4,11,7
6,7,86,66,0,9,5,0,7,12
6,8,86,72,1,7,0,6,11,5
6,9,86,83,1,7,0,11,15,4
6,10,100,83,0,7,14,0,5,19
7,0,11,0,0,6,11,0,5,16
7,1,11,7,1,10,0,7,17,10
7,2,37,7,0,7,26,0,5,31
7,3,37,27,1,6,0,20,29,9
7,4,55,27,0,8,18,0,10,28
7,5,55,30,1,9,0,3,13,10
7,6,55,36,1,7,0,6,13,7
7,7,88,36,0,5,33,0,10,43
7,8,88,53,1,6,0,17,20,3
7,9,88,63,1,2,0,10,20,10
7,10,124,63,0,5,36,0,5,41
8,0,54,0,0,3,54,0,9,63
8,1,58,0,0,10,4,0,7,11
8,2,58,11,1,5,0,11,21,10
8,3,58,32,1,4,0,21,25,4
8,4,68,32,0,9,10,0,1,11
8,5,84,32,0,7,16,0,6,22
8,6,84,48,1,7,0,16,23,7
8,7,101,48,0,13,17,0,1,18
9,0,17,0,0,9,17,0,7,24
9,1,30,0,0,7,13,0,5,18
9,2,57,0,0,4,27,0,10,37
9,3,57,11,1,7,0,11,21,10
9,4,57,32,1,5,0,21,28,7
9,5,57,36,1,7,0,4,11,7
9,6,92,36,0,9,35,0,5,40
9,7,104,36,0,9,12,0,8,20
10,0,8,0,0,9,8,0,6,14
10,1,15,0,0,7,7,0,9,16
10,2,15,18,1,5,0,18,19,1
10,3,29,18,0,9,14,0,10,24
10,4,47,18,0,2,18,0,9,27
10,5,47,31,1,10,0,13,20,7
10,6,47,39,1,4,0,8,17,9
10,7,50,39,0,11,3,0,10,13
10,8,50,45,1,8,0,6,15,9
10,9,50,52,1,10,0,7,12,5
10,10,50,65,1,7,0,13,23,10
10,11,50,77,1,3,0,12,22,10
10,12,61,77,0,9,11,0,8,19
10,13,61,81,1,7,0,4,13,9
10,14,63,81,0,8,2,0,10,12
10,15,63,121,1,3,0,40,49,9
11,0,47,0,0,4,47,0,8,55
11,1,47,7,1,9,0,7,13,6
11,2,47,44,1,3,0,37,39,2
11,3,47,48,1,6,0,4,14,10
11,4,95,48,0,2,48,0,10,58
11,5,103,48,0,9,8,0,9,17
12,0,2,0,0,12,2,0,10,12
12,1,23,0,0,4,21,0,5,26
12,2,23,44,1,1,0,44,54,10
12,3,23,52,1,11,0,8,13,5
12,4,40,52,0,7,17,0,3,20
12,5,40,54,1,10,0,2,11,9
12,6,40,96,1,3,0,42,50,8
12,7,68,96,0,8,28,0,3,31
12,8,68,133,1,2,0,37,45,8
13,0,20,0,0,7,20,0,8,28
13,1,20,11,1,12,0,11,18,7
13,2,20,17,1,5,0,6,16,10
13,3,20,40,1,9,0,23,31,8
13,4,40,40,0,6,20,0,10,30
13,5,51,40,0,7,11,0,8,19
13,6,51,42,1,11,0,2,12,10
13,7,51,45,1,9,0,3,11,8
13,8,80,45,0,6,29,0,9,38
13,9,90,45,0,6,10,0,6,16
13,10,90,58,1,5,0,13,23,10
13,11,115,58,0,4,25,0,9,34
14,0,0,5,1,10,0,5,12,7
14,1,17,5,0,10,17,0,7,24
14,2,28,5,0,8,11,0,9,20
14,3,36,5,0,7,8,0,3,11
14,4,70,5,0,5,34,0,9,43
14,5,70,39,1,9,0,34,42,8
14,6,97,39,0,6,27,0,5,32
14,7,97,47,1,7,0,8,14,6
14,8,153,47,0,4,56,0,6,62
15,0,17,0,0,8,17,0,7,24
15,1,37,0,0,5,20,0,10,30
15,2,37,4,1,8,0,4,13,9
15,3,42,4,0,6,5,0,6,11
15,4,53,4,0,11,11,0,9,20
15,5,61,4,0,10,8,0,10,18
15,6,85,4,0,1,24,0,8,32
15,7,96,4,0,7,11,0,6,17
15,8,102,4,0,4,6,0,7,13
16,0,0,57,1,2,0,57,65,8
