Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,2,1,8,0,2,12,10
0,1,33,2,0,3,33,0,10,43
0,2,33,12,1,7,0,10,18,8
0,3,41,12,0,8,8,0,10,18
0,4,41,24,1,8,0,12,19,7
0,5,41,46,1,4,0,22,23,1
0,6,41,77,1,3,0,31,34,3
0,7,41,117,1,5,0,40,50,10
1,0,0,18,1,4,0,18,26,8
1,1,0,53,1,1,0,35,45,10
1,2,0,79,1,7,0,26,28,2
1,3,32,79,0,8,32,0,6,38
1,4,44,79,0,10,12,0,2,14
1,5,82,79,0,4,38,0,9,47
1,6,82,82,1,6,0,3,12,9
1,7,82,101,1,8,0,19,25,6
2,0,0,10,1,6,0,10,20,10
2,1,0,54,1,4,0,44,49,5
2,2,24,54,0,7,24,0,10,34
2,3,24,79,1,4,0,25,31,6
2,4,24,83,1,4,0,4,14,10
2,5,24,115,1,6,0,32,33,1
3,0,17,0,0,8,17,0,8,25
3,1,17,11,1,6,0,11,18,7
3,2,38,11,0,4,21,0,10,31
3,3,56,11,0,10,18,0,8,26
3,4,56,14,1,6,0,3,13,10
3,5,117,14,0,5,61,0,1,62
4,0,21,0,0,8,21,0,2,23
4,1,21,5,1,4,0,5,13,8
4,2,21,29,1,2,0,24,31,7
4,3,21,50,1,4,0,21,27,6
4,4,60,50,0,1,39,0,6,45
4,5,99,50,0,5,39,0,7,46
4,6,99,68,1,3,0,18,25,7
4,7,99,86,1,6,0,18,28,10
4,8,147,86,0,1,48,0,7,55
5,0,28,0,0,2,28,0,10,38
5,1,28,6,1,6,0,6,14,8
5,2,28,10,1,6,0,4,13,9
5,3,58,10,0,8,30,0,6,36
5,4,58,70,1,3,0,60,63,3
5,5,79,70,0,6,21,0,1,22
5,6,79,81,1,5,0,11,12,1
5,7,79,91,1,5,0,10,19,9
5,8,79,104,1,7,0,13,16,3
6,0,10,0,0,4,10,0,6,16
6,1,10,40,1,6,0,40,47,7
6,2,10,69,1,4,0,29,30,1
6,3,10,102,1,5,0,33,34,1
7,0,58,0,0,1,58,0,9,67
7,1,58,44,1,6,0,44,53,9
7,2,67,44,0,6,9,0,8,17
7,3,67,75,1,3,0,31,34,3
7,4,76,75,0,6,9,0,10,19
7,5,76,83,1,7,0,8,18,10
7,6,76,105,1,7,0,22,28,6
8,0,26,0,0,3,26,0,8,34
8,1,26,12,1,11,0,12,22,10
8,2,33,12,0,5,7,0,9,16
8,3,33,23,1,11,0,11,20,9
8,4,54,23,0,5,21,0,10,31
8,5,54,40,1,5,0,17,19,2
8,6,93,40,0,3,39,0,9,48
8,7,93,51,1,7,0,11,12,1
8,8,142,51,0,3,49,0,3,52
9,0,32,0,0,5,32,0,10,42
9,1,32,23,1,3,0,23,32,9
9,2,32,39,1,8,0,16,25,9
9,3,32,43,1,8,0,4,14,10
9,4,38,43,0,12,6,0,9,15
9,5,47,43,0,12,9,0,9,18
9,6,67,43,0,7,20,0,8,28
9,7,67,94,1,2,0,51,60,9
9,8,123,94,0,3,56,0,6,62
10,0,0,27,1,8,0,27,35,8
10,1,8,27,0,4,8,0,4,12
10,2,17,27,0,9,9,0,6,15
10,3,29,27,0,5,12,0,10,22
10,4,29,59,1,6,0,32,40,8
10,5,44,59,0,5,15,0,9,24
10,6,48,59,0,11,4,0,8,12
10,7,75,59,0,6,27,0,3,30
10,8,138,59,0,1,63,0,2,65
11,0,14,0,0,9,14,0,3,17
11,1,56,0,0,7,42,0,0,17
11,2,56,3,1,9,0,3,11,8
11,3,56,12,1,4,0,9,11,2
11,4,63,12,0,8,7,0,8,15
11,5,69,12,0,6,6,0,10,16
11,6,78,12,0,7,9,0,9,18
11,7,95,12,0,5,17,0,9,26
11,8,95,31,1,6,0,19,28,9
11,9,100,31,0,5,5,0,9,14
12,0,0,24,1,6,0,24,28,4
12,1,0,54,1,2,0,30,40,10
12,2,11,54,0,9,11,0,9,20
12,3,11,76,1,7,0,22,31,9
12,4,11,109,1,6,0,33,42,9
13,0,31,0,0,7,31,0,10,41
13,1,53,0,0,4,22,0,9,31
13,2,74,0,0,6,21,0,8,29
13,3,112,0,0,3,38,0,1,39
14,0,11,0,0,8,11,0,8,19
14,1,11,16,1,6,0,16,26,10
14,2,21,16,0,11,10,0,5,15
14,3,62,16,0,2,41,0,1,42
14,4,87,16,0,6,25,0,10,35
14,5,87,29,1,6,0,13,15,2
14,6,87,34,1,5,0,5,15,10
14,7,115,34,0,3,28,0,5,33
15,0,0,34,1,7,0,34,39,5
15,1,14,34,0,9,14,0,1,15
15,2,14,43,1,3,0,9,14,5
15,3,14,55,1,7,0,12,22,10
15,4,14,71,1,5,0,16,18,2
15,5,52,71,0,2,38,0,8,46
15,6,60,71,0,5,8,0,10,18
15,7,60,118,1,4,0,47,56,9
16,0,0,10,1,7,0,10,20,10
16,1,0,19,1,8,0,9,15,6
16,2,0,37,1,6,0,18,23,5
16,3,0,63,1,3,0,26,35,9
16,4,0,65,1,6,0,2,11,9
16,5,2,65,0,5,2,0,9,11
16,6,2,80,1,5,0,15,17,2
16,7,2,102,1,3,0,22,29,7
17,0,45,0,0,0,45,0,6,51
17,1,49,0,0,4,4,0,9,13
17,2,49,1,1,7,0,1,11,10
17,3,49,37,1,5,0,36,43,7
17,4,72,37,0,8,23,0,7,30
17,5,72,46,1,7,0,9,19,10
17,6,97,46,0,4,25,0,7,32
17,7,104,46,0,9,7,0,5,12
18,0,23,0,0,2,23,0,8,31
18,1,36,0,0,7,13,0,7,20
18,2,51,0,0,8,15,0,7,22
18,3,51,6,1,4,0,6,11,5
18,4,64,6,0,7,13,0,10,23
18,5,64,37,1,1,0,31,41,10
18,6,119,37,0,2,55,0,7,62
19,0,30,0,0,3,30,0,7,37
19,1,30,10,1,11,0,10,18,8
19,2,30,24,1,6,0,14,21,7
19,3,30,48,1,7,0,24,33,9
19,4,67,48,0,6,37,0,7,44
19,5,67,56,1,4,0,8,13,5
19,6,90,56,0,2,23,0,7,30
19,7,90,114,1,0,0,58,67,9
20,0,43,0,0,1,43,0,7,50
20,1,43,32,1,1,0,32,42,10
20,2,43,41,1,4,0,9,15,6
20,3,58,41,0,5,15,0,10,25
20,4,58,52,1,4,0,11,19,8
20,5,58,79,1,5,0,27,30,3
20,6,58,83,1,8,0,4,14,10
20,7,83,83,0,1,25,0,10,35
20,8,83,139,1,1,0,56,62,6
21,0,0,19,1,4,0,19,20,1
21,1,10,19,0,7,10,0,7,17
21,2,10,41,1,6,0,22,30,8
21,3,52,41,0,3,42,0,10,52
21,4,73,41,0,4,21,0,10,31
21,5,100,41,0,1,27,0,10,37
22,0,28,0,0,13,28,0,8,36
22,1,61,0,0,2,33,0,5,38
22,2,91,0,0,4,30,0,10,40
22,3,125,0,0,6,34,0,10,44
23,0,26,0,0,3,26,0,8,34
23,1,37,0,0,4,11,0,8,19
23,2,37,30,1,6,0,30,34,4
23,3,37,32,1,7,0,2,12,10
23,4,37,87,1,2,0,55,58,3
23,5,69,87,0,2,32,0,5,37
23,6,69,96,1,10,0,9,13,4
23,7,69,117,1,5,0,21,29,8
24,0,22,0,0,6,22,0,7,29
24,1,38,0,0,10,16,0,9,25
24,2,64,0,0,4,26,0,3,29
24,3,70,0,0,10,6,0,9,15
24,4,101,0,0,6,31,0,8,39
25,0,0,12,1,4,0,12,17,5
25,1,0,19,1,9,0,7,11,4
25,2,0,25,1,6,0,6,12,6
25,3,0,82,1,3,0,57,58,1
25,4,0,106,1,5,0,24,32,8
26,0,0,9,1,10,0,9,11,2
26,1,0,29,1,1,0,20,22,2
26,2,7,29,0,10,7,0,9,16
26,3,33,29,0,8,26,0,10,36
26,4,33,37,1,6,0,8,14,6
26,5,38,37,0,6,5,0,9,14
26,6,79,37,0,2,41,0,4,45
26,7,79,49,1,4,0,12,21,9
26,8,99,49,0,7,20,0,3,23
26,9,99,54,1,8,0,5,13,8
26,10,146,54,0,3,47,0,4,51
27,0,5,0,0,7,5,0,10,15
27,1,40,0,0,8,35,0,8,43
27,2,40,29,1,3,0,29,37,8
27,3,43,29,0,5,3,0,9,12
27,4,43,45,1,6,0,16,20,4
27,5,43,66,1,2,0,21,30,9
27,6,75,66,0,1,32,0,4,36
27,7,75,78,1,11,0,12,14,2
27,8,83,78,0,13,8,0,8,16
27,9,83,104,1,7,0,26,36,10
28,0,3,0,0,5,3,0,8,11
28,1,7,0,0,12,4,0,10,14
28,2,30,0,0,4,23,0,2,25
28,3,40,0,0,4,10,0,9,19
28,4,40,22,1,5,0,22,27,5
28,5,48,22,0,5,8,0,7,15
28,6,102,22,0,5,54,0,2,56
29,0,8,0,0,7,8,0,8,16
29,1,53,0,0,2,45,0,9,54
29,2,70,0,0,7,17,0,4,21
29,3,70,14,1,6,0,14,18,4
29,4,70,43,1,4,0,29,37,8
29,5,106,43,0,1,36,0,3,39
30,0,20,0,0,4,20,0,9,29
30,1,51,0,0,6,31,0,4,35
30,2,63,0,0,12,12,0,10,22
30,3,63,6,1,3,0,6,15,9
30,4,63,15,1,5,0,9,19,10
30,5,63,21,1,3,0,6,12,6
30,6,63,31,1,1,0,10,16,6
30,7,69,31,0,7,6,0,10,16
30,8,69,34,1,3,0,3,13,10
30,9,81,34,0,10,12,0,1,13
30,10,125,34,0,4,44,0,6,50
31,0,0,10,1,13,0,10,14,4
31,1,0,21,1,6,0,11,19,8
31,2,28,21,0,5,28,0,8,36
31,3,28,40,1,5,0,19,28,9
31,4,28,49,1,3,0,9,19,10
31,5,28,56,1,6,0,7,11,4
31,6,28,57,1,9,0,1,11,10
31,7,28,64,1,8,0,7,16,9
31,8,28,72,1,11,0,8,15,7
31,9,28,111,1,4,0,39,48,9
32,0,0,5,1,9,0,5,11,6
32,1,0,36,1,7,0,31,39,8
32,2,2,36,0,11,2,0,10,12
32,3,19,36,0,3,17,0,10,27
32,4,51,36,0,6,32,0,10,42
32,5,61,36,0,8,10,0,2,12
32,6,61,60,1,3,0,24,34,10
32,7,61,67,1,3,0,7,16,9
32,8,78,67,0,7,17,0,7,24
32,9,97,67,0,9,19,0,9,28
32,10,108,67,0,5,11,0,5,16
33,0,0,13,1,4,0,13,22,9
33,1,0,20,1,5,0,7,15,8
33,2,0,31,1,5,0,11,12,1
33,3,0,33,1,8,0,2,12,10
33,4,0,41,1,8,0,8,13,5
33,5,0,54,1,7,0,13,19,6
33,6,0,89,1,6,0,35,42,7
33,7,10,89,0,10,10,0,4,14
33,8,10,97,1,8,0,8,17,9
33,9,10,105,1,4,0,8,12,4
34,0,50,0,0,1,50,0,10,60
34,1,74,0,0,2,24,0,8,32
34,2,80,0,0,3,6,0,7,13
34,3,80,11,1,6,0,11,21,10
34,4,100,11,0,2,20,0,9,29
35,0,0,18,1,4,0,18,26,8
35,1,27,18,0,8,27,0,7,34
35,2,27,24,1,12,0,6,16,10
35,3,27,35,1,6,0,11,21,10
35,4,27,51,1,6,0,16,23,7
35,5,27,57,1,8,0,6,14,8
35,6,37,57,0,10,10,0,8,18
35,7,37,71,1,10,0,14,23,9
35,8,37,93,1,7,0,22,26,4
35,9,58,93,0,5,21,0,10,31
35,10,73,93,0,6,15,0,7,22
35,11,111,93,0,8,38,0,6,44
36,0,24,0,0,7,24,0,10,34
36,1,24,16,1,5,0,16,24,8
36,2,30,16,0,10,6,0,5,11
36,3,37,16,0,6,7,0,9,16
36,4,80,16,0,1,43,0,10,53
36,5,112,16,0,8,32,0,2,34
37,0,0,16,1,4,0,16,26,10
37,1,0,19,1,9,0,3,11,8
37,2,0,22,1,7,0,3,13,10
37,3,11,22,0,16,11,0,4,15
37,4,30,22,0,5,19,0,8,27
37,5,30,36,1,9,0,14,21,7
37,6,44,36,0,7,14,0,7,21
37,7,64,36,0,7,20,0,8,28
37,8,64,46,1,6,0,10,17,7
37,9,64,55,1,3,0,9,14,5
37,10,64,61,1,3,0,6,16,10
37,11,83,61,0,7,19,0,9,28
37,12,83,78,1,6,0,17,22,5
37,13,86,78,0,8,3,0,8,11
37,14,96,78,0,13,10,0,3,13
37,15,107,78,0,5,11,0,9,20
38,0,15,0,0,5,15,0,7,22
38,1,21,0,0,3,6,0,9,15
38,2,21,5,1,7,0,5,15,10
