Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,44.0,29.0,1.610376878297E9,0.002
0,0,1,43.0,29.0,0.001,0.002
0,0,2,41.0,29.0,0.0,0.002
0,0,3,41.0,29.0,0.0,0.001
0,0,4,41.0,29.0,0.001,0.001
0,0,5,35.0,29.0,0.0,0.001
0,0,6,12.0,29.0,0.001,0.0
0,0,7,12.0,21.0,0.001,0.001
0,0,8,12.0,10.0,0.0,0.0
0,1,0,46.0,55.0,0.0,0.002
0,1,1,44.0,55.0,0.0,0.001
0,1,2,18.0,50.0,0.001,0.001
0,1,3,10.0,43.0,0.0,0.0
0,2,0,48.0,74.0,0.0,0.001
0,2,1,42.0,44.0,0.0,0.0
0,2,2,41.0,41.0,0.001,0.0
0,2,3,41.0,33.0,0.0,0.001
0,2,4,41.0,26.0,0.0,0.0
0,2,5,19.0,26.0,0.0,0.001
0,2,6,18.0,26.0,0.0,0.001
0,2,7,18.0,8.0,0.0,0.001
0,3,0,42.0,57.0,0.0,0.0
0,3,1,42.0,49.0,0.0,0.001
0,3,2,26.0,40.0,0.0,0.001
0,3,3,26.0,40.0,0.0,0.001
0,3,4,23.0,35.0,0.001,0.0
0,3,5,23.0,35.0,0.0,0.001
0,3,6,15.0,24.0,0.0,0.001
0,3,7,11.0,27.0,0.0,0.001
0,3,8,10.0,18.0,0.0,0.001
0,4,0,42.0,53.0,0.0,0.001
0,4,1,28.0,53.0,0.0,0.001
0,4,2,23.0,53.0,0.0,0.001
0,4,3,23.0,50.0,0.0,0.001
0,4,4,23.0,50.0,0.0,0.001
0,4,5,23.0,38.0,0.0,0.001
0,4,6,20.0,38.0,0.0,0.0
0,4,7,20.0,11.0,0.001,0.0
0,4,8,19.0,7.0,0.001,0.0
0,5,0,55.0,65.0,0.0,0.001
0,5,1,50.0,35.0,0.001,0.001
0,5,2,43.0,35.0,0.0,0.001
0,5,3,23.0,20.0,0.001,0.001
0,5,4,23.0,1.0,0.0,0.0
