Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,54,0,0,1,54,0,10,64
0,1,54,13,1,9,0,13,15,2
0,2,54,36,1,3,0,23,32,9
0,3,60,36,0,9,6,0,8,14
0,4,60,51,1,2,0,15,22,7
0,5,60,55,1,7,0,4,12,8
0,6,60,56,1,5,0,1,11,10
0,7,60,67,1,6,0,11,18,7
0,8,60,72,1,7,0,5,15,10
0,9,117,72,0,2,57,0,9,66
1,0,0,8,1,5,0,8,14,6
1,1,28,8,0,4,28,0,4,32
1,2,83,8,0,4,55,0,4,59
1,3,85,8,0,5,2,0,9,11
1,4,85,12,1,11,0,4,11,7
1,5,85,23,1,4,0,11,12,1
1,6,85,29,1,4,0,6,14,8
1,7,88,29,0,7,3,0,8,11
1,8,99,29,0,3,11,0,10,21
1,9,99,45,1,7,0,16,25,9
1,10,99,72,1,9,0,27,35,8
1,11,99,85,1,8,0,13,23,10
1,12,99,101,1,9,0,16,23,7
2,0,0,19,1,4,0,19,22,3
2,1,13,19,0,8,13,0,6,19
2,2,13,25,1,4,0,6,14,8
2,3,32,25,0,5,19,0,3,22
2,4,51,25,0,7,19,0,7,26
2,5,51,33,1,11,0,8,17,9
2,6,81,33,0,7,30,0,3,33
2,7,101,33,0,9,20,0,7,27
3,0,0,11,1,9,0,11,15,4
3,1,0,21,1,6,0,10,20,10
3,2,15,21,0,7,15,0,9,24
3,3,63,21,0,5,48,0,0,23
3,4,63,25,1,9,0,4,14,10
3,5,63,28,1,7,0,3,13,10
3,6,63,34,1,4,0,6,16,10
3,7,69,34,0,8,6,0,6,12
3,8,85,34,0,5,16,0,2,18
3,9,85,83,1,2,0,49,56,7
3,10,102,83,0,6,17,0,5,22
4,0,27,0,0,2,27,0,10,37
4,1,27,13,1,5,0,13,20,7
4,2,27,19,1,8,0,6,15,9
4,3,27,58,1,2,0,39,46,7
4,4,27,68,1,7,0,10,18,8
4,5,27,104,1,5,0,36,43,7
5,0,0,14,1,8,0,14,23,9
5,1,0,59,1,2,0,45,52,7
5,2,10,59,0,4,10,0,5,15
5,3,10,73,1,3,0,14,23,9
5,4,21,73,0,10,11,0,8,19
5,5,21,84,1,8,0,11,21,10
5,6,35,84,0,5,14,0,7,21
5,7,59,84,0,10,24,0,5,29
5,8,118,84,0,2,59,0,1,60
6,0,39,0,0,0,39,0,3,42
6,1,61,0,0,4,22,0,1,23
6,2,61,7,1,5,0,7,15,8
6,3,61,14,1,9,0,7,15,8
6,4,99,14,0,1,38,0,7,45
6,5,99,55,1,7,0,41,47,6
6,6,110,55,0,12,11,0,9,20
7,0,12,0,0,10,12,0,9,21
7,1,12,55,1,3,0,55,61,6
7,2,12,69,1,10,0,14,24,10
7,3,12,81,1,5,0,12,22,10
7,4,12,110,1,1,0,29,34,5
8,0,0,14,1,5,0,14,23,9
8,1,0,33,1,4,0,19,28,9
8,2,0,76,1,5,0,43,44,1
8,3,15,76,0,7,15,0,10,25
8,4,15,84,1,7,0,8,17,9
8,5,26,84,0,5,11,0,10,21
8,6,84,84,0,2,58,0,3,61
8,7,84,92,1,10,0,8,16,8
8,8,93,92,0,11,9,0,2,11
8,9,102,92,0,5,9,0,4,13
9,0,3,0,0,8,3,0,8,11
9,1,3,11,1,4,0,11,21,10
9,2,19,11,0,6,16,0,10,26
9,3,26,11,0,12,7,0,7,14
9,4,34,11,0,7,8,0,3,11
9,5,64,11,0,3,30,0,10,40
9,6,86,11,0,7,22,0,8,30
9,7,133,11,0,5,47,0,9,56
10,0,3,0,0,12,3,0,8,11
10,1,39,0,0,3,36,0,10,46
10,2,39,12,1,9,0,12,22,10
10,3,60,12,0,8,21,0,9,30
10,4,60,33,1,9,0,21,23,2
10,5,77,33,0,12,17,0,1,18
10,6,77,58,1,3,0,25,33,8
10,7,84,58,0,5,7,0,10,17
10,8,115,58,0,5,31,0,6,37
11,0,29,0,0,3,29,0,10,39
11,1,57,0,0,4,28,0,2,30
11,2,57,17,1,6,0,17,27,10
11,3,57,19,1,10,0,2,12,10
11,4,64,19,0,7,7,0,7,14
11,5,109,19,0,1,45,0,5,50
12,0,0,39,1,1,0,39,48,9
12,1,0,48,1,8,0,9,16,7
12,2,0,60,1,5,0,12,20,8
12,3,0,91,1,5,0,31,38,7
12,4,45,91,0,3,45,0,4,49
12,5,45,127,1,7,0,36,43,7
13,0,0,4,1,6,0,4,12,8
13,1,12,4,0,2,12,0,6,18
13,2,27,4,0,8,15,0,10,25
13,3,44,4,0,6,17,0,3,20
13,4,59,4,0,7,15,0,8,23
13,5,85,4,0,3,26,0,5,31
13,6,85,32,1,4,0,28,37,9
13,7,131,32,0,5,46,0,3,49
14,0,0,38,1,1,0,38,39,1
14,1,7,38,0,9,7,0,8,15
14,2,14,38,0,4,7,0,10,17
14,3,14,67,1,6,0,29,33,4
14,4,14,85,1,5,0,18,22,4
14,5,14,99,1,5,0,14,22,8
14,6,14,152,1,4,0,53,63,10
15,0,13,0,0,7,13,0,9,22
15,1,13,24,1,6,0,24,32,8
15,2,32,24,0,4,19,0,9,28
15,3,36,24,0,7,4,0,9,13
15,4,61,24,0,4,25,0,8,33
15,5,61,54,1,3,0,30,39,9
15,6,61,74,1,2,0,20,29,9
15,7,61,99,1,5,0,25,34,9
15,8,61,102,1,3,0,3,12,9
16,0,0,56,1,5,0,56,65,9
16,1,0,80,1,7,0,24,30,6
16,2,0,92,1,10,0,12,14,2
16,3,0,102,1,6,0,10,13,3
17,0,17,0,0,6,17,0,8,25
17,1,51,0,0,7,34,0,5,39
17,2,51,6,1,4,0,6,12,6
17,3,59,6,0,4,8,0,7,15
17,4,108,6,0,2,49,0,8,57
18,0,46,0,0,3,46,0,6,52
18,1,76,0,0,3,30,0,10,40
18,2,76,22,1,11,0,22,28,6
18,3,80,22,0,8,4,0,8,12
18,4,109,22,0,5,29,0,8,37
19,0,45,0,0,5,45,0,10,55
19,1,60,0,0,7,15,0,10,25
19,2,73,0,0,8,13,0,8,21
19,3,73,23,1,5,0,23,32,9
19,4,73,34,1,7,0,11,18,7
19,5,110,34,0,6,37,0,10,47
20,0,11,0,0,4,11,0,9,20
20,1,11,6,1,5,0,6,15,9
20,2,11,28,1,7,0,22,31,9
20,3,11,46,1,11,0,18,28,10
20,4,32,46,0,4,21,0,8,29
20,5,75,46,0,1,43,0,8,51
20,6,75,54,1,9,0,8,17,9
20,7,75,62,1,8,0,8,17,9
20,8,75,85,1,3,0,23,33,10
20,9,75,131,1,4,0,46,54,8
21,0,0,5,1,6,0,5,12,7
21,1,23,5,0,4,23,0,1,24
21,2,53,5,0,3,30,0,10,40
21,3,67,5,0,9,14,0,9,23
21,4,67,69,1,3,0,64,69,5
21,5,67,81,1,7,0,12,20,8
21,6,67,102,1,10,0,21,27,6
22,0,0,20,1,3,0,20,28,8
22,1,0,25,1,4,0,5,12,7
22,2,0,38,1,7,0,13,22,9
22,3,0,54,1,4,0,16,23,7
22,4,0,67,1,7,0,13,22,9
22,5,10,67,0,6,10,0,4,14
22,6,46,67,0,5,36,0,10,46
22,7,66,67,0,5,20,0,8,28
22,8,86,67,0,4,20,0,2,22
22,9,97,67,0,7,11,0,6,17
22,10,97,79,1,4,0,12,17,5
22,11,97,90,1,9,0,11,21,10
22,12,97,120,1,3,0,30,37,7
23,0,0,33,1,8,0,33,42,9
23,1,0,46,1,11,0,13,16,3
23,2,9,46,0,2,9,0,7,16
23,3,9,68,1,8,0,22,31,9
23,4,15,68,0,8,6,0,7,13
23,5,26,68,0,2,11,0,10,21
23,6,39,68,0,7,13,0,9,22
23,7,39,78,1,5,0,10,17,7
23,8,70,78,0,6,31,0,10,41
23,9,70,102,1,8,0,24,28,4
24,0,24,0,0,5,24,0,7,31
24,1,32,0,0,4,8,0,10,18
24,2,42,0,0,5,10,0,7,17
24,3,67,0,0,2,25,0,9,34
24,4,67,14,1,9,0,14,23,9
24,5,85,14,0,7,18,0,4,22
24,6,85,29,1,4,0,15,22,7
24,7,95,29,0,5,10,0,3,13
24,8,95,50,1,3,0,21,22,1
24,9,95,100,1,2,0,50,51,1
25,0,31,0,0,10,31,0,5,36
25,1,82,0,0,3,51,0,4,55
25,2,82,52,1,0,0,52,57,5
25,3,101,52,0,8,19,0,1,20
26,0,0,18,1,9,0,18,28,10
26,1,3,18,0,5,3,0,9,12
26,2,3,28,1,3,0,10,19,9
26,3,3,38,1,6,0,10,12,2
26,4,3,68,1,5,0,30,40,10
26,5,3,102,1,3,0,34,42,8
27,0,7,0,0,7,7,0,9,16
27,1,7,52,1,4,0,52,60,8
27,2,17,52,0,4,10,0,9,19
27,3,43,52,0,1,26,0,8,34
27,4,48,52,0,5,5,0,9,14
27,5,48,56,1,7,0,4,13,9
27,6,48,59,1,5,0,3,13,10
27,7,48,114,1,4,0,55,64,9
28,0,0,28,1,3,0,28,37,9
28,1,0,41,1,9,0,13,20,7
28,2,0,66,1,7,0,25,28,3
28,3,6,66,0,6,6,0,7,13
28,4,6,111,1,6,0,45,46,1
29,0,12,0,0,4,12,0,7,19
29,1,12,68,1,2,0,68,78,10
29,2,56,68,0,3,44,0,10,54
29,3,73,68,0,6,17,0,9,26
29,4,82,68,0,8,9,0,5,14
29,5,82,97,1,6,0,29,38,9
29,6,82,128,1,4,0,31,39,8
30,0,0,32,1,2,0,32,39,7
30,1,0,63,1,1,0,31,40,9
30,2,5,63,0,3,5,0,10,15
30,3,5,78,1,11,0,15,18,3
30,4,44,78,0,2,39,0,1,40
30,5,44,109,1,9,0,31,33,2
31,0,7,0,0,8,7,0,8,15
31,1,7,51,1,1,0,51,59,8
31,2,7,60,1,4,0,9,11,2
31,3,20,60,0,6,13,0,8,21
31,4,62,60,0,4,42,0,9,51
31,5,62,119,1,1,0,59,68,9
32,0,0,21,1,3,0,21,27,6
32,1,0,46,1,6,0,25,33,8
32,2,0,62,1,4,0,16,18,2
32,3,23,62,0,4,23,0,10,33
32,4,45,62,0,3,22,0,3,25
32,5,56,62,0,6,11,0,8,19
32,6,56,77,1,5,0,15,23,8
32,7,56,91,1,7,0,14,20,6
32,8,77,91,0,5,21,0,7,28
32,9,77,111,1,6,0,20,29,9
33,0,5,0,0,3,5,0,8,13
33,1,5,15,1,7,0,15,20,5
33,2,57,15,0,3,52,0,9,61
33,3,57,26,1,5,0,11,19,8
33,4,57,45,1,7,0,19,29,10
33,5,57,112,1,4,0,67,75,8
34,0,26,0,0,7,26,0,10,36
34,1,26,48,1,5,0,48,52,4
34,2,26,83,1,4,0,35,42,7
34,3,26,100,1,7,0,17,26,9
35,0,25,0,0,4,25,0,10,35
35,1,25,13,1,6,0,13,18,5
35,2,82,13,0,2,57,0,3,60
35,3,82,17,1,9,0,4,14,10
35,4,98,17,0,4,16,0,1,17
35,5,98,51,1,1,0,34,37,3
35,6,111,51,0,7,13,0,9,22
36,0,0,21,1,7,0,21,30,9
36,1,12,21,0,10,12,0,7,19
36,2,12,49,1,3,0,28,30,2
36,3,36,49,0,3,24,0,10,34
36,4,36,84,1,2,0,35,45,10
36,5,36,142,1,4,0,58,66,8
37,0,0,29,1,6,0,29,39,10
37,1,0,39,1,7,0,10,20,10
37,2,0,65,1,8,0,26,36,10
37,3,0,106,1,6,0,41,48,7
38,0,22,0,0,5,22,0,7,29
38,1,33,0,0,5,11,0,9,20
38,2,56,0,0,3,23,0,10,33
38,3,71,0,0,4,15,0,8,23
38,4,71,9,1,5,0,9,19,10
38,5,92,9,0,8,21,0,5,26
38,6,92,12,1,6,0,3,13,10
38,7,118,12,0,4,26,0,8,34
39,0,31,0,0,4,31,0,10,41
39,1,31,37,1,5,0,37,38,1
39,2,31,47,1,8,0,10,18,8
39,3,35,47,0,9,4,0,8,12
39,4,35,56,1,6,0,9,19,10
39,5,35,71,1,7,0,15,25,10
39,6,42,71,0,8,7,0,6,13
39,7,42,121,1,4,0,50,53,3
40,0,0,21,1,1,0,21,31,10
40,1,0,39,1,6,0,18,25,7
40,2,6,39,0,6,6,0,5,11
40,3,27,39,0,3,21,0,9,30
40,4,27,46,1,9,0,7,16,9
40,5,27,58,1,8,0,12,17,5
40,6,42,58,0,6,15,0,7,22
40,7,54,58,0,8,12,0,6,18
40,8,72,58,0,7,18,0,10,28
40,9,72,67,1,8,0,9,17,8
40,10,72,73,1,7,0,6,13,7
40,11,86,73,0,10,14,0,8,22
40,12,136,73,0,4,50,0,8,58
41,0,0,12,1,4,0,12,19,7
41,1,0,21,1,4,0,9,16,7
41,2,17,21,0,5,17,0,8,25
41,3,17,77,1,6,0,56,57,1
41,4,17,107,1,2,0,30,40,10
42,0,0,15,1,6,0,15,20,5
42,1,43,15,0,0,43,0,10,53
42,2,56,15,0,2,13,0,7,20
42,3,56,27,1,5,0,12,17,5
42,4,56,98,1,2,0,71,46,0
42,5,56,122,1,6,0,24,34,10
43,0,10,0,0,0,10,0,9,19
43,1,10,22,1,5,0,22,23,1
43,2,10,39,1,6,0,17,25,8
43,3,10,80,1,5,0,41,16,0
43,4,10,113,1,4,0,33,34,1
44,0,9,0,0,7,9,0,10,19
44,1,62,0,0,4,53,0,10,63
44,2,96,0,0,6,34,0,4,38
44,3,96,8,1,13,0,8,17,9
44,4,111,8,0,5,15,0,10,25
45,0,66,0,0,1,66,0,4,70
45,1,103,0,0,3,37,0,9,46
46,0,7,0,0,6,7,0,4,11
46,1,24,0,0,10,17,0,3,20
46,2,24,14,1,7,0,14,21,7
46,3,24,55,1,5,0,41,47,6
46,4,24,109,1,1,0,54,61,7
47,0,0,39,1,1,0,39,41,2
47,1,0,58,1,10,0,19,23,4
47,2,0,85,1,2,0,27,35,8
47,3,32,85,0,10,32,0,8,40
47,4,45,85,0,10,13,0,8,21
47,5,69,85,0,2,24,0,6,30
47,6,76,85,0,6,7,0,7,14
47,7,76,107,1,5,0,22,29,7
48,0,0,24,1,5,0,24,30,6
48,1,0,45,1,5,0,21,25,4
48,2,8,45,0,5,8,0,10,18
48,3,29,45,0,6,21,0,10,31
48,4,29,54,1,2,0,9,16,7
48,5,29,63,1,7,0,9,18,9
48,6,65,63,0,7,36,0,10,46
48,7,65,94,1,2,0,31,32,1
48,8,133,94,0,4,68,0,0,43
49,0,0,5,1,7,0,5,12,7
49,1,33,5,0,5,33,0,7,40
49,2,44,5,0,10,11,0,8,19
49,3,44,72,1,2,0,67,77,10
49,4,44,88,1,8,0,16,18,2
49,5,44,97,1,12,0,9,17,8
49,6,44,132,1,4,0,35,43,8
50,0,17,0,0,5,17,0,10,27
50,1,17,11,1,7,0,11,19,8
50,2,17,18,1,10,0,7,14,7
50,3,34,18,0,5,17,0,1,18
50,4,34,26,1,8,0,8,18,10
50,5,34,72,1,2,0,46,54,8
50,6,34,105,1,8,0,33,40,7
51,0,11,0,0,5,11,0,9,20
51,1,26,0,0,6,15,0,10,25
51,2,26,28,1,5,0,28,33,5
51,3,41,28,0,4,15,0,10,25
51,4,41,83,1,1,0,55,30,0
51,5,45,83,0,4,4,0,9,13
51,6,87,83,0,5,42,0,10,52
51,7,100,83,0,1,13,0,10,23
52,0,4,0,0,10,4,0,7,11
52,1,4,15,1,6,0,15,24,9
52,2,4,29,1,11,0,14,22,8
52,3,34,29,0,2,30,0,5,35
52,4,80,29,0,1,46,0,7,53
52,5,80,46,1,5,0,17,27,10
52,6,102,46,0,7,22,0,8,30
53,0,0,14,1,8,0,14,23,9
53,1,27,14,0,5,27,0,1,28
53,2,27,28,1,6,0,14,15,1
53,3,27,41,1,12,0,13,20,7
53,4,27,82,1,6,0,41,48,7
53,5,27,109,1,5,0,27,36,9
54,0,0,42,1,5,0,42,49,7
54,1,0,45,1,6,0,3,11,8
54,2,0,86,1,2,0,41,45,4
