Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,14.0,64.0,1.610376883737E9,0.0
0,0,1,10.0,64.0,0.0,0.0
0,1,0,32.0,72.0,0.0,0.001
0,1,1,26.0,68.0,0.0,0.0
0,1,2,18.0,68.0,0.0,0.0
0,1,3,18.0,56.0,0.0,0.0
0,1,4,18.0,53.0,0.0,0.0
0,1,5,18.0,27.0,0.0,0.0
0,1,6,22.0,21.0,0.0,0.001
0,1,7,19.0,19.0,0.0,0.0
0,1,8,15.0,15.0,0.0,0.0
0,1,9,15.0,2.0,0.0,0.0
0,2,0,50.0,36.0,0.0,0.0
0,2,1,42.0,28.0,0.001,0.0
0,2,2,34.0,12.0,0.0,0.0
0,2,3,32.0,9.0,0.0,0.0
0,3,0,36.0,50.0,0.0,0.0
0,3,1,36.0,49.0,0.0,0.001
0,3,2,33.0,49.0,0.0,0.0
0,3,3,33.0,39.0,0.0,0.0
0,3,4,29.0,37.0,0.0,0.0
0,3,5,29.0,37.0,0.0,0.0
0,3,6,31.0,36.0,0.0,0.0
0,3,7,28.0,14.0,0.001,0.0
0,3,8,22.0,14.0,0.0,0.0
0,3,9,8.0,14.0,0.0,0.0
0,4,0,21.0,24.0,0.0,0.0
0,4,1,21.0,23.0,0.0,0.0
0,4,2,22.0,7.0,0.0,0.0
0,5,0,41.0,67.0,0.0,0.0
0,5,1,41.0,37.0,0.0,0.0
0,5,2,43.0,35.0,0.0,0.0
0,5,3,18.0,34.0,0.0,0.0
0,5,4,18.0,34.0,0.0,0.0
0,5,5,15.0,33.0,0.0,0.001
0,5,6,12.0,27.0,0.0,0.0
0,5,7,12.0,8.0,0.0,0.0
0,6,0,70.0,55.0,0.0,0.0
0,6,1,70.0,49.0,0.0,0.0
0,6,2,33.0,43.0,0.0,0.0
0,6,3,13.0,21.0,0.001,0.0
0,6,4,11.0,13.0,0.0,0.0
0,6,5,11.0,10.0,0.0,0.0
0,7,0,52.0,71.0,0.001,0.0
0,7,1,48.0,41.0,0.0,0.0
0,7,2,27.0,14.0,0.0,0.0
0,7,3,20.0,11.0,0.0,0.0
0,7,4,20.0,11.0,0.0,0.0
0,7,5,18.0,11.0,0.0,0.0
0,7,6,18.0,7.0,0.0,0.0
0,8,0,78.0,79.0,0.001,0.0
0,8,1,78.0,49.0,0.0,0.0
0,8,2,39.0,23.0,0.0,0.0
0,8,3,39.0,18.0,0.0,0.0
0,8,4,40.0,16.0,0.0,0.0
0,8,5,40.0,14.0,0.0,0.0
0,8,6,15.0,14.0,0.001,0.0
0,8,7,15.0,10.0,0.0,0.0
0,9,0,31.0,77.0,0.0,0.0
0,9,1,14.0,75.0,0.0,0.0
0,9,2,9.0,66.0,0.0,0.0
1,0,0,40.0,25.0,1.610376883749E9,0.0
1,0,1,40.0,12.0,0.0,0.0
1,0,2,40.0,12.0,0.0,0.0
1,0,3,40.0,12.0,0.0,0.0
1,0,4,41.0,12.0,0.001,0.0
1,0,5,14.0,6.0,0.0,0.0
1,1,0,60.0,70.0,0.0,0.0
1,1,1,44.0,40.0,0.0,0.0
1,1,2,44.0,40.0,0.0,0.0
1,1,3,30.0,36.0,0.001,0.0
1,1,4,4.0,32.0,0.0,0.0
1,2,0,45.0,62.0,0.0,0.0
1,2,1,45.0,61.0,0.0,0.0
1,2,2,38.0,59.0,0.0,0.0
1,2,3,21.0,59.0,0.0,0.0
1,2,4,4.0,59.0,0.0,0.0
1,3,0,36.0,42.0,0.0,0.0
1,3,1,29.0,35.0,0.0,0.0
1,3,2,29.0,35.0,0.0,0.0
1,3,3,15.0,35.0,0.0,0.0
1,3,4,12.0,30.0,0.0,0.0
1,3,5,9.0,11.0,0.0,0.0
1,4,0,39.0,67.0,0.0,0.0
1,4,1,39.0,60.0,0.0,0.0
1,4,2,39.0,60.0,0.0,0.0
1,4,3,39.0,57.0,0.0,0.0
1,4,4,39.0,48.0,0.0,0.0
1,4,5,35.0,25.0,0.001,0.0
1,4,6,35.0,13.0,0.0,0.0
1,4,7,18.0,13.0,0.0,0.0
1,4,8,17.0,11.0,0.0,0.0
1,4,9,11.0,11.0,0.0,0.0
1,4,10,11.0,11.0,0.001,0.0
1,4,11,11.0,7.0,0.0,0.0
1,5,0,29.0,21.0,0.0,0.001
1,5,1,25.0,16.0,0.0,0.0
1,5,2,12.0,14.0,0.0,0.0
1,5,3,12.0,13.0,0.001,0.0
1,5,4,12.0,1.0,0.0,0.0
1,6,0,65.0,42.0,0.0,0.0
1,6,1,36.0,40.0,0.0,0.0
1,6,2,32.0,37.0,0.0,0.001
1,6,3,32.0,30.0,0.0,0.0
1,6,4,14.0,8.0,0.0,0.0
1,7,0,52.0,51.0,0.0,0.0
1,7,1,52.0,33.0,0.0,0.001
1,7,2,52.0,33.0,0.0,0.0
1,7,3,52.0,23.0,0.0,0.0
1,7,4,52.0,23.0,0.0,0.0
1,7,5,51.0,20.0,0.0,0.0
1,7,6,30.0,16.0,0.0,0.0
1,7,7,8.0,11.0,0.0,0.0
1,8,0,34.0,56.0,0.0,0.0
1,8,1,27.0,47.0,0.0,0.0
1,8,2,20.0,21.0,0.0,0.0
1,8,3,10.0,21.0,0.0,0.0
1,9,0,43.0,44.0,0.001,0.0
1,9,1,34.0,43.0,0.0,0.0
1,9,2,33.0,41.0,0.0,0.0
1,9,3,25.0,41.0,0.0,0.0
1,9,4,27.0,41.0,0.0,0.0
1,9,5,22.0,39.0,0.0,0.0
1,9,6,25.0,12.0,0.0,0.0
1,9,7,25.0,9.0,0.0,0.0
1,10,0,69.0,62.0,0.0,0.0
1,10,1,70.0,61.0,0.0,0.0
1,10,2,70.0,59.0,0.0,0.0
1,10,3,70.0,51.0,0.0,0.0
1,10,4,69.0,46.0,0.0,0.0
1,10,5,68.0,40.0,0.0,0.0
1,10,6,39.0,25.0,0.0,0.0
1,10,7,36.0,14.0,0.0,0.001
1,10,8,33.0,14.0,0.0,0.0
1,10,9,35.0,8.0,0.0,0.0
1,11,0,69.0,36.0,0.0,0.0
1,11,1,39.0,36.0,0.0,0.0
1,11,2,39.0,36.0,0.0,0.0
1,11,3,40.0,35.0,0.0,0.0
1,11,4,40.0,31.0,0.0,0.001
1,11,5,40.0,24.0,0.0,0.0
1,11,6,40.0,11.0,0.0,0.0
1,11,7,23.0,11.0,0.0,0.0
1,11,8,23.0,10.0,0.0,0.0
1,12,0,42.0,46.0,0.0,0.001
1,12,1,38.0,46.0,0.0,0.0
1,12,2,29.0,45.0,0.0,0.0
1,12,3,29.0,37.0,0.0,0.0
1,12,4,29.0,15.0,0.0,0.0
1,12,5,24.0,13.0,0.0,0.0
1,12,6,21.0,13.0,0.0,0.0
1,12,7,21.0,13.0,0.001,0.0
