Game,Rounds,P0 Score,P1 Score,Winner
0,10,117,72,0
1,13,99,101,1
2,8,101,33,0
3,11,102,83,0
4,6,27,104,1
5,9,118,84,0
6,7,110,55,0
7,5,12,110,1
8,10,102,92,0
9,8,133,11,0
10,9,115,58,0
11,6,109,19,0
12,6,45,127,1
13,8,131,32,0
14,7,14,152,1
15,9,61,102,1
16,4,0,102,1
17,5,108,6,0
18,5,109,22,0
19,6,110,34,0
20,10,75,131,1
21,7,67,102,1
22,13,97,120,1
23,10,70,102,1
24,10,95,100,1
25,4,101,52,0
26,6,3,102,1
27,8,48,114,1
28,5,6,111,1
29,7,82,128,1
30,6,44,109,1
31,6,62,119,1
32,10,77,111,1
33,6,57,112,1
34,4,26,100,1
35,7,111,51,0
36,6,36,142,1
37,4,0,106,1
38,8,118,12,0
39,8,42,121,1
40,13,136,73,0
41,5,17,107,1
42,6,56,122,1
43,5,10,113,1
44,5,111,8,0
45,2,103,0,0
46,5,24,109,1
47,8,76,107,1
48,9,133,94,0
49,7,44,132,1
50,7,34,105,1
51,8,100,83,0
52,7,102,46,0
53,6,27,109,1
54,7,45,113,1
55,6,102,35,0
56,5,24,109,1
57,5,121,4,0
58,8,74,123,1
59,8,88,102,1
60,6,27,117,1
61,9,115,61,0
62,10,39,100,1
63,8,61,116,1
64,8,123,40,0
65,9,48,112,1
66,8,100,85,0
67,6,119,80,0
68,5,103,29,0
69,8,105,64,0
70,8,104,78,0
71,9,119,80,0
72,7,105,86,0
73,5,19,114,1
74,8,82,107,1
75,7,32,110,1
76,4,43,102,1
77,5,7,127,1
78,7,109,29,0
79,7,113,20,0
80,3,137,0,0
81,5,109,30,0
82,5,27,115,1
83,6,55,118,1
84,7,103,85,0
85,4,25,114,1
86,6,113,42,0
87,6,62,101,1
88,6,47,107,1
89,9,133,78,0
90,5,101,4,0
91,4,120,0,0
92,8,108,40,0
93,11,109,38,0
94,8,59,124,1
95,5,110,36,0
96,9,34,115,1
97,11,151,56,0
98,8,29,126,1
99,8,46,102,1
100,8,97,142,1
101,4,7,100,1
102,5,10,101,1
103,7,87,101,1
104,10,119,68,0
105,7,102,38,0
106,9,66,124,1
107,13,56,112,1
108,13,96,146,1
109,4,101,62,0
110,9,101,82,0
111,10,87,105,1
112,6,39,144,1
113,7,64,106,1
114,5,26,153,1
115,11,63,111,1
116,5,127,54,0
117,5,111,41,0
118,8,62,102,1
119,4,5,107,1
120,7,51,104,1
121,8,77,141,1
122,8,120,60,0
123,5,104,56,0
124,8,7,118,1
125,7,104,38,0
126,5,79,105,1
127,3,0,104,1
128,7,119,79,0
129,9,115,98,0
130,9,106,97,0
131,7,44,102,1
132,16,102,96,0
133,9,139,65,0
134,9,120,71,0
135,9,112,85,0
136,7,106,31,0
137,9,88,105,1
138,5,46,102,1
139,8,108,20,0
140,9,100,63,0
141,5,7,111,1
142,9,114,35,0
143,11,126,41,0
144,12,128,90,0
145,4,135,0,0
146,8,115,48,0
147,4,21,110,1
148,6,33,109,1
149,9,81,112,1
150,12,33,114,1
151,6,61,109,1
152,4,0,141,1
153,11,58,105,1
154,12,62,146,1
155,8,53,114,1
156,9,74,110,1
157,6,12,103,1
158,7,80,115,1
159,10,105,89,0
160,9,85,114,1
161,7,89,128,1
162,7,20,101,1
163,7,32,125,1
164,8,29,116,1
165,3,0,120,1
166,4,0,115,1
167,8,60,103,1
168,3,0,107,1
169,10,81,130,1
170,7,65,105,1
171,7,27,108,1
172,4,0,101,1
173,7,33,117,1
174,8,59,131,1
175,9,101,61,0
176,11,109,55,0
177,9,52,105,1
178,9,50,133,1
179,10,43,109,1
180,8,62,149,1
181,5,16,103,1
182,5,107,8,0
183,4,0,135,1
184,8,77,104,1
185,9,106,69,0
186,4,3,107,1
187,9,54,133,1
188,9,103,81,0
189,10,52,110,1
190,6,6,103,1
191,7,48,124,1
192,10,50,118,1
193,10,116,72,0
194,10,38,113,1
195,4,0,107,1
196,7,107,58,0
197,10,96,117,1
198,12,86,109,1
199,4,48,114,1
200,13,73,112,1
201,4,0,126,1
202,10,62,116,1
203,8,107,52,0
204,5,114,35,0
205,9,33,121,1
206,8,71,100,1
207,9,104,42,0
208,9,137,35,0
209,7,91,144,1
210,8,114,38,0
211,6,132,16,0
212,9,117,77,0
213,7,78,131,1
214,9,44,109,1
215,8,11,103,1
216,8,13,124,1
217,6,4,107,1
218,11,108,66,0
219,12,109,86,0
220,8,54,124,1
221,6,22,100,1
222,8,112,74,0
223,10,107,99,0
224,7,37,100,1
225,9,79,102,1
226,4,100,12,0
227,9,100,81,0
228,14,83,103,1
229,3,0,100,1
230,8,108,87,0
231,8,79,113,1
232,6,34,102,1
233,7,100,52,0
234,4,11,102,1
235,9,127,65,0
236,7,30,127,1
237,9,106,76,0
238,12,68,114,1
239,8,54,103,1
240,10,81,122,1
241,9,103,52,0
242,8,37,111,1
243,7,10,101,1
244,10,87,126,1
245,8,66,127,1
246,6,14,119,1
247,10,103,59,0
248,7,10,116,1
249,5,19,112,1
250,7,25,110,1
251,4,0,106,1
252,8,28,109,1
253,2,0,118,1
254,9,112,53,0
255,7,31,120,1
256,10,59,103,1
257,10,71,121,1
258,5,0,109,1
259,10,130,71,0
260,11,89,109,1
261,7,123,17,0
262,6,64,104,1
263,15,80,133,1
264,6,119,32,0
265,11,133,89,0
266,10,69,106,1
267,10,85,126,1
268,13,76,117,1
269,7,94,109,1
270,5,13,116,1
271,7,116,13,0
272,13,100,81,0
273,9,94,108,1
274,10,101,62,0
275,6,104,31,0
276,3,0,104,1
277,11,82,144,1
278,12,132,97,0
279,6,23,106,1
280,10,109,98,0
281,8,107,58,0
282,8,104,55,0
283,8,48,132,1
284,8,76,109,1
285,8,87,112,1
286,6,18,123,1
287,3,0,103,1
288,11,83,105,1
289,7,126,25,0
290,7,127,11,0
291,11,141,81,0
292,10,83,115,1
293,7,102,35,0
294,8,44,118,1
295,6,68,109,1
296,7,13,109,1
297,13,103,76,0
298,4,107,16,0
299,12,89,105,1
300,7,57,113,1
301,11,132,78,0
302,7,13,115,1
303,12,115,72,0
304,8,53,108,1
305,5,13,114,1
306,8,110,93,0
307,11,97,117,1
308,8,73,125,1
309,5,13,112,1
310,10,103,88,0
311,11,91,103,1
312,9,79,127,1
313,5,11,106,1
314,7,107,26,0
315,8,135,53,0
316,8,22,144,1
317,6,127,49,0
318,9,39,105,1
319,7,97,102,1
320,7,107,16,0
321,10,64,125,1
322,9,24,104,1
323,6,107,56,0
324,7,21,141,1
325,3,111,0,0
326,10,58,124,1
327,3,26,102,1
328,11,113,89,0
329,8,107,20,0
330,10,44,112,1
331,7,27,119,1
332,10,37,128,1
333,8,100,53,0
334,11,102,85,0
335,8,36,106,1
336,9,24,119,1
337,10,35,120,1
338,8,91,102,1
339,5,0,124,1
340,5,30,113,1
341,9,34,108,1
342,10,95,107,1
343,5,8,103,1
344,6,58,106,1
345,6,0,142,1
346,10,76,139,1
347,3,0,114,1
348,11,73,107,1
349,5,15,116,1
350,4,1,104,1
351,10,23,103,1
352,6,83,112,1
353,6,72,109,1
354,7,7,123,1
355,6,122,5,0
356,4,113,44,0
357,12,96,117,1
358,5,140,0,0
359,13,122,88,0
360,5,101,0,0
361,6,85,121,1
362,9,103,37,0
363,13,94,103,1
364,7,28,103,1
365,6,28,107,1
366,7,20,136,1
367,4,0,101,1
368,6,65,136,1
369,5,87,123,1
370,8,53,125,1
371,10,51,101,1
372,7,102,28,0
373,5,106,0,0
374,5,112,51,0
375,3,121,26,0
376,6,12,114,1
377,7,28,104,1
378,10,71,108,1
379,9,29,130,1
380,6,30,121,1
381,12,64,123,1
382,12,78,101,1
383,6,36,105,1
384,4,0,103,1
385,9,42,103,1
386,11,38,133,1
387,7,114,70,0
388,7,16,116,1
389,6,0,109,1
390,9,86,111,1
391,10,56,157,1
392,8,116,46,0
393,7,35,118,1
394,4,5,100,1
395,10,102,87,0
396,5,104,11,0
397,8,51,108,1
398,16,103,78,0
399,7,23,109,1
400,7,51,140,1
401,7,101,69,0
402,3,109,0,0
403,8,115,50,0
404,7,106,51,0
405,7,105,88,0
406,8,50,109,1
407,9,48,100,1
408,7,111,65,0
409,6,49,101,1
410,2,103,0,0
411,6,49,129,1
412,11,58,112,1
413,7,43,105,1
414,11,144,79,0
415,8,101,76,0
416,5,6,113,1
417,8,86,126,1
418,5,23,113,1
419,6,44,138,1
420,10,33,109,1
421,6,136,16,0
422,11,30,163,1
423,7,110,39,0
424,6,9,137,1
425,10,22,104,1
426,11,70,105,1
427,12,96,100,1
428,5,50,137,1
429,6,102,51,0
430,8,16,122,1
431,7,37,102,1
432,9,24,123,1
433,10,79,100,1
434,12,93,103,1
435,8,117,73,0
436,6,116,34,0
437,7,61,103,1
438,6,135,44,0
439,10,62,107,1
440,4,46,101,1
441,6,44,116,1
442,7,111,60,0
443,3,0,112,1
444,8,81,107,1
445,9,100,58,0
446,11,43,129,1
447,11,73,144,1
448,12,119,90,0
449,13,133,49,0
450,10,92,130,1
451,5,67,119,1
452,11,108,95,0
453,6,100,42,0
454,11,57,100,1
455,8,87,115,1
456,9,61,102,1
457,7,106,26,0
458,9,114,44,0
459,10,113,34,0
460,7,47,119,1
461,11,102,83,0
462,8,9,113,1
463,7,24,148,1
464,7,79,101,1
465,5,27,102,1
466,10,102,51,0
467,5,132,11,0
468,10,98,118,1
469,5,0,108,1
470,10,101,80,0
471,11,104,76,0
472,7,136,51,0
473,8,113,61,0
474,4,116,0,0
475,8,123,43,0
476,8,142,62,0
477,7,109,42,0
478,4,11,115,1
479,7,33,116,1
480,4,51,118,1
481,7,115,71,0
482,5,0,102,1
483,8,127,80,0
484,5,112,3,0
485,9,76,103,1
486,9,65,127,1
487,7,31,102,1
488,13,117,88,0
489,10,89,125,1
490,9,78,118,1
491,5,104,11,0
492,9,72,115,1
493,6,35,166,1
494,8,40,121,1
495,5,112,12,0
496,7,58,119,1
497,8,78,119,1
498,8,46,109,1
499,7,9,120,1
