Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,71,1,10,0,71,76,5
0,1,0,126,1,12,0,55,65,10
1,0,0,61,1,6,0,61,65,4
1,1,0,120,1,11,0,59,65,6
2,0,0,33,1,8,0,33,41,8
2,1,0,97,1,12,0,64,68,4
2,2,0,156,1,8,0,59,61,2
3,0,0,62,1,13,0,62,70,8
3,1,0,124,1,13,0,62,65,3
4,0,0,21,1,3,0,21,30,9
4,1,0,46,1,6,0,25,29,4
4,2,0,89,1,7,0,43,46,3
4,3,0,149,1,3,0,60,70,10
5,0,0,77,1,7,0,77,80,3
5,1,0,136,1,3,0,59,67,8
6,0,32,0,0,0,32,0,10,42
6,1,32,49,1,9,0,49,58,9
6,2,32,115,1,7,0,66,76,10
7,0,0,67,1,9,0,67,75,8
7,1,0,125,1,2,0,58,66,8
8,0,0,41,1,7,0,41,51,10
8,1,0,101,1,3,0,60,64,4
9,0,0,47,1,3,0,47,52,5
9,1,0,118,1,8,0,71,78,7
10,0,0,41,1,18,0,41,48,7
10,1,0,105,1,6,0,64,71,7
11,0,0,72,1,9,0,72,77,5
11,1,0,112,1,11,0,40,47,7
12,0,0,68,1,4,0,68,78,10
12,1,0,103,1,8,0,35,43,8
13,0,0,39,1,7,0,39,44,5
13,1,0,89,1,6,0,50,60,10
13,2,0,131,1,8,0,42,51,9
14,0,0,47,1,10,0,47,56,9
14,1,0,111,1,10,0,64,71,7
15,0,0,36,1,10,0,36,41,5
15,1,0,74,1,10,0,38,41,3
15,2,0,140,1,9,0,66,76,10
16,0,0,45,1,5,0,45,55,10
16,1,0,97,1,6,0,52,60,8
16,2,0,131,1,8,0,34,44,10
17,0,0,32,1,9,0,32,42,10
17,1,0,99,1,5,0,67,74,7
17,2,0,119,1,5,0,20,30,10
18,0,0,38,1,8,0,38,47,9
18,1,0,88,1,10,0,50,59,9
18,2,0,140,1,7,0,52,62,10
19,0,0,72,1,5,0,72,81,9
19,1,0,90,1,5,0,18,24,6
19,2,0,132,1,15,0,42,46,4
20,0,0,38,1,1,0,38,48,10
20,1,0,95,1,6,0,57,58,1
20,2,0,138,1,8,0,43,52,9
21,0,0,65,1,9,0,65,72,7
21,1,0,136,1,9,0,71,79,8
22,0,0,55,1,4,0,55,65,10
22,1,0,88,1,6,0,33,42,9
22,2,0,151,1,4,0,63,71,8
23,0,0,73,1,7,0,73,82,9
23,1,0,125,1,14,0,52,59,7
24,0,0,36,1,11,0,36,45,9
24,1,0,92,1,7,0,56,64,8
24,2,6,92,0,7,6,0,9,15
24,3,6,129,1,9,0,37,45,8
25,0,0,40,1,7,0,40,50,10
25,1,0,89,1,6,0,49,59,10
25,2,0,169,1,0,0,80,85,5
26,0,0,52,1,8,0,52,60,8
26,1,0,79,1,4,0,27,37,10
26,2,0,92,1,4,0,13,19,6
26,3,0,164,1,6,0,72,79,7
27,0,0,55,1,5,0,55,63,8
27,1,0,118,1,4,0,63,71,8
28,0,0,43,1,7,0,43,50,7
28,1,0,112,1,9,0,69,70,1
29,0,0,54,1,6,0,54,62,8
29,1,0,96,1,3,0,42,52,10
29,2,0,141,1,10,0,45,52,7
30,0,0,43,1,5,0,43,50,7
30,1,0,81,1,5,0,38,46,8
30,2,0,96,1,12,0,15,23,8
30,3,0,172,1,11,0,76,83,7
31,0,0,34,1,9,0,34,44,10
31,1,0,95,1,1,0,61,64,3
31,2,0,161,1,6,0,66,68,2
32,0,0,39,1,4,0,39,47,8
32,1,0,85,1,9,0,46,54,8
32,2,0,157,1,9,0,72,81,9
33,0,0,28,1,3,0,28,36,8
33,1,0,95,1,3,0,67,68,1
33,2,0,166,1,7,0,71,80,9
34,0,0,39,1,10,0,39,46,7
34,1,0,104,1,12,0,65,74,9
35,0,0,53,1,2,0,53,62,9
35,1,0,110,1,3,0,57,67,10
36,0,0,55,1,6,0,55,64,9
36,1,0,111,1,7,0,56,66,10
37,0,0,70,1,17,0,70,78,8
37,1,0,130,1,7,0,60,67,7
38,0,0,75,1,12,0,75,83,8
38,1,0,102,1,7,0,27,36,9
39,0,0,15,1,12,0,15,23,8
39,1,0,75,1,8,0,60,68,8
39,2,0,146,1,13,0,71,76,5
40,0,0,61,1,3,0,61,71,10
40,1,0,133,1,11,0,72,73,1
41,0,0,56,1,19,0,56,63,7
41,1,0,110,1,10,0,54,63,9
42,0,0,50,1,4,0,50,58,8
42,1,0,86,1,8,0,36,46,10
42,2,0,133,1,7,0,47,55,8
43,0,0,17,1,2,0,17,22,5
43,1,0,86,1,2,0,69,76,7
43,2,0,123,1,11,0,37,43,6
44,0,0,46,1,10,0,46,51,5
44,1,0,113,1,6,0,67,76,9
45,0,0,32,1,15,0,32,38,6
45,1,0,60,1,9,0,28,38,10
45,2,0,123,1,7,0,63,65,2
46,0,0,72,1,6,0,72,79,7
46,1,0,141,1,9,0,69,76,7
47,0,0,55,1,2,0,55,64,9
47,1,0,82,1,6,0,27,34,7
47,2,0,136,1,7,0,54,62,8
48,0,0,63,1,3,0,63,70,7
48,1,0,94,1,6,0,31,35,4
48,2,26,94,0,6,26,0,1,27
48,3,26,133,1,9,0,39,40,1
49,0,0,73,1,5,0,73,81,8
49,1,0,94,1,8,0,21,31,10
49,2,0,148,1,12,0,54,62,8
50,0,0,47,1,8,0,47,52,5
50,1,0,110,1,15,0,63,68,5
51,0,0,30,1,6,0,30,32,2
51,1,0,63,1,11,0,33,38,5
51,2,0,127,1,1,0,64,74,10
52,0,0,47,1,8,0,47,50,3
52,1,0,98,1,5,0,51,55,4
52,2,0,198,1,2,0,100,75,0
53,0,0,43,1,10,0,43,51,8
53,1,0,83,1,13,0,40,44,4
53,2,0,142,1,12,0,59,66,7
54,0,0,74,1,8,0,74,78,4
54,1,0,135,1,2,0,61,65,4
55,0,0,50,1,2,0,50,60,10
55,1,0,86,1,6,0,36,44,8
55,2,0,135,1,6,0,49,55,6
56,0,0,48,1,7,0,48,57,9
56,1,0,95,1,4,0,47,54,7
56,2,0,176,1,10,0,81,83,2
57,0,0,56,1,13,0,56,58,2
57,1,0,90,1,17,0,34,41,7
57,2,0,131,1,9,0,41,50,9
58,0,0,62,1,4,0,62,69,7
58,1,0,121,1,7,0,59,63,4
59,0,0,51,1,12,0,51,58,7
59,1,0,83,1,6,0,32,42,10
59,2,0,146,1,6,0,63,67,4
60,0,0,51,1,14,0,51,53,2
60,1,0,107,1,7,0,56,64,8
61,0,0,67,1,7,0,67,75,8
61,1,0,103,1,10,0,36,46,10
62,0,0,39,1,4,0,39,47,8
62,1,0,76,1,13,0,37,39,2
62,2,0,127,1,10,0,51,55,4
63,0,0,56,1,9,0,56,66,10
63,1,0,115,1,5,0,59,62,3
64,0,0,64,1,8,0,64,72,8
64,1,0,71,1,8,0,7,15,8
64,2,0,107,1,7,0,36,45,9
65,0,0,47,1,4,0,47,54,7
65,1,0,86,1,9,0,39,48,9
65,2,0,163,1,8,0,77,87,10
66,0,0,70,1,1,0,70,74,4
66,1,0,108,1,7,0,38,48,10
67,0,0,28,1,10,0,28,37,9
67,1,0,69,1,7,0,41,51,10
67,2,0,110,1,5,0,41,45,4
68,0,0,38,1,7,0,38,45,7
68,1,0,116,1,13,0,78,53,0
69,0,0,58,1,5,0,58,59,1
69,1,0,119,1,6,0,61,71,10
70,0,0,61,1,8,0,61,71,10
70,1,0,115,1,8,0,54,60,6
71,0,0,24,1,11,0,24,33,9
71,1,0,90,1,3,0,66,67,1
71,2,0,157,1,15,0,67,73,6
72,0,0,59,1,6,0,59,65,6
72,1,0,101,1,7,0,42,47,5
73,0,0,42,1,11,0,42,52,10
73,1,0,116,1,5,0,74,76,2
74,0,0,47,1,8,0,47,56,9
74,1,0,88,1,6,0,41,48,7
74,2,0,122,1,13,0,34,44,10
75,0,0,38,1,1,0,38,47,9
75,1,0,109,1,5,0,71,80,9
76,0,0,65,1,12,0,65,75,10
76,1,0,93,1,6,0,28,35,7
76,2,0,118,1,9,0,25,27,2
77,0,0,36,1,10,0,36,41,5
77,1,0,94,1,7,0,58,68,10
77,2,0,140,1,10,0,46,50,4
78,0,0,73,1,11,0,73,74,1
78,1,0,146,1,13,0,73,81,8
79,0,0,28,1,4,0,28,35,7
79,1,0,60,1,9,0,32,37,5
79,2,0,100,1,8,0,40,47,7
80,0,0,74,1,6,0,74,79,5
80,1,0,122,1,11,0,48,56,8
81,0,0,59,1,5,0,59,64,5
81,1,0,89,1,8,0,30,40,10
81,2,0,141,1,1,0,52,55,3
82,0,0,55,1,12,0,55,64,9
82,1,0,127,1,8,0,72,80,8
83,0,0,78,1,3,0,78,80,2
83,1,0,128,1,5,0,50,60,10
84,0,0,71,1,7,0,71,80,9
84,1,0,133,1,4,0,62,69,7
85,0,0,51,1,11,0,51,55,4
85,1,0,90,1,8,0,39,47,8
85,2,0,143,1,10,0,53,57,4
86,0,0,70,1,11,0,70,74,4
86,1,0,111,1,3,0,41,43,2
87,0,0,42,1,14,0,42,52,10
87,1,0,111,1,2,0,69,72,3
88,0,0,71,1,4,0,71,80,9
88,1,0,106,1,13,0,35,42,7
89,0,0,56,1,3,0,56,64,8
89,1,0,119,1,7,0,63,73,10
90,0,0,73,1,6,0,73,77,4
90,1,0,130,1,5,0,57,62,5
91,0,0,77,1,12,0,77,85,8
91,1,0,142,1,4,0,65,75,10
92,0,0,52,1,9,0,52,60,8
92,1,0,85,1,4,0,33,39,6
92,2,0,122,1,4,0,37,45,8
93,0,0,52,1,11,0,52,62,10
93,1,0,90,1,6,0,38,47,9
93,2,0,130,1,7,0,40,47,7
94,0,0,65,1,1,0,65,67,2
94,1,0,97,1,5,0,32,42,10
94,2,0,166,1,8,0,69,74,5
95,0,0,59,1,11,0,59,65,6
95,1,0,96,1,10,0,37,46,9
95,2,0,158,1,11,0,62,71,9
96,0,0,99,1,3,0,99,74,0
96,1,0,139,1,6,0,40,50,10
97,0,0,15,1,4,0,15,25,10
97,1,0,76,1,8,0,61,69,8
97,2,0,144,1,9,0,68,69,1
98,0,0,60,1,8,0,60,67,7
98,1,0,94,1,5,0,34,35,1
98,2,0,155,1,9,0,61,62,1
99,0,0,32,1,4,0,32,41,9
99,1,0,98,1,8,0,66,74,8
99,2,0,140,1,7,0,42,46,4
100,0,0,43,1,9,0,43,53,10
100,1,0,137,1,3,0,94,69,0
101,0,0,63,1,12,0,63,70,7
101,1,0,127,1,9,0,64,71,7
102,0,0,75,1,7,0,75,83,8
102,1,0,110,1,2,0,35,42,7
103,0,0,35,1,14,0,35,40,5
103,1,0,60,1,8,0,25,35,10
103,2,0,133,1,10,0,73,75,2
104,0,0,55,1,5,0,55,65,10
104,1,0,116,1,5,0,61,71,10
105,0,0,46,1,7,0,46,54,8
105,1,0,102,1,4,0,56,62,6
106,0,0,64,1,16,0,64,70,6
106,1,0,125,1,6,0,61,66,5
107,0,0,64,1,0,0,64,70,6
107,1,0,108,1,7,0,44,48,4
108,0,0,65,1,8,0,65,67,2
108,1,0,101,1,3,0,36,46,10
109,0,0,31,1,4,0,31,41,10
109,1,0,85,1,7,0,54,63,9
109,2,9,85,0,9,9,0,10,19
109,3,9,116,1,6,0,31,41,10
110,0,0,49,1,1,0,49,58,9
110,1,0,81,1,10,0,32,42,10
110,2,0,111,1,6,0,30,40,10
111,0,0,62,1,6,0,62,68,6
111,1,0,108,1,9,0,46,55,9
112,0,0,59,1,4,0,59,69,10
112,1,0,102,1,7,0,43,48,5
113,0,0,59,1,8,0,59,63,4
113,1,0,126,1,9,0,67,69,2
114,0,0,64,1,4,0,64,65,1
114,1,0,154,1,9,0,90,65,0
115,0,0,35,1,7,0,35,45,10
115,1,0,93,1,3,0,58,64,6
115,2,0,168,1,5,0,75,85,10
116,0,0,64,1,8,0,64,70,6
116,1,0,118,1,7,0,54,63,9
117,0,0,69,1,8,0,69,78,9
117,1,0,138,1,7,0,69,78,9
118,0,0,48,1,5,0,48,56,8
118,1,0,102,1,5,0,54,62,8
119,0,0,35,1,8,0,35,45,10
119,1,0,100,1,8,0,65,75,10
120,0,0,65,1,5,0,65,74,9
120,1,0,98,1,8,0,33,42,9
120,2,0,172,1,8,0,74,78,4
121,0,0,68,1,7,0,68,76,8
121,1,0,110,1,10,0,42,52,10
122,0,0,70,1,15,0,70,76,6
122,1,0,133,1,5,0,63,73,10
123,0,0,71,1,11,0,71,78,7
123,1,0,123,1,10,0,52,62,10
124,0,0,66,1,4,0,66,72,6
124,1,0,101,1,10,0,35,45,10
125,0,0,51,1,4,0,51,61,10
125,1,0,96,1,7,0,45,48,3
125,2,0,155,1,12,0,59,65,6
126,0,0,18,1,5,0,18,28,10
126,1,0,73,1,7,0,55,63,8
126,2,0,119,1,6,0,46,55,9
127,0,0,38,1,6,0,38,47,9
127,1,0,99,1,6,0,61,64,3
127,2,0,144,1,5,0,45,53,8
128,0,0,63,1,8,0,63,70,7
128,1,0,143,1,10,0,80,86,6
129,0,0,76,1,4,0,76,78,2
129,1,0,118,1,4,0,42,51,9
130,0,0,74,1,11,0,74,82,8
130,1,0,134,1,9,0,60,69,9
131,0,0,56,1,13,0,56,66,10
131,1,0,80,1,4,0,24,31,7
131,2,0,141,1,7,0,61,71,10
132,0,0,39,1,14,0,39,47,8
132,1,0,100,1,4,0,61,68,7
133,0,0,43,1,4,0,43,53,10
133,1,0,116,1,9,0,73,79,6
134,0,0,45,1,6,0,45,51,6
134,1,0,114,1,14,0,69,77,8
135,0,0,45,1,10,0,45,52,7
135,1,0,96,1,2,0,51,58,7
135,2,0,141,1,7,0,45,54,9
136,0,0,69,1,11,0,69,73,4
136,1,0,130,1,13,0,61,68,7
137,0,0,59,1,4,0,59,67,8
137,1,0,130,1,11,0,71,73,2
138,0,0,78,1,6,0,78,88,10
138,1,0,134,1,9,0,56,62,6
139,0,0,52,1,4,0,52,62,10
139,1,0,95,1,8,0,43,52,9
139,2,0,129,1,8,0,34,35,1
140,0,0,24,1,6,0,24,33,9
140,1,0,80,1,6,0,56,64,8
140,2,0,125,1,8,0,45,46,1
141,0,0,54,1,4,0,54,63,9
141,1,0,100,1,9,0,46,55,9
142,0,0,48,1,6,0,48,58,10
142,1,0,130,1,5,0,82,57,0
143,0,0,38,1,1,0,38,46,8
143,1,0,60,1,14,0,22,28,6
143,2,0,123,1,2,0,63,71,8
144,0,0,16,1,11,0,16,21,5
144,1,0,80,1,6,0,64,73,9
144,2,0,127,1,7,0,47,54,7
145,0,0,48,1,12,0,48,55,7
145,1,0,108,1,12,0,60,70,10
146,0,0,61,1,7,0,61,67,6
146,1,0,90,1,9,0,29,36,7
146,2,0,128,1,5,0,38,48,10
147,0,0,49,1,6,0,49,58,9
147,1,0,104,1,2,0,55,61,6
148,0,0,43,1,7,0,43,52,9
148,1,0,111,1,10,0,68,74,6
149,0,0,71,1,5,0,71,79,8
149,1,0,139,1,7,0,68,77,9
150,0,0,62,1,5,0,62,63,1
150,1,0,117,1,4,0,55,65,10
151,0,0,43,1,8,0,43,49,6
151,1,0,70,1,6,0,27,37,10
151,2,0,121,1,1,0,51,59,8
152,0,0,50,1,4,0,50,54,4
152,1,0,82,1,15,0,32,35,3
152,2,0,153,1,0,0,71,80,9
153,0,0,58,1,6,0,58,67,9
153,1,0,124,1,7,0,66,75,9
154,0,0,30,1,11,0,30,40,10
154,1,0,76,1,9,0,46,56,10
154,2,0,131,1,2,0,55,63,8
155,0,0,59,1,11,0,59,68,9
155,1,0,99,1,5,0,40,46,6
155,2,0,115,1,7,0,16,24,8
156,0,0,69,1,8,0,69,79,10
156,1,0,127,1,4,0,58,63,5
157,0,0,60,1,10,0,60,66,6
157,1,0,96,1,7,0,36,44,8
157,2,0,192,1,16,0,96,71,0
158,0,9,0,0,4,9,0,10,19
158,1,9,37,1,3,0,37,46,9
158,2,9,106,1,10,0,69,74,5
159,0,0,64,1,4,0,64,65,1
159,1,0,105,1,5,0,41,51,10
160,0,0,77,1,8,0,77,80,3
160,1,0,114,1,7,0,37,43,6
161,0,0,69,1,10,0,69,79,10
161,1,0,135,1,5,0,66,76,10
162,0,0,68,1,4,0,68,77,9
162,1,0,126,1,13,0,58,64,6
163,0,0,71,1,8,0,71,80,9
163,1,0,128,1,5,0,57,62,5
164,0,0,47,1,12,0,47,55,8
164,1,0,92,1,8,0,45,53,8
164,2,0,153,1,13,0,61,66,5
165,0,0,41,1,6,0,41,44,3
165,1,0,98,1,9,0,57,66,9
165,2,0,148,1,9,0,50,57,7
166,0,0,49,1,5,0,49,57,8
166,1,0,96,1,4,0,47,56,9
166,2,0,152,1,5,0,56,66,10
167,0,0,29,1,7,0,29,39,10
