Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,47.0,60.0,1.61037696752E9,0.0
0,0,1,62.0,48.0,0.0,0.0
0,0,2,69.0,41.0,0.0,0.0
0,0,3,69.0,41.0,0.0,0.0
0,0,4,69.0,41.0,0.0,0.0
0,0,5,74.0,37.0,0.0,0.0
0,0,6,73.0,37.0,0.0,0.0
0,0,7,73.0,31.0,0.0,0.0
0,0,8,79.0,23.0,0.0,0.0
0,0,9,80.0,14.0,0.0,0.001
0,0,10,76.0,5.0,0.0,0.0
0,1,0,61.0,72.0,0.0,0.0
0,1,1,75.0,69.0,0.0,0.0
0,1,2,45.0,62.0,0.0,0.0
0,1,3,41.0,58.0,0.0,0.0
0,1,4,71.0,35.0,0.0,0.0
0,1,5,71.0,35.0,0.0,0.0
0,1,6,71.0,27.0,0.0,0.0
0,1,7,68.0,16.0,0.001,0.0
0,1,8,68.0,16.0,0.0,0.0
0,1,9,44.0,13.0,0.0,0.0
0,1,10,64.0,13.0,0.0,0.0
0,1,11,65.0,11.0,0.0,0.0
0,1,12,65.0,10.0,0.0,0.0
1,0,0,42.0,30.0,1.610376967522E9,0.0
1,0,1,45.0,27.0,0.0,0.0
1,0,2,54.0,18.0,0.0,0.0
1,0,3,52.0,14.0,0.0,0.001
1,0,4,49.0,14.0,0.0,0.0
1,0,5,69.0,13.0,0.0,0.0
1,0,6,65.0,4.0,0.0,0.0
1,1,0,60.0,70.0,0.0,0.0
1,1,1,68.0,63.0,0.0,0.0
1,1,2,40.0,55.0,0.0,0.0
1,1,3,65.0,53.0,0.0,0.001
1,1,4,66.0,46.0,0.0,0.0
1,1,5,66.0,32.0,0.0,0.0
1,1,6,62.0,32.0,0.0,0.0
1,1,7,66.0,29.0,0.0,0.0
1,1,8,66.0,26.0,0.0,0.0
1,1,9,63.0,16.0,0.0,0.0
1,1,10,65.0,16.0,0.0,0.0
1,1,11,65.0,6.0,0.0,0.0
2,0,0,76.0,49.0,1.610376967524E9,0.001
2,0,1,76.0,49.0,0.0,0.0
2,0,2,76.0,39.0,0.0,0.0
2,0,3,76.0,33.0,0.0,0.0
2,0,4,82.0,26.0,0.0,0.0
2,0,5,82.0,26.0,0.0,0.0
2,0,6,52.0,21.0,0.0,0.0
2,0,7,43.0,19.0,0.0,0.0
2,0,8,41.0,8.0,0.001,0.0
2,1,0,27.0,38.0,0.0,0.0
2,1,1,27.0,35.0,0.0,0.0
2,1,2,29.0,35.0,0.0,0.0
2,1,3,28.0,27.0,0.0,0.0
2,1,4,36.0,22.0,0.0,0.0
2,1,5,33.0,17.0,0.0,0.0
2,1,6,33.0,17.0,0.0,0.0
2,1,7,33.0,17.0,0.0,0.0
2,1,8,36.0,17.0,0.0,0.0
2,1,9,33.0,12.0,0.0,0.0
2,1,10,63.0,12.0,0.0,0.0
2,1,11,68.0,12.0,0.0,0.001
2,1,12,68.0,4.0,0.0,0.0
2,2,0,65.0,29.0,0.0,0.0
2,2,1,62.0,27.0,0.0,0.0
2,2,2,61.0,27.0,0.0,0.0
2,2,3,61.0,27.0,0.0,0.0
2,2,4,38.0,23.0,0.0,0.0
2,2,5,38.0,19.0,0.0,0.0
2,2,6,57.0,12.0,0.0,0.0
2,2,7,55.0,12.0,0.0,0.0
2,2,8,61.0,2.0,0.0,0.0
3,0,0,56.0,52.0,1.610376967528E9,0.0
3,0,1,53.0,50.0,0.0,0.0
3,0,2,53.0,45.0,0.0,0.0
3,0,3,59.0,36.0,0.0,0.0
3,0,4,43.0,36.0,0.0,0.0
3,0,5,46.0,35.0,0.0,0.0
3,0,6,51.0,32.0,0.0,0.0
3,0,7,65.0,28.0,0.0,0.0
3,0,8,62.0,28.0,0.0,0.0
3,0,9,69.0,22.0,0.0,0.001
3,0,10,68.0,22.0,0.0,0.0
3,0,11,68.0,22.0,0.0,0.0
3,0,12,73.0,17.0,0.0,0.0
