Game,Rounds,P0 Score,P1 Score,Winner
0,2,0,126,1
1,2,0,120,1
2,3,0,156,1
3,2,0,124,1
4,4,0,149,1
5,2,0,136,1
6,3,32,115,1
7,2,0,125,1
8,2,0,101,1
9,2,0,118,1
10,2,0,105,1
11,2,0,112,1
12,2,0,103,1
13,3,0,131,1
14,2,0,111,1
15,3,0,140,1
16,3,0,131,1
17,3,0,119,1
18,3,0,140,1
19,3,0,132,1
20,3,0,138,1
21,2,0,136,1
22,3,0,151,1
23,2,0,125,1
24,4,6,129,1
25,3,0,169,1
26,4,0,164,1
27,2,0,118,1
28,2,0,112,1
29,3,0,141,1
30,4,0,172,1
31,3,0,161,1
32,3,0,157,1
33,3,0,166,1
34,2,0,104,1
35,2,0,110,1
36,2,0,111,1
37,2,0,130,1
38,2,0,102,1
39,3,0,146,1
40,2,0,133,1
41,2,0,110,1
42,3,0,133,1
43,3,0,123,1
44,2,0,113,1
45,3,0,123,1
46,2,0,141,1
47,3,0,136,1
48,4,26,133,1
49,3,0,148,1
50,2,0,110,1
51,3,0,127,1
52,3,0,198,1
53,3,0,142,1
54,2,0,135,1
55,3,0,135,1
56,3,0,176,1
57,3,0,131,1
58,2,0,121,1
59,3,0,146,1
60,2,0,107,1
61,2,0,103,1
62,3,0,127,1
63,2,0,115,1
64,3,0,107,1
65,3,0,163,1
66,2,0,108,1
67,3,0,110,1
68,2,0,116,1
69,2,0,119,1
70,2,0,115,1
71,3,0,157,1
72,2,0,101,1
73,2,0,116,1
74,3,0,122,1
75,2,0,109,1
76,3,0,118,1
77,3,0,140,1
78,2,0,146,1
79,3,0,100,1
80,2,0,122,1
81,3,0,141,1
82,2,0,127,1
83,2,0,128,1
84,2,0,133,1
85,3,0,143,1
86,2,0,111,1
87,2,0,111,1
88,2,0,106,1
89,2,0,119,1
90,2,0,130,1
91,2,0,142,1
92,3,0,122,1
93,3,0,130,1
94,3,0,166,1
95,3,0,158,1
96,2,0,139,1
97,3,0,144,1
98,3,0,155,1
99,3,0,140,1
100,2,0,137,1
101,2,0,127,1
102,2,0,110,1
103,3,0,133,1
104,2,0,116,1
105,2,0,102,1
106,2,0,125,1
107,2,0,108,1
108,2,0,101,1
109,4,9,116,1
110,3,0,111,1
111,2,0,108,1
112,2,0,102,1
113,2,0,126,1
114,2,0,154,1
115,3,0,168,1
116,2,0,118,1
117,2,0,138,1
118,2,0,102,1
119,2,0,100,1
120,3,0,172,1
121,2,0,110,1
122,2,0,133,1
123,2,0,123,1
124,2,0,101,1
125,3,0,155,1
126,3,0,119,1
127,3,0,144,1
128,2,0,143,1
129,2,0,118,1
130,2,0,134,1
131,3,0,141,1
132,2,0,100,1
133,2,0,116,1
134,2,0,114,1
135,3,0,141,1
136,2,0,130,1
137,2,0,130,1
138,2,0,134,1
139,3,0,129,1
140,3,0,125,1
141,2,0,100,1
142,2,0,130,1
143,3,0,123,1
144,3,0,127,1
145,2,0,108,1
146,3,0,128,1
147,2,0,104,1
148,2,0,111,1
149,2,0,139,1
150,2,0,117,1
151,3,0,121,1
152,3,0,153,1
153,2,0,124,1
154,3,0,131,1
155,3,0,115,1
156,2,0,127,1
157,3,0,192,1
158,3,9,106,1
159,2,0,105,1
160,2,0,114,1
161,2,0,135,1
162,2,0,126,1
163,2,0,128,1
164,3,0,153,1
165,3,0,148,1
166,3,0,152,1
167,3,0,116,1
168,2,0,105,1
169,2,0,106,1
170,2,0,122,1
171,3,0,131,1
172,2,0,144,1
173,3,0,133,1
174,2,0,138,1
175,3,0,163,1
176,3,0,106,1
177,2,0,134,1
178,2,0,144,1
179,3,0,146,1
180,2,0,111,1
181,2,0,108,1
182,3,0,127,1
183,2,0,121,1
184,2,0,129,1
185,2,0,106,1
186,2,0,123,1
187,2,0,105,1
188,2,0,112,1
189,2,0,112,1
190,3,0,134,1
191,2,0,125,1
192,2,0,119,1
193,2,0,103,1
194,4,0,134,1
195,2,0,139,1
196,3,0,133,1
197,3,0,148,1
198,3,0,127,1
199,2,0,117,1
200,3,0,145,1
201,2,0,112,1
202,2,0,127,1
203,3,0,166,1
204,2,0,121,1
205,2,0,116,1
206,2,0,133,1
207,2,0,103,1
208,3,0,169,1
209,3,0,132,1
210,3,0,115,1
211,2,0,125,1
212,2,0,128,1
213,3,0,136,1
214,2,0,129,1
215,2,0,119,1
216,3,0,127,1
217,2,0,108,1
218,3,0,121,1
219,2,0,101,1
220,3,0,149,1
221,2,0,128,1
222,2,0,132,1
223,2,0,115,1
224,3,0,149,1
225,3,0,143,1
226,2,0,110,1
227,3,0,162,1
228,2,0,119,1
229,2,0,108,1
230,2,0,128,1
231,2,0,112,1
232,2,0,110,1
233,3,0,155,1
234,3,0,164,1
235,2,0,108,1
236,3,0,169,1
237,3,0,121,1
238,3,0,132,1
239,2,0,114,1
240,3,0,145,1
241,2,0,109,1
242,3,0,128,1
243,3,0,113,1
244,2,0,103,1
245,2,0,125,1
246,3,0,113,1
247,3,0,151,1
248,2,0,130,1
249,3,0,140,1
250,2,0,122,1
251,2,0,110,1
252,3,0,164,1
253,2,0,110,1
254,2,0,100,1
255,2,0,114,1
256,2,0,113,1
257,3,0,112,1
258,2,0,105,1
259,3,0,131,1
260,3,0,149,1
261,2,0,109,1
262,2,0,120,1
263,2,0,103,1
264,3,0,157,1
265,2,0,144,1
266,2,0,105,1
267,2,0,116,1
268,2,0,108,1
269,2,0,119,1
270,2,0,141,1
271,3,0,106,1
272,2,0,128,1
273,2,0,139,1
274,2,0,100,1
275,2,0,104,1
276,2,0,126,1
277,2,0,106,1
278,2,0,150,1
279,2,0,105,1
280,2,0,105,1
281,3,0,162,1
282,2,0,107,1
283,2,0,127,1
284,3,0,104,1
285,2,0,110,1
286,3,0,111,1
287,3,0,123,1
288,3,0,127,1
289,3,0,133,1
290,3,0,115,1
291,2,0,115,1
292,3,0,135,1
293,3,0,156,1
294,2,0,103,1
295,3,0,137,1
296,3,0,110,1
297,3,0,142,1
298,2,0,110,1
299,3,0,152,1
300,2,0,112,1
301,3,0,149,1
302,3,0,112,1
