Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,58,0,0,9,58,0,10,68
0,1,126,0,0,5,68,0,10,78
1,0,65,0,0,7,65,0,9,74
1,1,94,0,0,5,29,0,10,39
1,2,127,0,0,8,33,0,8,41
2,0,31,0,0,9,31,0,7,38
2,1,97,0,0,8,66,0,9,75
2,2,160,0,0,7,63,0,8,71
3,0,53,0,0,12,53,0,2,55
3,1,97,0,0,8,44,0,9,53
3,2,136,0,0,4,39,0,6,45
4,0,73,0,0,6,73,0,5,78
4,1,128,0,0,7,55,0,2,57
5,0,47,0,0,2,47,0,8,55
5,1,77,0,0,5,30,0,9,39
5,2,141,0,0,8,64,0,7,71
6,0,31,0,0,13,31,0,10,41
6,1,115,0,0,11,84,0,4,88
7,0,48,0,0,2,48,0,1,49
7,1,100,0,0,13,52,0,8,60
8,0,56,0,0,3,56,0,10,66
8,1,119,0,0,9,63,0,10,73
9,0,50,0,0,10,50,0,4,54
9,1,105,0,0,5,55,0,8,63
10,0,39,0,0,7,39,0,9,48
10,1,72,0,0,7,33,0,5,38
10,2,149,0,0,4,77,0,8,85
11,0,52,0,0,9,52,0,8,60
11,1,86,0,0,6,34,0,8,42
11,2,147,0,0,13,61,0,5,66
12,0,66,0,0,7,66,0,5,71
12,1,85,0,0,8,19,0,6,25
12,2,140,0,0,8,55,0,7,62
13,0,58,0,0,6,58,0,10,68
13,1,119,0,0,9,61,0,9,70
14,0,75,0,0,12,75,0,3,78
14,1,144,0,0,7,69,0,4,73
15,0,69,0,0,10,69,0,3,72
15,1,123,0,0,9,54,0,10,64
16,0,64,0,0,7,64,0,7,71
16,1,124,0,0,12,60,0,9,69
17,0,45,0,0,0,45,0,6,51
17,1,71,0,0,9,26,0,8,34
17,2,107,0,0,6,36,0,8,44
18,0,37,0,0,7,37,0,8,45
18,1,100,0,0,9,63,0,4,67
19,0,54,0,0,5,54,0,3,57
19,1,109,0,0,12,55,0,3,58
20,0,58,0,0,6,58,0,8,66
20,1,84,0,0,6,26,0,3,29
20,2,140,0,0,4,56,0,7,63
21,0,47,0,0,16,47,0,8,55
21,1,90,0,0,8,43,0,8,51
21,2,188,0,0,5,98,0,0,73
22,0,39,0,0,5,39,0,6,45
22,1,101,0,0,3,62,0,9,71
23,0,60,0,0,6,60,0,10,70
23,1,103,0,0,7,43,0,9,52
24,0,54,0,0,6,54,0,9,63
24,1,109,0,0,4,55,0,10,65
25,0,41,0,0,7,41,0,5,46
25,1,99,0,0,4,58,0,8,66
25,2,146,0,0,14,47,0,7,54
26,0,46,0,0,6,46,0,6,52
26,1,85,0,0,8,39,0,1,40
26,2,113,0,0,12,28,0,9,37
27,0,61,0,0,7,61,0,8,69
27,1,123,0,0,9,62,0,7,69
28,0,21,0,0,1,21,0,10,31
28,1,86,0,0,8,65,0,10,75
28,2,107,0,0,8,21,0,5,26
29,0,40,0,0,14,40,0,8,48
29,1,101,0,0,1,61,0,5,66
30,0,61,0,0,6,61,0,10,71
30,1,134,0,0,10,73,0,8,81
31,0,56,0,0,9,56,0,7,63
