Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,44.0,37.0,1.610376965861E9,0.0
0,0,1,36.0,56.0,0.001,0.001
0,0,2,31.0,57.0,0.0,0.001
0,0,3,31.0,63.0,0.0,0.0
0,0,4,27.0,62.0,0.001,0.0
0,0,5,27.0,67.0,0.001,0.0
0,0,6,25.0,67.0,0.001,0.0
0,0,7,25.0,66.0,0.0,0.0
0,0,8,12.0,68.0,0.001,0.0
0,0,9,10.0,68.0,0.0,0.0
0,1,0,44.0,58.0,0.0,0.0
0,1,1,30.0,59.0,0.001,0.0
0,1,2,27.0,74.0,0.0,0.0
0,1,3,21.0,69.0,0.001,0.0
0,1,4,16.0,55.0,0.0,0.0
0,1,5,10.0,78.0,0.0,0.0
1,0,0,65.0,62.0,1.610376965874E9,0.0
1,0,1,65.0,79.0,0.0,0.0
1,0,2,39.0,74.0,0.0,0.0
1,0,3,39.0,83.0,0.0,0.0
1,0,4,30.0,78.0,0.001,0.0
1,0,5,29.0,74.0,0.001,0.0
1,0,6,26.0,74.0,0.0,0.0
1,0,7,9.0,74.0,0.0,0.0
1,1,0,43.0,42.0,0.001,0.0
1,1,1,35.0,56.0,0.0,0.0
1,1,2,26.0,45.0,0.0,0.0
1,1,3,22.0,36.0,0.0,0.0
1,1,4,20.0,34.0,0.001,0.0
1,1,5,10.0,39.0,0.0,0.0
1,2,0,57.0,35.0,0.001,0.0
1,2,1,56.0,44.0,0.0,0.0
1,2,2,44.0,43.0,0.0,0.0
1,2,3,37.0,24.0,0.0,0.0
1,2,4,33.0,16.0,0.001,0.0
1,2,5,33.0,21.0,0.0,0.0
1,2,6,25.0,41.0,0.0,0.0
1,2,7,25.0,41.0,0.001,0.0
1,2,8,8.0,41.0,0.0,0.0
2,0,0,67.0,65.0,1.610376965881E9,0.001
2,0,1,67.0,68.0,0.0,0.0
2,0,2,64.0,74.0,0.0,0.0
2,0,3,55.0,34.0,0.0,0.0
2,0,4,48.0,36.0,0.0,0.0
2,0,5,46.0,39.0,0.001,0.0
2,0,6,24.0,47.0,0.0,0.0
2,0,7,21.0,47.0,0.0,0.0
2,0,8,20.0,38.0,0.0,0.0
2,0,9,7.0,38.0,0.0,0.0
2,1,0,58.0,78.0,0.0,0.0
2,1,1,35.0,48.0,0.0,0.0
2,1,2,34.0,78.0,0.0,0.0
2,1,3,30.0,77.0,0.0,0.001
2,1,4,28.0,77.0,0.0,0.0
2,1,5,28.0,73.0,0.0,0.0
2,1,6,25.0,73.0,0.001,0.0
2,1,7,21.0,69.0,0.0,0.0
2,1,8,9.0,75.0,0.0,0.0
2,2,0,23.0,63.0,0.001,0.0
2,2,1,23.0,64.0,0.0,0.0
2,2,2,23.0,62.0,0.0,0.0
2,2,3,23.0,63.0,0.0,0.001
2,2,4,23.0,68.0,0.0,0.0
2,2,5,22.0,66.0,0.0,0.0
2,2,6,22.0,71.0,0.0,0.0
2,2,7,8.0,71.0,0.0,0.0
3,0,0,58.0,43.0,1.610376965889E9,0.0
3,0,1,57.0,15.0,0.0,0.0
3,0,2,55.0,35.0,0.001,0.0
3,0,3,50.0,39.0,0.0,0.0
3,0,4,47.0,48.0,0.0,0.0
3,0,5,41.0,77.0,0.0,0.0
3,0,6,41.0,74.0,0.001,0.0
3,0,7,41.0,46.0,0.0,0.0
3,0,8,41.0,46.0,0.0,0.0
3,0,9,35.0,52.0,0.0,0.0
3,0,10,25.0,57.0,0.0,0.0
3,0,11,15.0,55.0,0.001,0.0
3,0,12,2.0,55.0,0.0,0.0
3,1,0,52.0,81.0,0.0,0.0
3,1,1,26.0,83.0,0.0,0.0
3,1,2,25.0,54.0,0.0,0.001
3,1,3,22.0,24.0,0.0,0.0
3,1,4,22.0,53.0,0.0,0.0
3,1,5,19.0,53.0,0.0,0.0
3,1,6,18.0,51.0,0.0,0.001
3,1,7,18.0,51.0,0.0,0.0
3,1,8,9.0,53.0,0.001,0.0
