Game,Rounds,P0 Score,P1 Score,Winner
0,2,126,0,0
1,3,127,0,0
2,3,160,0,0
3,3,136,0,0
4,2,128,0,0
5,3,141,0,0
6,2,115,0,0
7,2,100,0,0
8,2,119,0,0
9,2,105,0,0
10,3,149,0,0
11,3,147,0,0
12,3,140,0,0
13,2,119,0,0
14,2,144,0,0
15,2,123,0,0
16,2,124,0,0
17,3,107,0,0
18,2,100,0,0
19,2,109,0,0
20,3,140,0,0
21,3,188,0,0
22,2,101,0,0
23,2,103,0,0
24,2,109,0,0
25,3,146,0,0
26,3,113,0,0
27,2,123,0,0
28,3,107,0,0
29,2,101,0,0
30,2,134,0,0
31,2,103,0,0
32,2,134,0,0
33,2,134,0,0
34,4,139,0,0
35,2,122,0,0
36,3,150,0,0
37,2,107,0,0
38,3,150,0,0
39,3,127,0,0
40,2,107,0,0
41,2,106,0,0
42,2,109,0,0
43,2,116,0,0
44,2,106,0,0
45,3,126,0,0
46,3,141,0,0
47,2,102,0,0
48,2,100,0,0
49,2,101,0,0
50,2,129,0,0
51,3,150,0,0
52,2,107,0,0
53,3,129,0,0
54,2,111,0,0
55,2,132,0,0
56,3,141,0,0
57,2,100,0,0
58,2,110,0,0
59,2,119,0,0
60,2,114,0,0
61,2,139,0,0
62,3,136,0,0
63,2,135,0,0
64,3,143,0,0
65,2,116,0,0
66,2,127,0,0
67,3,149,0,0
68,2,114,0,0
69,4,144,0,0
70,2,130,0,0
71,2,121,0,0
72,2,122,0,0
73,2,116,0,0
74,2,136,0,0
75,2,115,0,0
76,2,115,0,0
77,2,116,0,0
78,2,127,0,0
79,2,108,0,0
80,3,150,0,0
81,3,118,0,0
82,2,114,0,0
83,3,133,0,0
84,2,108,0,0
85,3,128,0,0
86,3,144,0,0
87,3,108,0,0
88,2,104,0,0
89,3,124,0,0
90,2,103,0,0
91,2,133,0,0
92,3,134,0,0
93,3,133,0,0
94,2,133,0,0
95,2,132,0,0
96,3,116,0,0
97,3,171,0,0
98,2,124,0,0
99,2,109,0,0
100,2,113,0,0
101,2,118,0,0
102,2,121,0,0
103,3,116,0,0
104,3,145,0,0
105,2,125,0,0
106,2,110,0,0
107,3,152,0,0
108,2,101,0,0
109,2,101,0,0
110,3,103,44,0
111,3,121,0,0
112,2,112,0,0
113,3,118,0,0
114,3,121,0,0
115,3,150,0,0
116,3,166,0,0
117,3,105,0,0
118,2,105,0,0
119,2,114,0,0
120,3,129,0,0
121,2,111,0,0
122,3,134,0,0
123,2,101,0,0
124,3,141,0,0
125,3,124,0,0
126,2,141,0,0
127,2,138,0,0
128,4,149,0,0
129,3,154,0,0
130,3,148,0,0
131,3,119,0,0
132,2,115,0,0
133,2,125,0,0
134,2,104,0,0
135,3,132,0,0
136,2,101,0,0
137,2,126,0,0
138,2,125,0,0
139,2,134,0,0
140,2,133,0,0
141,3,139,0,0
142,3,127,0,0
143,2,142,0,0
144,2,116,0,0
145,2,127,0,0
146,3,123,0,0
147,2,131,0,0
148,2,111,0,0
149,2,105,0,0
150,2,111,0,0
151,2,136,0,0
152,2,127,0,0
153,3,135,0,0
154,3,159,0,0
155,2,130,0,0
156,3,129,0,0
157,3,150,0,0
158,3,146,0,0
159,2,105,0,0
160,3,154,0,0
161,3,154,0,0
162,3,157,0,0
163,2,103,0,0
164,3,124,0,0
165,2,121,0,0
166,2,124,0,0
167,2,114,0,0
168,2,110,0,0
169,4,132,35,0
170,3,120,0,0
171,2,101,0,0
172,3,168,0,0
173,3,131,0,0
174,3,136,0,0
175,2,111,0,0
176,2,124,0,0
177,4,139,15,0
178,3,104,0,0
179,2,122,0,0
180,2,102,0,0
181,2,117,0,0
182,3,154,0,0
183,2,117,0,0
184,2,126,0,0
185,2,122,0,0
186,2,125,0,0
187,2,108,0,0
188,2,102,0,0
189,2,116,0,0
190,2,131,0,0
191,2,126,0,0
192,2,118,0,0
193,3,135,0,0
194,2,111,0,0
195,2,102,0,0
196,2,110,0,0
197,2,101,0,0
198,3,133,0,0
199,2,111,0,0
200,2,127,0,0
201,2,128,0,0
202,2,116,0,0
203,2,111,0,0
204,3,145,0,0
205,2,154,0,0
206,3,158,0,0
207,2,128,0,0
208,2,122,0,0
209,3,156,0,0
210,2,110,0,0
211,3,138,0,0
212,2,104,0,0
213,2,107,0,0
214,3,107,0,0
215,2,106,0,0
216,2,118,0,0
217,3,132,0,0
218,2,123,0,0
219,3,172,0,0
220,3,128,0,0
221,2,122,0,0
222,2,114,0,0
223,2,125,0,0
224,2,120,0,0
225,3,165,0,0
226,2,121,0,0
227,2,133,0,0
228,3,127,0,0
229,2,137,0,0
230,3,127,0,0
231,3,163,0,0
232,4,140,13,0
233,3,172,0,0
234,3,119,0,0
235,3,127,0,0
236,2,105,0,0
237,2,149,0,0
238,2,130,0,0
239,3,120,0,0
240,3,151,0,0
241,3,127,0,0
242,3,144,0,0
243,3,109,0,0
244,2,116,0,0
245,4,103,36,0
246,2,113,0,0
247,2,106,0,0
248,3,147,0,0
249,3,120,0,0
250,3,124,0,0
251,3,150,0,0
252,2,148,0,0
253,3,150,0,0
254,3,118,0,0
255,3,143,0,0
256,3,113,0,0
257,3,111,0,0
258,2,127,0,0
259,2,120,0,0
260,2,103,0,0
261,2,120,0,0
262,3,144,0,0
263,2,108,0,0
264,2,103,0,0
265,2,103,0,0
266,3,126,0,0
267,2,107,0,0
268,2,103,0,0
269,3,142,0,0
270,3,151,0,0
271,3,145,0,0
272,2,102,0,0
273,2,100,0,0
274,2,115,0,0
275,3,166,0,0
276,2,129,0,0
277,3,144,0,0
278,2,105,0,0
279,2,128,0,0
280,2,118,0,0
281,2,103,0,0
282,4,148,0,0
283,2,136,0,0
284,2,102,0,0
285,2,105,0,0
286,3,151,0,0
287,3,114,0,0
288,2,104,0,0
289,2,101,0,0
290,2,100,0,0
291,3,108,0,0
292,3,136,0,0
293,2,131,0,0
294,2,138,0,0
295,2,132,0,0
296,2,106,0,0
297,3,130,0,0
298,3,115,0,0
299,2,102,0,0
300,3,160,0,0
301,3,124,0,0
302,2,138,0,0
303,3,121,0,0
304,2,117,0,0
305,3,115,0,0
306,3,135,0,0
307,2,163,0,0
308,2,105,0,0
309,2,169,0,0
310,2,120,0,0
311,2,129,0,0
312,2,146,0,0
313,3,124,0,0
314,2,127,0,0
315,2,132,0,0
316,4,142,0,0
317,2,163,0,0
318,2,129,0,0
319,3,150,0,0
320,2,100,0,0
321,2,131,0,0
322,2,122,0,0
323,3,150,0,0
324,2,121,0,0
325,2,109,0,0
326,2,115,0,0
327,2,121,0,0
328,2,126,0,0
329,2,112,0,0
330,3,138,0,0
331,2,129,0,0
332,2,124,0,0
333,2,130,0,0
334,2,103,0,0
335,3,139,0,0
336,3,122,0,0
337,2,116,0,0
338,3,166,0,0
339,2,116,0,0
340,3,121,0,0
341,4,158,0,0
342,2,120,0,0
343,2,100,0,0
344,2,116,0,0
345,3,183,0,0
346,3,119,0,0
347,3,110,38,0
348,2,114,0,0
349,2,118,0,0
350,2,100,0,0
351,3,123,0,0
352,2,102,0,0
353,2,126,0,0
354,2,110,0,0
355,2,100,0,0
356,2,105,0,0
357,2,116,0,0
358,2,126,0,0
359,3,152,0,0
360,2,133,0,0
361,2,117,0,0
362,2,109,0,0
363,2,105,0,0
364,3,144,0,0
365,4,135,27,0
366,2,104,0,0
367,2,106,0,0
368,2,113,0,0
369,3,129,0,0
370,3,149,0,0
371,2,127,0,0
372,2,110,0,0
373,3,135,0,0
374,2,131,0,0
375,2,105,0,0
376,2,117,0,0
377,2,128,0,0
378,3,143,0,0
379,3,162,0,0
380,2,100,0,0
381,2,117,0,0
382,2,120,0,0
383,2,100,0,0
384,2,116,0,0
385,2,153,0,0
386,2,113,0,0
387,2,114,0,0
388,2,102,0,0
389,2,105,0,0
390,3,104,0,0
391,2,107,0,0
392,2,113,0,0
393,2,132,0,0
394,2,126,0,0
395,2,117,0,0
396,4,166,0,0
397,3,138,0,0
398,3,140,0,0
399,3,144,0,0
400,2,116,0,0
401,3,145,0,0
402,2,138,0,0
403,3,143,0,0
404,3,121,0,0
405,2,100,0,0
406,2,113,0,0
407,2,115,0,0
408,2,114,0,0
409,2,114,0,0
410,3,152,0,0
411,2,136,0,0
412,3,144,0,0
413,2,104,0,0
414,2,128,0,0
415,2,128,0,0
416,3,127,0,0
417,2,115,0,0
418,2,165,0,0
419,3,118,0,0
420,3,150,0,0
421,2,102,0,0
422,3,154,0,0
423,3,134,0,0
424,3,133,0,0
425,2,111,0,0
426,2,119,0,0
427,2,112,0,0
428,2,116,0,0
429,3,153,0,0
430,3,130,0,0
431,2,113,0,0
432,2,129,0,0
433,2,127,0,0
434,2,104,0,0
435,3,144,0,0
436,2,109,0,0
437,2,158,0,0
438,3,143,0,0
439,2,106,0,0
440,2,129,0,0
441,2,137,0,0
442,3,151,0,0
443,2,103,0,0
444,3,107,0,0
