Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,67,1,14,0,67,72,5
0,1,0,126,1,14,0,59,63,4
1,0,0,58,1,7,0,58,67,9
1,1,0,106,1,8,0,48,55,7
2,0,0,55,1,4,0,55,59,4
2,1,0,108,1,7,0,53,63,10
3,0,0,46,1,7,0,46,56,10
3,1,0,138,1,7,0,92,67,0
4,0,0,92,1,8,0,92,67,0
4,1,0,143,1,2,0,51,57,6
5,0,0,81,1,10,0,81,82,1
5,1,0,128,1,3,0,47,51,4
6,0,0,30,1,4,0,30,38,8
6,1,0,77,1,11,0,47,56,9
6,2,0,123,1,9,0,46,56,10
7,0,0,77,1,13,0,77,83,6
7,1,0,132,1,13,0,55,65,10
8,0,0,62,1,11,0,62,72,10
8,1,0,110,1,8,0,48,56,8
9,0,0,64,1,8,0,64,71,7
9,1,0,87,1,10,0,23,26,3
9,2,0,129,1,3,0,42,51,9
10,0,0,76,1,7,0,76,80,4
10,1,0,155,1,7,0,79,86,7
11,0,0,38,1,19,0,38,46,8
11,1,0,122,1,4,0,84,85,1
12,0,0,44,1,6,0,44,54,10
12,1,0,110,1,7,0,66,74,8
13,0,0,40,1,12,0,40,43,3
13,1,0,80,1,5,0,40,49,9
13,2,0,136,1,12,0,56,57,1
14,0,0,33,1,6,0,33,41,8
14,1,0,77,1,14,0,44,47,3
14,2,0,139,1,4,0,62,70,8
15,0,0,74,1,10,0,74,77,3
15,1,0,135,1,9,0,61,69,8
16,0,0,63,1,8,0,63,38,0
16,1,0,132,1,5,0,69,77,8
17,0,0,61,1,9,0,61,64,3
17,1,0,95,1,8,0,34,43,9
17,2,0,139,1,4,0,44,54,10
18,0,0,66,1,8,0,66,68,2
18,1,0,129,1,6,0,63,73,10
19,0,0,46,1,5,0,46,55,9
19,1,0,83,1,9,0,37,47,10
19,2,0,119,1,6,0,36,45,9
20,0,0,66,1,3,0,66,75,9
20,1,0,115,1,12,0,49,57,8
21,0,0,17,1,10,0,17,27,10
21,1,0,85,1,10,0,68,73,5
21,2,0,116,1,7,0,31,37,6
