Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,18.0,60.0,1.610377001993E9,0.0
0,0,1,23.0,49.0,0.0,0.0
0,0,2,32.0,49.0,0.0,0.0
0,0,3,62.0,49.0,0.0,0.001
0,0,4,33.0,49.0,0.0,0.0
0,0,5,61.0,49.0,0.0,0.0
0,0,6,66.0,46.0,0.0,0.0
0,0,7,65.0,41.0,0.0,0.0
0,0,8,70.0,38.0,0.0,0.0
0,0,9,77.0,28.0,0.0,0.0
0,0,10,64.0,17.0,0.0,0.0
0,0,11,64.0,17.0,0.0,0.0
0,0,12,62.0,17.0,0.0,0.0
0,0,13,61.0,17.0,0.0,0.001
0,0,14,72.0,5.0,0.0,0.0
0,1,0,29.0,72.0,0.0,0.0
0,1,1,29.0,71.0,0.0,0.0
0,1,2,45.0,71.0,0.0,0.0
0,1,3,45.0,64.0,0.0,0.0
0,1,4,44.0,36.0,0.0,0.0
0,1,5,38.0,35.0,0.0,0.0
0,1,6,68.0,35.0,0.001,0.0
0,1,7,62.0,31.0,0.0,0.0
0,1,8,59.0,31.0,0.0,0.0
0,1,9,38.0,31.0,0.0,0.0
0,1,10,38.0,21.0,0.0,0.0
0,1,11,62.0,15.0,0.0,0.0
0,1,12,56.0,17.0,0.0,0.0
0,1,13,63.0,17.0,0.0,0.0
0,1,14,63.0,4.0,0.0,0.0
1,0,0,41.0,30.0,1.610377001996E9,0.001
1,0,1,61.0,25.0,0.0,0.0
1,0,2,61.0,19.0,0.0,0.0
1,0,3,70.0,12.0,0.0,0.0
1,0,4,66.0,12.0,0.0,0.0
1,0,5,66.0,12.0,0.0,0.0
1,0,6,66.0,14.0,0.0,0.0
1,0,7,67.0,9.0,0.0,0.0
1,1,0,67.0,70.0,0.0,0.0
1,1,1,73.0,63.0,0.0,0.0
1,1,2,73.0,58.0,0.0,0.0
1,1,3,73.0,44.0,0.0,0.0
1,1,4,66.0,36.0,0.0,0.0
1,1,5,60.0,20.0,0.0,0.0
1,1,6,32.0,20.0,0.0,0.0
1,1,7,55.0,15.0,0.001,0.0
1,1,8,55.0,7.0,0.0,0.0
2,0,0,56.0,50.0,1.610377001999E9,0.0
2,0,1,80.0,49.0,0.0,0.0
2,0,2,87.0,42.0,0.0,0.0
2,0,3,87.0,27.0,0.0,0.0
2,0,4,59.0,4.0,0.0,0.0
2,1,0,54.0,38.0,0.0,0.001
2,1,1,54.0,38.0,0.0,0.0
2,1,2,54.0,38.0,0.0,0.0
2,1,3,54.0,38.0,0.0,0.0
2,1,4,53.0,25.0,0.0,0.0
2,1,5,51.0,22.0,0.0,0.0
2,1,6,63.0,17.0,0.0,0.0
2,1,7,63.0,10.0,0.0,0.0
3,0,0,48.0,60.0,1.610377002E9,0.001
3,0,1,56.0,52.0,0.0,0.0
3,0,2,53.0,50.0,0.0,0.0
3,0,3,54.0,23.0,0.0,0.0
3,0,4,56.0,22.0,0.0,0.0
3,0,5,51.0,15.0,0.0,0.0
3,0,6,55.0,16.0,0.0,0.0
3,0,7,56.0,10.0,0.0,0.0
3,1,0,59.0,54.0,0.0,0.0
3,1,1,62.0,58.0,0.0,0.001
3,1,2,69.0,49.0,0.0,0.0
3,1,3,70.0,35.0,0.0,0.0
3,1,4,70.0,35.0,0.0,0.0
3,1,5,73.0,25.0,0.0,0.0
3,1,6,67.0,20.0,0.0,0.0
3,1,7,67.0,0.0,0.0,0.0
4,0,0,48.0,42.0,1.610377002002E9,0.001
4,0,1,64.0,29.0,0.0,0.0
4,0,2,64.0,24.0,0.0,0.0
4,0,3,64.0,24.0,0.0,0.0
4,0,4,62.0,21.0,0.0,0.0
4,0,5,62.0,21.0,0.0,0.0
4,0,6,62.0,21.0,0.0,0.0
4,0,7,69.0,20.0,0.0,0.0
4,0,8,67.0,0.0,0.0,0.001
4,1,0,54.0,28.0,0.0,0.0
