Game,Rounds,P0 Score,P1 Score,Winner
0,2,0,126,1
1,2,0,106,1
2,2,0,108,1
3,2,0,138,1
4,2,0,143,1
5,2,0,128,1
6,3,0,123,1
7,2,0,132,1
8,2,0,110,1
9,3,0,129,1
10,2,0,155,1
11,2,0,122,1
12,2,0,110,1
13,3,0,136,1
14,3,0,139,1
15,2,0,135,1
16,2,0,132,1
17,3,0,139,1
18,2,0,129,1
19,3,0,119,1
20,2,0,115,1
21,3,0,116,1
22,2,0,106,1
23,2,0,146,1
24,2,0,100,1
25,3,0,156,1
26,2,0,130,1
27,2,0,102,1
28,2,0,120,1
29,3,0,164,1
30,2,0,148,1
31,2,0,100,1
32,3,0,125,1
33,3,0,128,1
34,2,0,110,1
35,3,0,149,1
36,2,0,141,1
37,3,0,125,1
38,2,0,130,1
39,2,0,104,1
40,3,0,141,1
41,3,0,109,1
42,2,0,111,1
43,3,0,136,1
44,3,0,139,1
45,2,0,112,1
46,3,0,116,1
47,2,0,120,1
48,2,0,118,1
49,2,0,145,1
50,2,0,120,1
51,2,0,127,1
52,3,0,156,1
53,2,0,114,1
54,3,0,126,1
55,3,0,149,1
56,2,0,118,1
57,2,0,143,1
58,2,0,111,1
59,2,0,126,1
60,2,0,108,1
61,3,0,102,1
62,2,0,122,1
63,2,0,143,1
64,2,0,115,1
65,2,0,127,1
66,3,0,154,1
67,2,0,102,1
68,2,0,124,1
69,3,0,149,1
70,2,0,101,1
71,2,0,119,1
72,2,0,119,1
73,2,0,126,1
74,2,0,117,1
75,3,0,136,1
76,2,0,111,1
77,2,0,104,1
78,4,0,109,1
79,3,0,105,1
80,3,0,143,1
81,3,37,108,1
82,2,0,102,1
83,2,0,104,1
84,2,0,119,1
85,3,39,105,1
86,2,0,143,1
87,2,0,116,1
88,3,0,121,1
89,2,0,113,1
90,4,0,134,1
91,3,0,148,1
92,2,0,125,1
93,2,0,112,1
94,2,0,130,1
95,3,0,109,1
96,3,0,107,1
97,3,0,124,1
98,2,0,103,1
99,2,0,135,1
100,3,0,152,1
101,2,0,140,1
102,2,0,103,1
103,3,0,147,1
104,2,0,149,1
105,3,0,156,1
106,2,0,102,1
107,2,0,117,1
108,3,0,136,1
109,2,0,113,1
110,2,0,123,1
111,3,0,109,1
112,2,0,117,1
113,3,0,117,1
114,2,0,134,1
115,2,0,105,1
116,2,0,169,1
117,2,0,109,1
118,3,0,135,1
119,3,0,138,1
120,3,0,133,1
121,2,0,137,1
122,2,0,141,1
123,3,0,147,1
124,2,0,117,1
125,3,0,146,1
126,3,0,129,1
127,3,0,146,1
128,2,0,100,1
129,2,0,128,1
130,2,0,124,1
131,3,0,143,1
132,2,0,126,1
133,2,0,145,1
134,2,0,101,1
135,2,0,102,1
136,3,0,142,1
137,3,0,139,1
138,3,0,153,1
139,3,0,132,1
140,3,0,127,1
141,2,0,133,1
142,3,0,130,1
143,4,0,116,1
144,3,0,140,1
145,3,0,110,1
146,2,0,102,1
147,2,0,100,1
148,2,0,129,1
149,2,0,108,1
150,2,0,107,1
151,2,0,109,1
152,2,0,117,1
153,3,0,127,1
154,2,0,112,1
155,2,0,130,1
156,2,0,134,1
157,2,0,119,1
158,2,0,158,1
159,3,0,141,1
160,2,0,124,1
161,2,0,104,1
162,3,0,123,1
163,2,0,123,1
164,2,0,130,1
165,2,0,113,1
166,2,0,105,1
167,2,0,125,1
168,2,0,103,1
169,4,25,177,1
170,2,0,129,1
171,3,0,120,1
172,3,0,144,1
173,3,0,117,1
174,4,2,160,1
175,3,0,133,1
176,3,0,107,1
177,3,0,162,1
178,2,0,152,1
179,2,0,133,1
180,3,0,158,1
181,2,0,122,1
182,2,0,102,1
183,2,0,101,1
184,3,0,123,1
185,2,0,113,1
186,2,0,145,1
187,2,0,116,1
188,2,0,125,1
189,3,0,161,1
190,4,68,142,1
191,2,0,101,1
192,3,0,135,1
193,2,0,126,1
194,2,0,101,1
195,3,0,162,1
196,2,0,115,1
197,3,0,123,1
198,3,0,125,1
199,3,0,135,1
200,3,0,114,1
201,2,0,117,1
202,3,0,163,1
203,4,0,154,1
204,3,0,126,1
205,2,0,120,1
206,2,0,110,1
207,3,0,151,1
208,3,0,163,1
209,3,0,153,1
210,2,0,132,1
211,3,0,108,1
212,3,0,112,1
213,2,0,109,1
214,3,0,163,1
215,2,0,117,1
216,2,0,122,1
217,2,0,109,1
218,2,0,144,1
219,2,0,126,1
220,2,0,138,1
221,3,0,107,1
222,2,0,109,1
223,3,0,141,1
224,3,0,134,1
225,3,0,153,1
226,2,0,123,1
227,4,0,149,1
228,2,0,106,1
229,2,0,111,1
230,2,0,105,1
231,5,0,147,1
232,2,0,119,1
233,3,0,120,1
234,2,0,121,1
235,2,0,116,1
236,2,0,106,1
237,2,0,107,1
238,2,0,101,1
239,3,0,166,1
240,2,0,126,1
241,3,0,146,1
242,2,0,112,1
243,2,0,110,1
244,3,0,133,1
245,2,0,108,1
246,3,0,150,1
247,2,0,122,1
248,2,0,111,1
249,3,0,134,1
250,2,0,107,1
251,2,0,120,1
252,3,0,110,1
253,2,0,145,1
254,3,0,150,1
255,2,0,127,1
256,2,0,153,1
257,3,0,144,1
258,3,0,118,1
259,3,0,119,1
260,3,0,131,1
261,2,0,103,1
262,2,0,136,1
263,3,0,130,1
264,3,0,156,1
265,2,0,132,1
266,2,0,133,1
267,2,0,112,1
268,2,0,136,1
269,3,0,153,1
270,2,0,122,1
271,3,0,119,1
272,2,0,100,1
273,2,0,124,1
274,3,0,135,1
275,2,0,123,1
276,2,0,114,1
277,2,0,117,1
278,3,0,113,1
279,2,0,121,1
280,3,0,162,1
281,2,0,120,1
282,2,0,110,1
283,3,0,156,1
284,3,0,157,1
285,2,0,104,1
286,2,0,128,1
287,2,0,152,1
288,2,0,103,1
289,2,0,101,1
290,2,0,113,1
291,2,0,122,1
292,2,0,138,1
293,2,0,123,1
294,2,0,115,1
295,3,0,149,1
296,3,0,134,1
297,2,0,126,1
298,2,0,123,1
299,3,0,143,1
300,3,0,150,1
301,2,0,118,1
302,2,0,125,1
303,2,0,143,1
304,3,0,146,1
305,2,0,136,1
306,2,0,103,1
307,3,0,151,1
308,3,0,115,1
309,2,0,114,1
310,2,0,163,1
311,2,0,131,1
312,2,0,140,1
313,3,0,118,1
314,3,0,166,1
315,3,0,148,1
316,3,0,139,1
317,2,0,106,1
318,2,0,131,1
319,2,0,100,1
320,2,0,136,1
321,3,0,143,1
322,3,0,139,1
323,3,0,149,1
324,3,0,151,1
325,3,0,143,1
326,3,0,122,1
327,2,0,106,1
328,2,0,101,1
329,3,0,106,1
330,2,0,129,1
331,2,0,110,1
332,3,0,147,1
333,2,0,109,1
334,3,0,140,1
335,1,0,101,1
336,2,0,128,1
337,2,0,114,1
338,2,0,111,1
339,2,0,111,1
340,2,0,122,1
341,2,0,106,1
342,3,0,143,1
343,2,0,112,1
344,3,0,164,1
345,3,0,132,1
346,4,61,124,1
347,2,0,115,1
348,3,0,157,1
349,2,0,122,1
350,3,0,165,1
351,2,0,117,1
352,4,0,139,1
353,2,0,101,1
354,3,0,123,1
355,2,0,133,1
356,2,0,122,1
357,3,0,126,1
358,3,0,132,1
359,2,0,117,1
360,2,0,120,1
361,2,0,104,1
362,3,0,139,1
363,2,0,114,1
364,3,0,143,1
365,3,0,123,1
366,3,0,123,1
367,2,0,103,1
368,2,0,104,1
369,2,0,118,1
370,3,0,119,1
371,2,0,139,1
372,2,0,101,1
373,2,0,116,1
374,3,0,111,1
375,2,0,114,1
376,3,0,132,1
377,3,0,131,1
378,2,0,117,1
379,2,0,133,1
380,3,0,139,1
381,3,0,133,1
382,3,0,151,1
383,3,0,166,1
384,3,0,141,1
385,3,0,147,1
386,2,0,142,1
387,2,0,146,1
388,2,0,136,1
389,2,0,101,1
390,2,0,109,1
391,2,0,140,1
392,2,0,124,1
393,4,0,134,1
394,2,0,117,1
395,3,0,128,1
396,4,0,153,1
397,2,0,100,1
398,3,0,142,1
399,2,0,146,1
400,2,0,119,1
401,2,0,122,1
402,2,0,138,1
403,2,0,133,1
404,3,0,135,1
405,3,0,143,1
406,3,0,154,1
407,3,12,114,1
408,2,0,121,1
409,2,0,117,1
410,3,0,128,1
411,2,0,119,1
412,2,0,122,1
413,2,0,116,1
414,2,0,131,1
