Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,66,0,0,13,66,0,9,75
0,1,129,0,0,3,63,0,10,73
1,0,62,0,0,10,62,0,8,70
1,1,110,0,0,9,48,0,7,55
2,0,37,0,0,8,37,0,4,41
2,1,65,0,0,6,28,0,9,37
2,2,127,0,0,2,62,0,8,70
3,0,47,0,0,13,47,0,8,55
3,1,95,0,0,9,48,0,10,58
3,2,150,0,0,6,55,0,10,65
4,0,65,0,0,9,65,0,9,74
4,1,102,0,0,4,37,0,10,47
5,0,28,0,0,10,28,0,10,38
5,1,70,0,0,13,42,0,10,52
5,2,88,0,0,6,18,0,7,25
5,3,133,0,0,10,45,0,8,53
6,0,68,0,0,8,68,0,6,74
6,1,109,0,0,9,41,0,9,50
7,0,65,0,0,7,65,0,8,73
7,1,113,0,0,10,48,0,8,56
8,0,39,0,0,4,39,0,10,49
8,1,76,0,0,5,37,0,8,45
8,2,133,0,0,4,57,0,10,67
9,0,60,0,0,7,60,0,3,63
9,1,109,0,0,6,49,0,1,50
10,0,28,0,0,14,28,0,10,38
10,1,111,0,0,10,83,0,9,92
11,0,67,0,0,11,67,0,10,77
11,1,110,0,0,10,43,0,9,52
12,0,45,0,0,8,45,0,9,54
12,1,73,0,0,7,28,0,10,38
12,2,116,0,0,9,43,0,8,51
13,0,44,0,0,10,44,0,10,54
13,1,85,0,0,13,41,0,8,49
13,2,105,0,0,19,20,0,10,30
14,0,40,0,0,14,40,0,8,48
14,1,113,0,0,11,73,0,2,75
15,0,50,0,0,12,50,0,8,58
15,1,86,0,0,10,36,0,6,42
15,2,125,0,0,6,39,0,9,48
16,0,62,0,0,13,62,0,6,68
16,1,124,0,0,9,62,0,3,65
17,0,45,0,0,0,45,0,6,51
17,1,87,0,0,6,42,0,1,43
17,2,157,0,0,13,70,0,7,77
18,0,51,0,0,3,51,0,8,59
18,1,108,0,0,1,57,0,10,67
19,0,34,0,0,8,34,0,9,43
19,1,80,0,0,13,46,0,4,50
19,2,113,0,0,5,33,0,8,41
20,0,58,0,0,16,58,0,3,61
20,1,150,0,0,9,92,0,0,67
21,0,47,0,0,7,47,0,10,57
21,1,93,0,0,6,46,0,8,54
21,2,148,0,0,11,55,0,10,65
22,0,32,0,0,5,32,0,10,42
22,1,78,0,0,4,46,0,10,56
22,2,133,0,0,4,55,0,10,65
23,0,31,0,0,5,31,0,9,40
23,1,92,0,0,6,61,0,10,71
23,2,162,0,0,9,70,0,2,72
24,0,38,0,0,5,38,0,10,48
24,1,94,0,0,9,56,0,10,66
24,2,137,0,0,8,43,0,10,53
25,0,40,0,0,5,40,0,7,47
25,1,66,0,0,10,26,0,3,29
25,2,72,0,0,4,6,0,8,14
25,3,128,0,0,5,56,0,9,65
26,0,49,0,0,7,49,0,8,57
26,1,111,0,0,3,62,0,10,72
27,0,31,0,0,10,31,0,9,40
27,1,92,0,0,5,61,0,7,68
27,2,159,0,0,6,67,0,10,77
28,0,57,0,0,3,57,0,9,66
28,1,103,0,0,10,46,0,9,55
29,0,32,0,0,11,32,0,3,35
29,1,99,0,0,5,67,0,9,76
29,2,172,0,0,10,73,0,4,77
30,0,46,0,0,12,46,0,6,52
30,1,107,0,0,13,61,0,7,68
31,0,68,0,0,5,68,0,8,76
31,1,111,0,0,8,43,0,9,52
32,0,56,0,0,12,56,0,6,62
32,1,89,0,0,7,33,0,10,43
32,2,165,0,0,10,76,0,2,78
33,0,68,0,0,6,68,0,8,76
33,1,129,0,0,4,61,0,8,69
34,0,59,0,0,6,59,0,9,68
34,1,84,0,0,7,25,0,6,31
34,2,137,0,0,2,53,0,10,63
35,0,61,0,0,8,61,0,8,69
35,1,118,0,0,6,57,0,9,66
36,0,54,0,0,3,54,0,10,64
36,1,117,0,0,5,63,0,1,64
37,0,18,0,0,8,18,0,10,28
37,1,50,0,0,10,32,0,10,42
37,2,124,0,0,7,74,0,8,82
38,0,49,0,0,6,49,0,1,50
38,1,109,0,0,11,60,0,7,67
39,0,43,0,0,10,43,0,9,52
39,1,99,0,0,10,56,0,8,64
39,2,165,0,0,11,66,0,1,67
40,0,12,0,0,7,12,0,10,22
40,1,49,0,0,7,37,0,9,46
40,2,116,0,0,9,67,0,9,76
41,0,64,0,0,5,64,0,9,73
41,1,127,0,0,1,63,0,10,73
42,0,57,0,0,4,57,0,1,58
42,1,127,0,0,8,70,0,3,73
43,0,60,0,0,3,60,0,9,69
43,1,123,0,0,7,63,0,4,67
44,0,28,0,0,7,28,0,1,29
44,1,111,0,0,7,83,0,4,87
45,0,62,0,0,13,62,0,9,71
45,1,125,0,0,4,63,0,10,73
46,0,77,0,0,7,77,0,2,79
46,1,121,0,0,5,44,0,8,52
47,0,67,0,0,9,67,0,2,69
47,1,106,0,0,17,39,0,3,42
48,0,58,0,0,4,58,0,9,67
48,1,107,0,0,10,49,0,4,53
49,0,39,0,0,6,39,0,8,47
49,1,98,0,0,11,59,0,10,69
49,2,163,0,0,7,65,0,10,75
50,0,54,0,0,11,54,0,8,62
50,1,103,0,0,14,49,0,7,56
51,0,57,0,0,9,57,0,5,62
51,1,104,0,0,6,47,0,8,55
52,0,38,0,0,9,38,0,1,39
52,1,98,0,0,7,60,0,9,69
52,2,154,0,0,10,56,0,1,57
53,0,53,0,0,10,53,0,9,62
53,1,83,0,0,10,30,0,8,38
53,2,140,0,0,13,57,0,7,64
54,0,18,0,0,4,18,0,3,21
54,1,75,0,0,2,57,0,7,64
54,2,116,0,0,10,41,0,9,50
55,0,72,0,0,2,72,0,1,73
55,1,97,0,0,15,25,0,4,29
55,2,169,0,0,4,72,0,5,77
56,0,31,0,0,7,31,0,8,39
56,1,109,0,0,5,78,0,2,80
57,0,24,0,0,5,24,0,8,32
57,1,88,0,0,10,64,0,6,70
57,2,129,0,0,9,41,0,8,49
58,0,52,0,0,3,52,0,10,62
58,1,113,0,0,10,61,0,8,69
59,0,43,0,0,3,43,0,2,45
59,1,109,0,0,6,66,0,4,70
60,0,34,0,0,17,34,0,6,40
60,1,77,0,0,4,43,0,5,48
60,2,113,0,0,3,36,0,8,44
61,0,62,0,0,4,62,0,8,70
61,1,121,0,0,8,59,0,7,66
62,0,25,0,0,7,25,0,6,31
62,1,39,0,0,7,14,0,9,23
62,2,76,0,0,11,37,0,4,41
62,3,107,0,0,11,31,0,10,41
63,0,64,0,0,5,64,0,9,73
63,1,129,0,0,11,65,0,8,73
64,0,24,0,0,3,24,0,10,34
64,1,105,0,0,5,81,0,0,56
65,0,48,0,0,18,48,0,4,52
65,1,85,0,0,5,37,0,1,38
65,2,119,0,0,12,34,0,6,40
66,0,51,0,0,16,51,0,3,54
66,1,116,0,0,8,65,0,6,71
