Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,52.0,24.0,1.610376999909E9,0.001
0,0,1,46.0,35.0,0.001,0.001
0,0,2,38.0,42.0,0.001,0.0
0,0,3,32.0,60.0,0.001,0.0
0,0,4,32.0,38.0,0.001,0.001
0,0,5,26.0,41.0,0.0,0.001
0,0,6,23.0,49.0,0.0,0.001
0,0,7,12.0,51.0,0.0,0.001
0,0,8,13.0,54.0,0.001,0.0
0,0,9,13.0,56.0,0.001,0.0
0,0,10,13.0,49.0,0.001,0.0
0,0,11,13.0,75.0,0.001,0.0
0,0,12,13.0,75.0,0.001,0.0
0,0,13,9.0,75.0,0.0,0.0
0,1,0,20.0,58.0,0.001,0.0
0,1,1,17.0,59.0,0.0,0.0
0,1,2,13.0,73.0,0.0,0.001
0,1,3,10.0,73.0,0.0,0.0
1,0,0,65.0,32.0,1.610376999929E9,0.0
1,0,1,65.0,53.0,0.001,0.0
1,0,2,61.0,53.0,0.001,0.0
1,0,3,61.0,56.0,0.0,0.001
1,0,4,38.0,55.0,0.0,0.0
1,0,5,38.0,55.0,0.0,0.0
1,0,6,31.0,46.0,0.001,0.0
1,0,7,31.0,67.0,0.0,0.0
1,0,8,29.0,65.0,0.001,0.0
1,0,9,11.0,70.0,0.001,0.0
1,0,10,8.0,70.0,0.0,0.001
1,1,0,45.0,40.0,0.0,0.0
1,1,1,45.0,40.0,0.001,0.0
1,1,2,39.0,40.0,0.0,0.0
1,1,3,31.0,42.0,0.001,0.0
1,1,4,24.0,54.0,0.001,0.0
1,1,5,22.0,48.0,0.001,0.0
1,1,6,22.0,45.0,0.0,0.0
1,1,7,18.0,49.0,0.001,0.0
1,1,8,19.0,49.0,0.0,0.0
1,1,9,7.0,55.0,0.0,0.0
2,0,0,67.0,65.0,1.610376999943E9,0.0
2,0,1,37.0,65.0,0.001,0.0
2,0,2,34.0,65.0,0.0,0.0
2,0,3,26.0,58.0,0.001,0.0
2,0,4,24.0,53.0,0.001,0.0
2,0,5,19.0,36.0,0.0,0.0
2,0,6,19.0,39.0,0.001,0.0
2,0,7,15.0,41.0,0.001,0.0
2,0,8,4.0,41.0,0.001,0.0
2,1,0,57.0,80.0,0.0,0.0
2,1,1,59.0,82.0,0.001,0.0
2,1,2,54.0,77.0,0.001,0.0
2,1,3,53.0,77.0,0.0,0.0
2,1,4,30.0,71.0,0.001,0.0
2,1,5,14.0,47.0,0.0,0.0
2,1,6,9.0,37.0,0.0,0.0
2,2,0,23.0,72.0,0.001,0.0
2,2,1,14.0,70.0,0.0,0.0
2,2,2,8.0,70.0,0.0,0.0
3,0,0,58.0,67.0,1.610376999956E9,0.0
3,0,1,58.0,67.0,0.001,0.0
3,0,2,58.0,67.0,0.001,0.0
3,0,3,51.0,68.0,0.0,0.0
3,0,4,51.0,68.0,0.001,0.0
3,0,5,51.0,67.0,0.001,0.0
3,0,6,51.0,59.0,0.0,0.0
3,0,7,33.0,59.0,0.001,0.0
3,0,8,33.0,55.0,0.001,0.0
3,0,9,25.0,39.0,0.0,0.001
3,0,10,25.0,55.0,0.001,0.0
3,0,11,16.0,55.0,0.001,0.0
3,0,12,13.0,55.0,0.002,0.0
3,0,13,8.0,55.0,0.001,0.0
3,1,0,54.0,79.0,0.001,0.0
3,1,1,52.0,59.0,0.002,0.0
3,1,2,51.0,59.0,0.001,0.0
3,1,3,47.0,81.0,0.001,0.0
3,1,4,42.0,74.0,0.001,0.0
3,1,5,30.0,81.0,0.001,0.0
3,1,6,30.0,76.0,0.001,0.0
3,1,7,14.0,81.0,0.002,0.0
3,1,8,14.0,81.0,0.001,0.0
3,1,9,10.0,58.0,0.0,0.0
3,2,0,34.0,63.0,0.001,0.0
3,2,1,33.0,62.0,0.0,0.0
3,2,2,26.0,67.0,0.001,0.0
3,2,3,21.0,63.0,0.0,0.0
3,2,4,20.0,72.0,0.001,0.0
3,2,5,12.0,65.0,0.0,0.0
3,2,6,10.0,65.0,0.0,0.0
4,0,0,68.0,64.0,1.610376999986E9,0.0
4,0,1,61.0,64.0,0.0,0.0
4,0,2,32.0,64.0,0.001,0.0
4,0,3,32.0,64.0,0.0,0.0
4,0,4,31.0,45.0,0.001,0.0
4,0,5,31.0,48.0,0.0,0.0
4,0,6,25.0,48.0,0.001,0.0
4,0,7,11.0,68.0,0.0,0.0
4,0,8,11.0,74.0,0.001,0.0
4,0,9,9.0,74.0,0.0,0.0
4,1,0,29.0,69.0,0.001,0.0
4,1,1,27.0,67.0,0.0,0.0
4,1,2,32.0,37.0,0.001,0.0
4,1,3,24.0,40.0,0.0,0.0
4,1,4,10.0,47.0,0.0,0.0
5,0,0,17.0,41.0,1.610376999995E9,0.0
5,0,1,13.0,51.0,0.001,0.0
5,0,2,13.0,77.0,0.0,0.0
5,0,3,13.0,69.0,0.001,0.0
5,0,4,13.0,31.0,0.0,0.0
5,0,5,14.0,33.0,0.001,0.0
5,0,6,14.0,39.0,0.0,0.0
5,0,7,12.0,39.0,0.001,0.0
5,0,8,13.0,33.0,0.001,0.0
5,0,9,13.0,38.0,0.0,0.0
5,0,10,10.0,38.0,0.0,0.0
5,1,0,72.0,50.0,0.001,0.0
5,1,1,64.0,64.0,0.001,0.0
5,1,2,61.0,62.0,0.001,0.0
5,1,3,58.0,66.0,0.001,0.0
5,1,4,53.0,58.0,0.001,0.0
5,1,5,52.0,53.0,0.0,0.0
5,1,6,43.0,53.0,0.001,0.0
5,1,7,38.0,59.0,0.001,0.0
5,1,8,38.0,58.0,0.001,0.0
5,1,9,26.0,52.0,0.0,0.0
5,1,10,12.0,52.0,0.001,0.0
5,1,11,12.0,49.0,0.001,0.0
5,1,12,12.0,49.0,0.0,0.0
5,1,13,10.0,52.0,0.0,0.0
5,2,0,38.0,73.0,0.001,0.0
5,2,1,28.0,55.0,0.001,0.0
5,2,2,21.0,55.0,0.0,0.0
5,2,3,19.0,26.0,0.001,0.0
5,2,4,19.0,20.0,0.0,0.0
5,2,5,11.0,25.0,0.001,0.0
5,2,6,7.0,25.0,0.0,0.0
5,3,0,58.0,64.0,0.0,0.001
5,3,1,57.0,64.0,0.0,0.0
5,3,2,56.0,66.0,0.001,0.0
5,3,3,51.0,65.0,0.0,0.0
5,3,4,47.0,74.0,0.001,0.0
5,3,5,47.0,73.0,0.0,0.0
5,3,6,39.0,49.0,0.0,0.0
5,3,7,33.0,50.0,0.0,0.001
5,3,8,26.0,55.0,0.001,0.0
5,3,9,20.0,53.0,0.0,0.0
5,3,10,8.0,53.0,0.0,0.0
6,0,0,59.0,75.0,1.610377000022E9,0.0
6,0,1,51.0,75.0,0.001,0.0
6,0,2,46.0,75.0,0.001,0.0
6,0,3,26.0,81.0,0.0,0.0
6,0,4,12.0,77.0,0.001,0.0
6,0,5,12.0,72.0,0.0,0.0
6,0,6,12.0,65.0,0.001,0.0
6,0,7,12.0,74.0,0.001,0.0
6,0,8,6.0,74.0,0.0,0.0
6,1,0,54.0,54.0,0.001,0.0
6,1,1,53.0,51.0,0.0,0.0
6,1,2,54.0,52.0,0.001,0.0
6,1,3,43.0,52.0,0.0,0.0
6,1,4,39.0,68.0,0.001,0.0
6,1,5,33.0,74.0,0.0,0.0
6,1,6,30.0,73.0,0.0,0.0
6,1,7,30.0,57.0,0.001,0.0
6,1,8,30.0,58.0,0.0,0.0
6,1,9,9.0,50.0,0.0,0.001
7,0,0,33.0,63.0,1.610377000033E9,0.0
7,0,1,27.0,63.0,0.001,0.0
7,0,2,27.0,71.0,0.0,0.0
7,0,3,13.0,71.0,0.001,0.0
7,0,4,13.0,72.0,0.0,0.0
7,0,5,13.0,69.0,0.001,0.0
7,0,6,13.0,73.0,0.0,0.0
7,0,7,8.0,73.0,0.0,0.0
7,1,0,60.0,28.0,0.001,0.0
7,1,1,59.0,28.0,0.0,0.0
7,1,2,59.0,25.0,0.001,0.0
7,1,3,53.0,43.0,0.0,0.0
7,1,4,50.0,47.0,0.001,0.0
7,1,5,46.0,43.0,0.0,0.0
7,1,6,46.0,51.0,0.0,0.0
7,1,7,46.0,51.0,0.001,0.0
7,1,8,26.0,54.0,0.0,0.0
7,1,9,22.0,55.0,0.001,0.0
7,1,10,8.0,56.0,0.0,0.0
8,0,0,25.0,71.0,1.610377000044E9,0.0
8,0,1,19.0,62.0,0.0,0.001
