Game,Rounds,P0 Score,P1 Score,Winner
0,2,129,0,0
1,2,110,0,0
2,3,127,0,0
3,3,150,0,0
4,2,102,0,0
5,4,133,0,0
6,2,109,0,0
7,2,113,0,0
8,3,133,0,0
9,2,109,0,0
10,2,111,0,0
11,2,110,0,0
12,3,116,0,0
13,3,105,0,0
14,2,113,0,0
15,3,125,0,0
16,2,124,0,0
17,3,157,0,0
18,2,108,0,0
19,3,113,0,0
20,2,150,0,0
21,3,148,0,0
22,3,133,0,0
23,3,162,0,0
24,3,137,0,0
25,4,128,0,0
26,2,111,0,0
27,3,159,0,0
28,2,103,0,0
29,3,172,0,0
30,2,107,0,0
31,2,111,0,0
32,3,165,0,0
33,2,129,0,0
34,3,137,0,0
35,2,118,0,0
36,2,117,0,0
37,3,124,0,0
38,2,109,0,0
39,3,165,0,0
40,3,116,0,0
41,2,127,0,0
42,2,127,0,0
43,2,123,0,0
44,2,111,0,0
45,2,125,0,0
46,2,121,0,0
47,2,106,0,0
48,2,107,0,0
49,3,163,0,0
50,2,103,0,0
51,2,104,0,0
52,3,154,0,0
53,3,140,0,0
54,3,116,0,0
55,3,169,0,0
56,2,109,0,0
57,3,129,0,0
58,2,113,0,0
59,2,109,0,0
60,3,113,0,0
61,2,121,0,0
62,4,107,0,0
63,2,129,0,0
64,2,105,0,0
65,3,119,0,0
66,2,116,0,0
67,3,115,0,0
68,3,164,0,0
69,2,130,0,0
70,2,107,0,0
71,2,108,0,0
72,2,131,0,0
73,3,152,0,0
74,2,136,0,0
75,2,131,0,0
76,3,136,0,0
77,2,123,0,0
78,2,112,0,0
79,2,142,0,0
80,2,113,0,0
81,2,141,0,0
82,2,117,0,0
83,3,128,0,0
84,2,137,0,0
85,2,110,0,0
86,4,151,0,0
87,3,146,0,0
88,3,142,0,0
89,2,101,0,0
90,2,129,0,0
91,3,151,0,0
92,3,118,0,0
93,2,106,0,0
94,2,128,0,0
95,3,147,0,0
96,3,141,0,0
97,2,122,0,0
98,2,103,0,0
99,3,127,0,0
100,2,108,0,0
101,2,106,0,0
102,2,103,0,0
103,2,102,0,0
104,3,103,0,0
105,2,107,0,0
106,3,110,0,0
107,2,116,0,0
108,3,148,41,0
109,3,154,0,0
110,2,107,0,0
111,3,128,0,0
112,3,112,0,0
113,2,107,0,0
114,2,106,0,0
115,3,147,0,0
116,2,114,0,0
117,2,101,0,0
118,2,125,0,0
119,2,117,0,0
120,3,131,0,0
121,3,127,0,0
122,3,159,0,0
123,2,109,0,0
124,2,125,0,0
125,2,122,0,0
126,2,119,0,0
127,2,103,0,0
128,2,117,0,0
129,3,119,0,0
130,2,115,0,0
