Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,58.0,28.0,0.9169885,1.66E-4
0,0,1,49.0,28.0,0.6281723,1.813E-4
0,0,2,23.0,28.0,1.0897607,1.213E-4
0,0,3,23.0,27.0,1.0193399,1.198E-4
0,0,4,23.0,24.0,0.6277042,1.211E-4
0,0,5,23.0,24.0,1.21943,1.359E-4
0,0,6,13.0,22.0,0.5900924,2.535E-4
0,0,7,13.0,22.0,0.2489515,2.357E-4
0,0,8,8.0,0.0,0.4044775,0.0
0,1,0,47.0,47.0,0.6984988,1.306E-4
0,1,1,37.0,17.0,1.4709129,1.638E-4
0,1,2,36.0,13.0,1.0536586,1.562E-4
0,1,3,35.0,13.0,1.0711736,1.646E-4
0,1,4,32.0,13.0,1.0378668,2.213E-4
0,1,5,28.0,11.0,38.7253687,2.08E-4
0,1,6,28.0,11.0,0.9878428,1.963E-4
0,1,7,0.0,3.0,0.0,2.917E-4
0,2,0,69.0,20.0,0.5083718,1.241E-4
0,2,1,64.0,8.0,22.1015025,2.064E-4
0,3,0,69.0,33.0,22.4668277,1.493E-4
0,3,1,40.0,25.0,0.6216536,1.727E-4
0,3,2,36.0,21.0,47.7258435,1.656E-4
0,3,3,29.0,21.0,0.086647,1.787E-4
0,3,4,0.0,6.0,0.0,2.073E-4
1,0,0,56.0,58.0,0.6205312,1.208E-4
1,0,1,53.0,51.0,0.8907762,9.75E-5
1,0,2,52.0,51.0,0.5885008,1.075E-4
1,0,3,51.0,25.0,1.1581459,1.068E-4
1,0,4,28.0,18.0,0.6245368,1.451E-4
1,0,5,28.0,18.0,0.6549763,1.325E-4
1,0,6,28.0,10.0,2.1418105,1.733E-4
1,1,0,56.0,61.0,23.6211879,1.521E-4
1,1,1,50.0,42.0,1.0469735,1.201E-4
1,1,2,50.0,41.0,0.7585311,1.381E-4
1,1,3,42.0,36.0,90.3664608,1.347E-4
1,1,4,40.0,12.0,0.6759871,1.698E-4
1,1,5,39.0,12.0,86.947386,1.74E-4
1,1,6,0.0,9.0,0.0,2.53E-4
1,2,0,33.0,68.0,0.8610479,1.059E-4
1,2,1,27.0,65.0,20.3486412,1.716E-4
1,2,2,27.0,65.0,1.3459057,1.836E-4
1,2,3,9.0,0.0,0.8208937,0.0
1,3,0,74.0,72.0,0.6317359,1.564E-4
1,3,1,45.0,72.0,0.5693453,9.1E-5
1,3,2,37.0,42.0,26.4541273,1.061E-4
1,3,3,36.0,42.0,0.6384353,1.061E-4
1,3,4,36.0,41.0,0.5438924,1.11E-4
1,3,5,31.0,40.0,0.5583406,1.083E-4
1,3,6,12.0,17.0,0.5756389,1.453E-4
1,3,7,2.0,16.0,0.0201308,1.493E-4
1,4,0,46.0,31.0,0.6275957,1.012E-4
1,4,1,46.0,31.0,0.6510545,1.082E-4
1,4,2,32.0,31.0,2.0100083,1.912E-4
1,4,3,31.0,26.0,0.7898236,1.037E-4
1,4,4,30.0,23.0,1.259353,1.088E-4
1,4,5,9.0,0.0,1.0154982,0.0
1,5,0,60.0,45.0,23.7757673,1.367E-4
1,5,1,56.0,45.0,0.6682018,1.12E-4
1,5,2,52.0,40.0,23.4017957,1.023E-4
1,5,3,52.0,39.0,0.6851386,1.237E-4
1,5,4,29.0,31.0,0.6190701,1.158E-4
1,5,5,29.0,30.0,0.929494,1.302E-4
1,5,6,12.0,30.0,1.7172937,1.236E-4
1,5,7,11.0,27.0,1.4414812,1.305E-4
1,5,8,7.0,11.0,4.486E-4,1.547E-4
1,6,0,66.0,37.0,0.5441451,1.169E-4
1,6,1,61.0,30.0,0.4815517,1.131E-4
1,6,2,56.0,25.0,0.4887497,1.036E-4
1,6,3,54.0,25.0,0.4776308,1.047E-4
1,6,4,54.0,12.0,0.4887942,1.251E-4
1,6,5,54.0,12.0,0.7836097,2.259E-4
1,6,6,53.0,6.0,0.5438191,1.785E-4
1,7,0,53.0,34.0,0.5603442,1.144E-4
1,7,1,28.0,34.0,0.6111955,1.058E-4
1,7,2,28.0,34.0,0.9253734,1.041E-4
1,7,3,28.0,34.0,0.5355311,1.043E-4
1,7,4,9.0,16.0,1.3339646,1.684E-4
1,8,0,56.0,61.0,0.5922126,9.13E-5
1,8,1,55.0,31.0,0.6457266,1.078E-4
1,8,2,36.0,21.0,23.2812388,1.465E-4
1,8,3,28.0,21.0,0.7208165,1.198E-4
1,8,4,22.0,19.0,0.7354887,1.406E-4
1,8,5,22.0,19.0,0.7249434,1.169E-4
