Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,14,0,0,9,14,0,8,22
0,1,14,25,1,8,0,25,28,3
0,2,14,81,1,2,0,56,64,8
0,3,14,104,1,5,0,23,29,6
1,0,0,18,1,7,0,18,28,10
1,1,0,48,1,7,0,30,39,9
1,2,56,48,0,4,56,0,9,65
1,3,70,48,0,8,14,0,2,16
1,4,84,48,0,6,14,0,9,23
1,5,88,48,0,9,4,0,7,11
1,6,88,95,1,7,0,47,53,6
1,7,95,95,0,5,7,0,9,16
1,8,108,95,0,9,13,0,6,19
2,0,0,5,1,4,0,5,15,10
2,1,0,11,1,8,0,6,15,9
2,2,5,11,0,6,5,0,8,13
2,3,12,11,0,9,7,0,8,15
2,4,12,17,1,10,0,6,14,8
2,5,12,22,1,5,0,5,12,7
2,6,12,34,1,4,0,12,20,8
2,7,12,48,1,7,0,14,23,9
2,8,29,48,0,8,17,0,7,24
2,9,29,55,1,5,0,7,17,10
2,10,49,55,0,10,20,0,8,28
2,11,66,55,0,5,17,0,5,22
2,12,66,110,1,6,0,55,30,0
3,0,0,11,1,8,0,11,18,7
3,1,17,11,0,13,17,0,4,21
3,2,62,11,0,1,45,0,9,54
3,3,74,11,0,9,12,0,10,22
3,4,74,15,1,12,0,4,14,10
3,5,74,17,1,7,0,2,11,9
3,6,94,17,0,7,20,0,2,22
3,7,102,17,0,4,8,0,9,17
4,0,0,12,1,7,0,12,15,3
4,1,4,12,0,3,4,0,7,11
4,2,20,12,0,6,16,0,10,26
4,3,36,12,0,6,16,0,2,18
4,4,61,12,0,5,25,0,8,33
4,5,109,12,0,4,48,0,10,58
5,0,11,0,0,8,11,0,4,15
5,1,11,17,1,6,0,17,25,8
5,2,57,17,0,4,46,0,10,56
5,3,57,25,1,13,0,8,13,5
5,4,73,25,0,8,16,0,2,18
5,5,99,25,0,4,26,0,4,30
5,6,124,25,0,7,25,0,8,33
6,0,21,0,0,6,21,0,5,26
6,1,21,20,1,4,0,20,28,8
6,2,70,20,0,5,49,0,1,50
6,3,85,20,0,4,15,0,9,24
6,4,92,20,0,5,7,0,10,17
6,5,112,20,0,9,20,0,9,29
7,0,22,0,0,4,22,0,3,25
7,1,25,0,0,7,3,0,8,11
7,2,31,0,0,10,6,0,10,16
7,3,57,0,0,3,26,0,7,33
7,4,57,3,1,9,0,3,11,8
7,5,81,3,0,4,24,0,3,27
7,6,99,3,0,9,18,0,9,27
7,7,102,3,0,11,3,0,9,12
8,0,8,0,0,7,8,0,9,17
8,1,8,30,1,6,0,30,39,9
8,2,37,30,0,4,29,0,8,37
8,3,37,40,1,7,0,10,18,8
8,4,37,62,1,5,0,22,29,7
8,5,37,118,1,5,0,56,59,3
9,0,12,0,0,7,12,0,7,19
9,1,32,0,0,8,20,0,10,30
9,2,50,0,0,4,18,0,6,24
