Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,58.0,28.0,7.51E-5,0.5492697
0,0,1,49.0,28.0,7.57E-5,1.0056317
0,0,2,23.0,28.0,7.66E-5,23.1810711
0,0,3,23.0,28.0,8.07E-5,1.2934875
0,0,4,11.0,10.0,1.06E-4,0.7108736
0,1,0,47.0,47.0,7.2E-5,0.5319772
0,1,1,37.0,17.0,9.51E-5,0.9964913
0,1,2,36.0,13.0,1.014E-4,0.756455
0,1,3,35.0,13.0,1.033E-4,0.7410403
0,1,4,32.0,13.0,1.03E-4,0.9874575
0,1,5,28.0,11.0,1.039E-4,1.0812229
0,1,6,28.0,11.0,1.024E-4,0.0434951
0,1,7,0.0,3.0,0.0,0.178313
0,2,0,69.0,20.0,9.06E-5,0.6953874
0,2,1,66.0,19.0,8.43E-5,0.8578814
0,2,2,62.0,8.0,8.73E-5,1.31457
0,3,0,69.0,33.0,9.72E-5,0.5659765
0,3,1,40.0,25.0,8.58E-5,0.8074355
0,3,2,36.0,21.0,8.8E-5,1.4280271
0,3,3,34.0,21.0,8.64E-5,0.5961723
0,3,4,32.0,17.0,8.81E-5,0.6343668
0,3,5,0.0,2.0,0.0,0.9769868
1,0,0,56.0,58.0,7.67E-5,0.5433187
1,0,1,53.0,51.0,6.61E-5,0.573396
1,0,2,52.0,51.0,1.006E-4,0.5238021
1,0,3,51.0,25.0,6.6E-5,0.5300177
1,0,4,28.0,18.0,7.9E-5,1.1509229
1,0,5,28.0,18.0,1.379E-4,1.1860169
1,0,6,28.0,10.0,8.93E-5,1.1691144
1,1,0,56.0,61.0,6.4E-5,0.5715989
1,1,1,50.0,42.0,7.76E-5,66.6532305
1,1,2,50.0,41.0,7.15E-5,0.7721934
1,1,3,42.0,36.0,7.06E-5,22.1616196
1,1,4,40.0,12.0,8.72E-5,1.2628885
1,1,5,39.0,12.0,9.27E-5,0.7025732
1,1,6,0.0,9.0,0.0,4.818252
1,2,0,33.0,68.0,8.88E-5,19.8762561
1,2,1,27.0,65.0,8.07E-5,0.6163463
1,2,2,27.0,65.0,7.9E-5,0.6217857
1,2,3,9.0,0.0,1.071E-4,0.0
1,3,0,74.0,78.0,6.55E-5,0.5322747
1,3,1,45.0,78.0,7.62E-5,17.7905189
1,3,2,37.0,48.0,7.69E-5,0.6110945
1,3,3,36.0,48.0,8.01E-5,0.6244082
1,3,4,21.0,47.0,9.81E-5,0.5667031
1,3,5,17.0,40.0,1.128E-4,0.5683493
