Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,1,1,5,0,1,11,10
0,1,0,26,1,8,0,25,28,3
0,2,0,80,1,3,0,54,62,8
0,3,0,110,1,6,0,30,32,2
1,0,0,18,1,7,0,18,28,10
1,1,0,48,1,7,0,30,39,9
1,2,56,48,0,4,56,0,9,65
1,3,56,63,1,11,0,15,16,1
1,4,70,63,0,12,14,0,6,20
1,5,74,63,0,9,4,0,7,11
1,6,87,63,0,10,13,0,9,22
1,7,94,63,0,5,7,0,9,16
1,8,94,89,1,4,0,26,36,10
1,9,96,89,0,7,2,0,9,11
1,10,96,103,1,6,0,14,21,7
2,0,0,7,1,2,0,7,17,10
2,1,0,28,1,7,0,21,30,9
2,2,0,32,1,9,0,4,13,9
2,3,7,32,0,9,7,0,8,15
2,4,29,32,0,8,22,0,8,30
2,5,29,37,1,5,0,5,12,7
2,6,56,37,0,5,27,0,1,28
2,7,56,51,1,7,0,14,23,9
2,8,78,51,0,7,22,0,8,30
2,9,78,65,1,4,0,14,23,9
2,10,102,65,0,7,24,0,7,31
3,0,0,11,1,8,0,11,18,7
3,1,0,15,1,12,0,4,12,8
3,2,45,15,0,1,45,0,9,54
3,3,62,15,0,9,17,0,10,27
3,4,62,33,1,8,0,18,28,10
3,5,97,33,0,5,35,0,5,40
3,6,116,33,0,6,19,0,8,27
4,0,0,1,1,6,0,1,11,10
4,1,4,1,0,3,4,0,7,11
4,2,20,1,0,6,16,0,10,26
4,3,26,1,0,7,6,0,8,14
4,4,51,1,0,5,25,0,8,33
4,5,78,1,0,8,27,0,3,30
4,6,78,12,1,8,0,11,21,10
4,7,94,12,0,6,16,0,4,20
4,8,113,12,0,5,19,0,10,29
5,0,0,8,1,5,0,8,16,8
5,1,0,25,1,6,0,17,25,8
5,2,5,25,0,8,5,0,6,11
5,3,5,33,1,13,0,8,13,5
5,4,21,33,0,8,16,0,2,18
5,5,21,38,1,9,0,5,15,10
5,6,54,38,0,5,33,0,9,42
5,7,102,38,0,4,48,0,6,54
6,0,21,0,0,6,21,0,5,26
6,1,21,20,1,4,0,20,28,8
6,2,32,20,0,12,11,0,9,20
6,3,47,20,0,4,15,0,9,24
6,4,54,20,0,5,7,0,10,17
6,5,97,20,0,8,43,0,2,45
6,6,103,20,0,7,6,0,10,16
7,0,0,6,1,7,0,6,14,8
7,1,23,6,0,9,23,0,2,25
7,2,39,6,0,9,16,0,9,25
7,3,65,6,0,3,26,0,7,33
7,4,71,6,0,9,6,0,8,14
7,5,95,6,0,6,24,0,3,27
7,6,113,6,0,9,18,0,9,27
8,0,13,0,0,8,13,0,3,16
8,1,13,10,1,6,0,10,13,3
8,2,42,10,0,4,29,0,8,37
8,3,44,10,0,10,2,0,9,11
8,4,49,10,0,8,5,0,6,11
8,5,49,28,1,7,0,18,27,9
8,6,53,28,0,8,4,0,9,13
8,7,53,53,1,4,0,25,30,5
8,8,53,59,1,9,0,6,14,8
8,9,87,59,0,5,34,0,4,38
8,10,87,63,1,5,0,4,12,8
8,11,87,90,1,7,0,27,35,8
8,12,91,90,0,5,4,0,8,12
8,13,122,90,0,2,31,0,10,41
9,0,12,0,0,7,12,0,7,19
9,1,30,0,0,7,18,0,5,23
9,2,48,0,0,4,18,0,6,24
9,3,48,9,1,12,0,9,11,2
9,4,48,23,1,10,0,14,15,1
9,5,60,23,0,10,12,0,1,13
9,6,60,56,1,5,0,33,37,4
9,7,60,105,1,3,0,49,57,8
10,0,14,0,0,9,14,0,8,22
10,1,24,0,0,10,10,0,10,20
10,2,24,27,1,3,0,27,37,10
10,3,24,45,1,6,0,18,24,6
10,4,46,45,0,9,22,0,4,26
10,5,46,79,1,6,0,34,43,9
10,6,46,94,1,8,0,15,21,6
