RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
11,true,0,107,68,7,35,4,7
10,true,0,108,84,8,17,4,6
5,true,0,134,9,8,74,4,10
8,true,1,38,108,28,10,6,3
7,true,1,65,105,26,9,6,4
11,true,0,135,48,5,41,2,7
3,true,0,125,0,2,52,1,7
9,true,0,113,39,8,24,4,7
2,true,0,119,34,0,61,0,10
4,true,0,101,23,5,24,3,7
7,true,0,106,24,10,39,4,7
11,true,0,130,76,9,52,4,7
7,true,0,108,2,1,13,1,4
7,true,1,34,102,24,10,6,2
4,true,1,0,115,75,10,10,4
11,true,0,127,64,1,43,1,10
7,true,1,18,138,56,6,10,2
10,true,0,108,61,9,39,3,7
9,true,1,90,115,49,4,7,3
13,true,1,90,112,21,8,7,3
9,true,1,58,109,22,10,7,4
9,true,1,79,107,23,4,7,1
7,true,1,60,107,43,10,10,3
10,true,0,105,65,8,50,4,10
11,true,0,122,51,4,36,1,7
4,true,0,100,0,6,56,4,10
4,true,1,49,100,66,4,10,1
9,true,1,77,102,18,9,6,3
10,true,1,76,121,60,7,10,1
5,true,0,126,0,0,41,0,10
9,true,1,23,121,33,10,4,3
6,true,0,113,0,9,26,3,6
5,true,1,70,110,60,9,10,4
9,true,1,95,105,23,1,7,1
15,true,0,128,96,8,37,3,7
8,true,1,10,111,37,9,7,3
10,true,1,53,108,28,10,6,4
8,true,1,82,107,16,1,7,1
6,true,0,113,39,8,53,3,7
13,true,0,113,98,7,22,3,6
7,true,1,53,100,42,10,10,3
7,true,0,118,50,8,32,3,7
15,true,0,102,62,7,19,3,6
5,true,0,103,78,10,32,4,7
6,true,1,6,136,85,10,10,4
4,true,0,110,13,9,70,4,10
8,true,1,50,127,48,9,10,3
6,true,0,102,4,9,38,4,7
11,true,0,117,46,8,40,4,7
6,true,0,101,88,9,61,4,10
9,true,1,61,111,15,1,6,1
5,true,0,114,0,8,23,4,6
13,true,0,120,93,10,52,4,7
8,true,1,74,100,14,9,6,4
11,true,0,127,48,9,66,1,10
6,true,0,119,24,1,37,1,7
4,true,0,110,0,7,34,2,7
7,true,0,102,88,1,45,1,7
10,true,0,139,86,2,52,2,10
12,true,1,47,108,25,10,7,4
11,true,0,102,93,7,19,2,7
10,true,1,56,110,24,9,7,4
11,true,1,95,105,29,6,7,1
6,true,0,114,16,1,19,1,4
9,true,0,114,93,0,47,0,7
5,true,1,70,101,54,10,7,4
6,true,0,125,53,9,51,3,7
14,true,1,51,110,41,10,7,3
9,true,1,65,107,35,5,7,1
10,true,1,44,112,35,10,7,3
13,true,1,98,101,15,10,4,4
10,true,1,82,111,27,8,7,4
6,true,0,106,0,2,25,1,7
6,true,0,101,71,9,18,4,7
9,true,1,68,106,11,1,4,1
7,true,1,16,102,31,9,7,4
9,true,0,100,89,0,15,0,5
11,true,0,105,55,10,30,4,6
11,true,1,62,108,42,3,7,2
4,true,0,105,13,2,44,1,7
14,true,0,141,52,0,24,0,6
7,true,0,102,24,7,12,4,4
8,true,1,35,115,26,1,6,1
7,true,0,113,63,8,34,2,7
5,true,0,106,23,9,37,3,7
6,true,1,75,101,48,9,7,3
5,true,0,109,49,10,50,4,10
5,true,0,116,52,9,33,4,7
5,true,1,39,118,30,5,7,3
7,true,1,53,114,27,8,7,3
10,true,0,107,60,1,14,1,4
5,true,0,114,44,4,25,3,7
9,true,0,109,89,9,29,4,6
12,true,0,104,64,2,19,1,7
6,true,0,109,25,7,24,4,6
8,true,1,62,100,23,10,4,4
7,true,1,89,105,32,10,7,4
9,true,1,43,126,50,10,10,3
9,true,0,107,66,7,17,3,4
8,true,0,132,89,0,15,0,4
