RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
6,true,0,102,55,8,38,3,7
9,true,0,101,59,10,23,3,6
6,true,1,38,100,43,10,7,4
4,true,1,7,115,70,9,10,3
10,true,1,75,104,12,7,4,4
8,true,1,81,103,27,7,4,4
11,true,1,94,108,25,8,7,3
8,true,0,113,49,6,22,3,7
5,true,0,102,14,10,56,3,10
8,true,0,105,84,10,16,4,4
4,true,0,106,47,0,15,0,4
12,true,1,52,122,33,6,7,2
14,true,0,109,88,5,25,2,7
9,true,0,105,60,1,38,1,10
7,true,0,110,58,9,35,4,10
6,true,1,10,112,20,3,4,2
9,true,1,72,104,13,7,4,4
6,true,1,18,110,32,9,7,3
3,true,1,3,112,34,7,7,3
8,true,1,55,118,26,6,6,3
8,true,0,121,64,2,38,1,6
8,true,1,25,108,15,1,4,1
6,true,0,103,30,9,72,4,10
10,true,1,27,100,41,8,7,3
11,true,1,98,106,41,8,7,3
10,true,0,154,73,7,63,3,10
5,true,0,102,18,10,14,4,3
13,true,0,100,84,4,19,1,6
6,true,1,43,125,17,0,6,0
4,true,0,129,0,1,51,1,10
10,true,0,104,69,5,13,3,4
6,true,0,106,0,5,17,3,4
17,true,1,91,115,24,7,7,3
7,true,0,121,15,7,39,2,7
9,true,0,118,84,5,62,1,10
9,true,1,63,109,25,4,4,1
11,true,1,83,102,22,7,6,3
8,true,1,51,108,43,9,10,3
11,true,0,119,72,0,36,0,7
7,true,1,18,120,35,7,7,3
9,true,1,60,117,56,10,10,4
8,true,0,113,33,9,50,3,10
12,true,0,104,82,6,20,2,4
5,true,1,55,117,49,5,10,1
6,true,0,131,15,8,60,1,10
10,true,0,154,55,8,72,3,10
11,true,0,111,61,1,39,1,7
8,true,0,103,36,1,21,1,5
11,true,1,92,103,28,9,7,4
3,true,0,113,12,3,67,1,10
