RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
11,true,1,59,105,29,0,7,0
10,true,0,105,67,9,27,4,7
6,true,1,31,103,27,7,7,4
4,true,1,11,108,19,0,7,0
6,true,0,102,14,5,65,3,10
5,true,0,115,44,9,26,4,6
7,true,1,86,122,73,5,10,3
9,true,1,55,131,37,0,7,0
4,true,0,124,18,8,47,4,10
12,true,0,121,61,5,44,1,10
12,true,0,103,63,6,15,2,4
7,true,1,54,115,49,10,10,4
7,true,0,104,20,10,57,3,10
11,true,1,49,131,49,7,10,4
5,true,1,14,107,37,9,7,3
13,true,0,115,75,10,36,4,7
9,true,1,81,101,14,8,6,4
6,true,1,38,114,38,9,10,4
3,true,0,107,39,9,67,1,10
7,true,1,14,107,12,1,6,1
