RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
5,true,0,105,67,9,37,3,7
4,true,0,118,18,4,32,1,7
9,true,1,41,115,28,9,7,4
7,true,1,23,111,32,8,7,4
8,true,0,125,13,6,33,3,7
8,true,0,109,55,1,41,1,7
5,true,0,102,7,10,37,4,7
4,true,0,109,15,9,71,3,10
10,true,1,45,105,38,4,7,1
10,true,1,96,101,35,10,7,3
10,true,1,69,121,40,10,10,4
5,true,1,17,101,21,9,7,3
6,true,1,30,116,18,1,7,1
10,true,1,43,108,25,9,7,3
7,true,1,20,109,21,10,6,4
3,true,0,116,0,4,50,2,10
7,true,0,112,13,9,26,4,6
9,true,0,125,56,7,47,1,7
10,true,1,70,115,26,10,7,4
4,true,0,118,18,8,40,4,7
