RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
10,true,1,52,117,37,10,7,3
6,true,1,5,113,72,7,10,3
11,true,1,60,108,16,5,4,3
8,true,0,126,76,7,34,1,7
6,true,1,23,117,32,3,6,2
10,true,0,106,77,9,17,4,6
5,true,1,29,131,63,10,10,3
12,true,0,145,28,7,54,1,10
13,true,0,107,62,7,16,4,4
7,true,0,100,50,9,13,3,4
12,true,1,79,111,21,9,7,3
11,true,0,104,83,7,14,3,6
7,true,1,45,117,28,9,6,3
9,true,0,119,54,7,70,4,10
4,true,0,132,18,4,39,3,6
2,true,1,0,102,57,7,10,4
11,true,0,105,38,10,26,4,7
10,true,0,118,87,10,40,4,7
7,true,1,43,102,18,9,5,3
12,true,1,69,106,14,6,6,3
