RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
11,true,1,87,133,49,6,10,3
9,true,0,110,65,9,20,4,4
10,true,1,98,116,49,4,10,1
9,true,1,28,113,24,10,7,3
6,true,0,131,27,5,64,3,10
5,true,0,110,4,6,21,3,6
9,true,1,63,102,13,10,4,3
4,true,0,121,27,10,79,3,10
5,true,0,115,6,6,36,4,7
5,true,0,119,10,6,26,4,7
4,true,1,17,104,34,8,7,3
10,true,0,109,73,10,23,3,4
6,true,1,24,117,46,3,10,1
7,true,1,33,105,22,3,7,2
7,true,1,66,107,55,9,10,4
7,true,1,75,135,13,0,4,0
6,true,0,114,11,10,26,4,7
14,true,0,127,52,10,40,4,7
1,true,1,0,106,57,0,10,0
4,true,1,23,111,51,10,10,4
9,true,0,153,89,4,63,1,10
9,true,0,128,76,4,58,3,10
7,true,1,19,147,68,7,10,4
8,true,1,57,116,18,0,7,0
11,true,0,104,59,6,15,4,4
9,true,1,88,106,44,10,7,2
9,true,1,27,116,22,5,7,3
7,true,0,112,24,8,32,4,7
6,true,0,116,96,10,33,3,7
5,true,0,110,13,9,22,4,4
12,true,0,119,81,10,30,3,7
13,true,0,120,98,10,40,4,7
6,true,1,0,100,28,10,7,4
7,true,1,72,125,28,1,7,1
7,true,0,116,41,10,34,3,10
8,true,0,118,56,4,42,1,10
7,true,1,91,101,38,5,7,1
6,true,0,141,38,10,54,4,10
11,true,0,123,73,0,15,0,6
10,true,0,108,82,6,22,3,6
4,true,0,101,0,9,21,4,7
16,true,0,113,83,7,29,3,7
6,true,0,108,27,10,26,4,7
15,true,0,120,97,7,29,2,7
8,true,0,101,15,9,17,4,7
10,true,1,54,113,27,10,6,4
13,true,0,109,58,4,21,3,6
8,true,1,59,104,20,3,7,1
2,true,0,119,0,6,81,1,10
8,true,1,68,120,33,10,7,3
12,true,1,99,115,23,7,4,4
15,true,1,67,122,25,2,7,1
9,true,1,46,113,27,1,7,1
7,true,1,79,107,33,4,7,3
4,true,1,0,122,44,10,7,4
10,true,0,127,83,7,54,1,7
5,true,1,31,100,18,6,7,3
9,true,0,124,96,7,36,2,10
5,true,0,139,23,0,25,0,5
9,true,0,102,29,9,14,3,4
11,true,1,80,118,22,3,7,1
11,true,1,63,113,24,10,7,5
8,true,0,127,27,9,41,4,7
9,true,1,79,105,16,9,7,3
7,true,1,22,117,71,8,10,4
11,true,1,40,129,38,2,7,1
13,true,0,115,97,7,25,3,7
8,true,0,120,67,6,40,4,6
7,true,0,123,30,8,33,4,7
11,true,0,115,32,7,25,2,7
4,true,1,27,111,41,0,7,0
9,true,0,125,56,2,46,1,7
9,true,0,135,66,10,52,4,10
8,true,1,72,116,43,8,10,4
14,true,1,52,119,22,2,7,1
8,true,1,47,117,30,9,7,4
11,true,0,102,58,6,26,3,7
9,true,0,110,61,7,30,4,7
11,true,1,60,128,38,9,7,4
8,true,1,48,118,30,0,7,0
4,true,0,104,59,8,47,4,10
8,true,0,115,3,10,30,4,7
7,true,0,107,25,3,27,1,6
9,true,0,105,63,10,47,4,7
6,true,1,46,109,43,10,10,4
8,true,1,29,119,29,3,7,1
8,true,0,103,52,10,14,4,6
7,true,1,64,116,55,7,10,4
8,true,0,124,81,10,35,4,10
4,true,0,129,7,0,11,0,3
7,true,1,36,103,12,6,3,3
7,true,0,102,50,7,30,2,7
6,true,0,118,16,10,58,4,10
4,true,1,26,107,49,0,7,0
11,true,1,90,148,63,7,10,3
9,true,0,120,65,2,29,1,6
5,true,0,102,16,9,22,5,5
14,true,1,95,100,21,8,4,3
9,true,0,111,89,7,71,3,10
6,true,1,41,106,43,1,10,1
