RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
9,true,1,53,101,38,10,7,3
10,true,0,123,19,10,49,4,7
8,true,0,134,71,10,55,4,10
12,true,0,119,60,6,49,2,10
4,true,1,26,101,46,9,7,4
6,true,0,102,7,10,36,3,7
5,true,0,115,0,2,24,1,7
8,true,1,58,109,14,1,4,1
6,true,0,108,12,8,35,1,7
6,true,1,45,113,49,6,10,3
11,true,1,69,107,28,10,4,3
8,true,1,68,102,14,9,4,3
5,true,0,105,25,9,73,3,10
3,true,1,0,101,46,10,7,4
10,true,0,119,65,10,58,4,10
6,true,1,20,112,36,4,7,1
4,true,0,101,14,9,50,4,10
7,true,0,112,36,10,33,4,7
12,true,0,116,80,7,41,3,7
8,true,0,102,88,9,15,4,4
9,true,1,73,103,31,9,7,3
13,true,1,94,112,26,8,7,2
10,true,1,83,124,35,9,7,3
13,true,0,101,97,9,15,4,5
5,true,0,115,0,8,33,4,6
5,true,0,101,14,9,33,3,7
5,true,0,126,51,8,63,4,10
9,true,0,101,57,7,17,3,7
6,true,1,63,116,71,8,10,3
5,true,0,108,18,7,19,3,6
5,true,0,125,23,7,57,4,10
6,true,0,137,38,7,56,4,7
7,true,1,77,104,30,0,7,0
6,true,0,132,77,10,68,4,10
13,true,1,74,119,26,3,6,2
11,true,1,38,131,37,5,7,3
10,true,1,81,184,63,0,10,0
3,true,0,104,16,8,56,1,10
6,true,1,83,107,74,10,10,4
7,true,0,115,37,4,26,1,7
10,true,0,118,27,10,37,4,7
10,true,0,102,67,9,35,3,7
11,true,1,86,107,33,10,7,4
7,true,0,121,56,7,30,3,7
10,true,1,39,102,22,9,6,3
8,true,1,52,109,33,8,7,3
11,true,0,105,81,7,13,4,4
11,true,1,14,116,29,8,7,4
10,true,1,73,111,24,7,4,3
10,true,0,103,55,8,16,3,3
