RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
10,true,0,129,69,6,48,4,7
10,true,1,79,101,29,9,6,4
12,true,1,96,131,46,6,7,3
9,true,1,78,108,12,2,4,1
9,true,0,107,44,10,26,4,7
11,true,0,103,84,9,25,4,7
2,true,0,102,4,8,68,3,10
8,true,1,21,109,86,9,10,1
7,true,0,106,37,9,37,4,10
7,true,0,109,27,2,32,1,10
5,true,1,19,102,42,0,7,0
6,true,0,134,28,1,45,1,10
8,true,1,27,146,24,0,7,0
11,true,1,65,102,22,8,7,4
4,true,1,0,100,18,4,7,1
6,true,1,76,144,59,7,10,3
9,true,0,118,98,8,37,4,7
10,true,0,120,58,2,24,1,7
8,true,0,100,62,8,31,3,7
10,true,1,82,100,15,7,4,3
8,true,0,110,78,8,19,4,6
6,true,0,107,24,5,30,1,7
8,true,0,102,51,8,23,3,6
8,true,0,101,66,10,20,3,6
11,true,0,125,97,10,44,4,7
4,true,0,106,0,3,11,1,4
9,true,0,104,69,6,51,3,10
8,true,1,53,116,52,6,10,4
5,true,1,2,108,19,5,7,3
9,true,1,73,106,29,7,7,3
16,true,1,87,108,21,10,7,4
13,true,1,92,120,34,7,7,3
8,true,0,105,43,6,32,3,6
3,true,0,107,18,3,29,1,7
9,true,1,30,104,19,6,7,4
14,true,0,131,73,5,41,2,7
9,true,0,102,71,4,31,1,7
9,true,1,38,103,34,9,7,4
5,true,1,42,107,32,10,7,4
9,true,0,120,85,6,47,4,7
8,true,0,102,49,8,11,4,4
10,true,1,60,106,32,4,7,3
7,true,0,105,54,4,13,1,4
7,true,1,58,102,24,9,7,4
2,true,1,0,102,33,4,7,1
9,true,0,122,56,0,40,0,10
6,true,1,61,121,35,10,7,4
10,true,1,87,156,65,8,10,4
14,true,0,108,78,10,19,4,4
8,true,1,71,107,41,8,10,4
