RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
9,true,1,79,105,30,8,7,4
8,true,0,126,32,0,25,0,7
8,true,0,124,51,8,37,4,6
9,true,1,40,103,14,2,6,1
7,true,1,51,116,12,0,4,0
13,true,0,112,99,10,33,4,7
10,true,0,104,46,6,19,4,6
8,true,0,114,46,9,25,3,7
6,true,0,133,52,6,53,3,7
7,true,0,112,45,0,25,0,4
10,true,0,102,92,10,21,3,3
10,true,1,67,102,12,9,4,4
5,true,1,60,110,57,2,10,1
8,true,1,31,102,14,7,4,3
2,true,0,104,0,4,29,2,7
8,true,0,123,31,9,33,5,7
15,true,1,95,106,20,10,6,4
2,true,0,100,0,7,32,3,7
11,true,0,106,83,8,16,2,2
3,true,0,107,43,7,50,4,10
6,true,0,146,12,6,60,1,10
2,true,0,105,0,8,72,4,10
14,true,0,107,75,6,22,3,6
8,true,0,128,51,5,45,2,7
3,true,0,119,11,7,35,3,7
8,true,0,118,49,2,21,1,7
9,true,0,104,38,6,29,2,7
9,true,0,103,60,7,23,3,7
11,true,1,73,108,34,8,7,3
7,true,1,27,111,52,6,10,2
5,true,1,46,107,24,0,7,0
8,true,1,76,100,47,9,10,3
9,true,1,50,102,17,8,4,4
15,true,0,107,71,9,23,3,7
15,true,0,112,95,9,24,4,7
9,true,0,129,73,3,65,1,10
10,true,1,75,121,18,0,5,0
8,true,1,46,109,26,5,7,3
9,true,0,115,59,9,40,4,7
13,true,1,81,124,65,6,10,3
13,true,1,80,118,59,7,10,3
7,true,0,101,56,8,11,3,3
6,true,0,112,36,7,45,4,10
8,true,0,100,50,9,13,4,6
7,true,0,133,55,6,60,2,10
9,true,0,132,82,6,41,2,7
5,true,1,15,107,20,10,6,4
13,true,0,118,91,10,46,4,7
12,true,0,100,51,8,38,4,7
2,true,1,0,101,11,9,3,4
