RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
6,true,0,125,21,8,47,4,6
10,true,0,108,61,9,44,3,7
5,true,0,121,37,9,49,3,10
9,true,0,104,44,10,50,4,10
9,true,0,109,59,7,21,3,4
5,true,1,36,127,39,0,7,0
5,true,0,103,19,7,16,3,3
8,true,1,62,100,29,4,7,1
8,true,0,109,57,7,18,4,4
6,true,1,27,118,31,4,7,2
10,true,0,105,76,8,38,4,10
9,true,0,132,31,9,48,4,7
8,true,1,52,122,33,8,7,3
12,true,0,102,82,10,32,4,7
4,true,1,55,100,36,10,7,4
12,true,0,104,65,7,26,4,7
10,true,0,103,13,9,18,4,4
8,true,1,14,146,58,9,10,4
5,true,1,5,105,16,1,6,1
7,true,1,15,118,32,9,7,3
7,true,1,17,108,25,7,7,1
8,true,0,151,59,1,59,1,10
7,true,0,113,49,5,25,3,6
8,true,0,108,24,8,34,3,7
12,true,1,97,102,19,9,6,4
8,true,0,101,84,7,17,4,7
6,true,0,101,43,0,12,0,4
14,true,0,106,98,8,19,4,4
5,true,1,34,109,28,3,7,2
7,true,1,40,130,46,8,10,3
8,true,1,22,129,40,10,7,4
8,true,0,106,47,0,28,0,7
6,true,0,130,27,7,56,3,10
11,true,1,86,114,20,3,7,2
5,true,0,109,3,1,38,1,7
10,true,0,105,32,9,19,4,6
10,true,0,123,61,10,66,5,10
6,true,1,83,101,48,8,10,3
7,true,1,15,100,60,3,10,1
8,true,0,105,32,8,42,3,7
7,true,1,90,120,68,7,10,4
7,true,0,100,81,7,44,2,7
6,true,0,106,3,6,14,1,4
7,true,1,37,103,23,10,7,3
3,true,0,108,33,9,23,3,7
2,true,0,100,0,3,24,2,7
9,true,0,111,60,1,41,1,10
5,true,1,35,101,15,8,4,3
8,true,1,90,109,17,7,7,4
6,true,0,104,41,4,49,1,7
12,true,1,82,110,29,9,7,3
8,true,1,32,108,33,9,7,2
7,true,0,113,75,7,42,4,7
3,true,0,125,11,6,58,1,7
10,true,1,35,104,16,10,6,3
7,true,1,82,101,24,4,7,1
4,true,0,117,4,1,38,1,7
5,true,1,18,108,33,7,7,3
10,true,0,114,74,6,24,4,7
8,true,0,104,95,8,14,3,3
7,true,0,107,51,8,16,3,4
13,true,0,101,90,7,18,2,6
13,true,1,93,109,18,5,7,2
7,true,1,4,122,37,9,7,3
9,true,1,99,114,41,8,7,3
9,true,0,102,80,10,21,3,7
8,true,1,98,118,31,9,7,4
12,true,0,104,43,5,13,1,3
12,true,1,82,112,23,8,7,3
9,true,1,82,100,38,9,7,3
3,true,1,0,100,49,1,10,1
8,true,1,56,108,19,0,6,0
10,true,1,81,138,43,0,6,0
11,true,0,154,18,2,68,2,10
10,true,0,108,97,3,12,1,4
5,true,1,48,112,35,4,10,3
5,true,0,105,22,5,50,2,7
11,true,1,81,143,58,5,10,1
7,true,0,121,38,9,32,4,7
11,true,1,85,105,38,4,7,1
8,true,0,102,98,6,26,2,7
5,true,0,127,38,10,65,1,10
3,true,1,0,102,43,10,7,4
8,true,1,49,100,32,9,7,4
6,true,0,102,37,3,40,1,7
7,true,0,103,76,1,51,1,10
11,true,0,104,76,1,16,1,6
6,true,1,22,104,17,10,7,4
9,true,1,36,114,33,10,7,4
8,true,1,30,100,12,1,4,1
13,true,0,122,57,10,37,4,7
10,true,1,74,101,15,7,4,3
10,true,1,89,116,29,8,7,4
14,true,1,76,119,27,6,7,3
4,true,1,30,112,14,1,6,1
5,true,0,105,0,3,11,1,4
6,true,0,109,25,9,27,3,7
8,true,0,102,82,7,19,2,7
10,true,0,111,82,6,19,4,7
11,true,1,64,139,15,0,4,0
9,true,1,84,119,31,7,7,4
12,true,1,52,134,59,10,10,4
7,true,1,97,112,34,7,7,3
7,true,0,128,36,5,61,1,10
4,true,0,104,10,6,60,2,10
8,true,0,106,51,9,27,3,7
