RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
7,true,1,18,114,22,7,6,3
7,true,1,27,108,15,1,4,1
10,true,0,114,56,10,29,4,7
5,true,0,100,4,1,15,1,6
3,true,0,103,14,0,26,0,7
5,true,0,106,38,0,13,0,3
9,true,1,71,117,34,9,7,3
7,true,0,104,29,10,29,4,7
11,true,0,118,85,7,54,3,10
8,true,0,102,74,7,33,3,7
8,true,0,101,83,8,15,4,4
5,true,0,112,9,9,26,3,7
10,true,1,43,106,21,9,4,4
8,true,1,24,141,62,10,10,4
6,true,1,15,129,40,10,7,3
5,true,0,106,22,7,23,3,4
5,true,1,16,104,33,0,7,0
12,true,1,72,104,14,8,6,4
4,true,0,123,14,9,74,3,10
14,true,1,91,104,22,7,7,3
9,true,0,105,43,7,14,3,6
5,true,0,114,21,10,36,3,7
6,true,0,114,44,7,43,2,10
7,true,0,102,21,2,18,1,4
5,true,1,33,129,54,10,10,4
5,true,0,148,35,10,69,4,10
6,true,1,63,120,60,9,10,4
6,true,0,101,8,4,18,1,7
6,true,0,118,35,2,38,1,7
13,true,1,93,102,17,6,6,3
8,true,0,104,50,5,12,3,5
14,true,1,70,117,27,9,7,3
8,true,0,109,71,9,23,4,6
8,true,0,133,47,10,62,3,10
16,true,0,109,99,3,49,1,7
9,true,1,31,107,23,3,7,1
9,true,1,65,134,61,7,10,4
10,true,1,47,138,25,0,7,0
6,true,0,128,73,7,64,3,10
10,true,0,113,83,8,29,4,7
13,true,0,122,36,7,31,3,6
6,true,0,117,58,5,29,1,7
11,true,0,110,96,9,53,3,10
11,true,1,77,122,44,9,7,2
14,true,1,66,114,35,8,7,3
12,true,1,81,135,48,10,10,3
4,true,1,5,136,56,9,7,4
10,true,1,68,123,35,10,7,3
9,true,1,86,102,32,7,6,3
4,true,0,111,11,6,23,2,6
