RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
7,TRUE,1,44,103,55,3,10,2
10,TRUE,0,104,77,6,22,3,7
6,TRUE,0,135,0,7,47,4,7
11,TRUE,1,51,123,41,9,7,4
5,TRUE,0,100,5,10,49,4,10
6,TRUE,0,104,83,2,60,1,10
9,TRUE,0,150,86,9,67,4,10
10,TRUE,0,108,91,8,18,4,4
6,TRUE,0,107,10,10,20,4,4
6,TRUE,0,105,52,4,25,3,4
7,TRUE,1,67,115,32,5,7,1
10,TRUE,1,98,128,73,8,10,4
5,TRUE,1,65,100,51,10,10,4
4,TRUE,1,64,100,12,7,4,3
6,TRUE,0,101,48,8,32,3,6
11,TRUE,0,109,83,10,57,4,10
8,TRUE,0,106,54,8,15,4,4
7,TRUE,0,146,18,6,61,4,7
9,TRUE,0,115,69,10,45,3,7
7,TRUE,0,111,73,10,28,4,6
9,TRUE,1,98,111,14,2,6,1
8,TRUE,0,101,61,6,26,3,6
6,TRUE,0,100,54,9,26,3,7
8,TRUE,1,95,119,54,9,10,4
5,TRUE,0,103,45,7,45,2,7
6,TRUE,1,95,114,44,9,7,4
4,TRUE,1,20,119,14,0,4,0
8,TRUE,0,108,26,1,18,1,6
5,TRUE,1,24,107,27,10,6,4
9,TRUE,0,106,70,10,61,3,10
6,TRUE,0,120,48,8,72,4,10
9,TRUE,0,101,94,2,12,1,4
5,TRUE,0,101,38,8,16,4,7
4,TRUE,0,102,17,6,30,1,7
11,TRUE,0,102,64,6,17,3,3
13,TRUE,0,131,82,7,43,3,7
4,TRUE,0,108,0,8,40,4,7
4,TRUE,0,105,18,9,32,3,7
3,TRUE,0,125,11,10,49,4,7
5,TRUE,0,134,48,9,59,4,10
3,TRUE,1,0,117,60,10,10,4
7,TRUE,1,99,116,11,0,4,0
9,TRUE,1,62,111,23,8,7,4
7,TRUE,0,169,25,0,51,0,7
8,TRUE,1,91,118,46,5,10,1
6,TRUE,1,75,119,26,6,7,2
10,TRUE,0,106,43,3,17,2,6
9,TRUE,0,113,85,2,47,1,7
4,TRUE,0,106,68,1,37,1,7
4,TRUE,0,112,35,9,38,4,7
5,TRUE,0,108,35,1,36,1,7
5,TRUE,0,100,62,8,52,3,7
14,TRUE,0,164,74,8,77,4,10
4,TRUE,0,111,31,4,42,1,6
4,TRUE,1,34,133,43,0,10,0
5,TRUE,0,107,40,9,45,4,7
8,TRUE,1,87,104,11,4,3,2
10,TRUE,1,84,115,41,0,7,0
12,TRUE,0,105,68,8,15,4,3
7,TRUE,0,113,62,9,25,4,4
9,TRUE,0,151,45,0,35,0,7
8,TRUE,0,136,49,7,46,3,10
5,TRUE,0,128,0,2,37,1,7
9,TRUE,0,119,64,2,22,1,4
9,TRUE,0,112,68,1,27,1,7
6,TRUE,0,103,86,6,30,1,7
10,TRUE,0,129,61,10,45,4,7
8,TRUE,0,140,61,8,57,3,7
6,TRUE,0,115,45,10,70,4,10
3,TRUE,0,134,21,9,68,3,10
8,TRUE,0,122,71,3,55,1,10
8,TRUE,1,68,138,33,0,7,0
4,TRUE,1,41,103,40,8,10,2
9,TRUE,0,123,55,9,40,4,7
9,TRUE,1,54,102,16,0,3,0
7,TRUE,0,120,81,9,32,4,7
3,TRUE,0,104,0,6,36,3,7
7,TRUE,0,108,20,9,54,3,10
5,TRUE,0,131,6,2,62,1,10
7,TRUE,0,104,98,2,28,1,6
7,TRUE,0,109,87,0,48,0,10
3,TRUE,0,142,0,9,57,4,10
4,TRUE,0,141,19,7,60,2,10
8,TRUE,0,109,53,9,47,2,7
5,TRUE,0,105,96,4,56,1,10
8,TRUE,0,109,88,10,48,4,7
9,TRUE,0,108,87,1,11,1,4
5,TRUE,0,119,43,1,33,1,7
3,TRUE,0,131,12,10,67,3,10
3,TRUE,0,101,10,10,71,3,10
6,TRUE,0,125,36,5,32,2,7
3,TRUE,0,114,26,10,46,4,7
14,TRUE,0,104,81,8,16,3,6
4,TRUE,0,111,7,5,24,2,6
7,TRUE,1,44,122,42,10,7,3
4,TRUE,0,116,2,7,71,3,10
7,TRUE,1,25,116,21,1,7,1
4,TRUE,0,111,28,10,33,3,7
8,TRUE,0,115,53,6,22,3,6
7,TRUE,0,100,58,10,13,4,4
9,TRUE,1,76,108,49,10,10,3
9,TRUE,1,90,108,42,10,7,4
8,TRUE,0,112,77,9,48,4,10
10,TRUE,0,116,41,8,26,4,7
3,TRUE,0,101,19,7,37,3,7
7,TRUE,0,111,70,5,65,1,10
4,TRUE,0,115,11,10,60,3,10
7,TRUE,0,114,62,10,34,4,7
3,TRUE,0,102,62,9,41,4,7
11,TRUE,0,100,94,7,37,4,7
6,TRUE,1,21,139,18,0,6,0
9,TRUE,0,129,84,4,63,1,10
4,TRUE,1,0,155,73,5,10,2
6,TRUE,0,105,45,10,70,3,10
8,TRUE,0,146,83,0,22,0,4
9,TRUE,1,73,104,34,3,6,1
2,TRUE,1,0,146,59,3,10,1
9,TRUE,1,99,105,52,9,10,4
7,TRUE,0,111,50,5,49,1,10
11,TRUE,1,56,118,33,8,7,4
8,TRUE,0,101,46,8,38,4,7
10,TRUE,0,136,93,8,46,3,10
7,TRUE,0,112,24,3,43,1,7
10,TRUE,0,111,70,2,25,1,7
5,TRUE,0,120,0,6,29,3,7
7,TRUE,0,111,52,10,34,4,7
8,TRUE,0,107,97,7,32,4,7
5,TRUE,0,143,9,0,34,0,7
4,TRUE,1,0,138,17,0,6,0
5,TRUE,0,100,24,4,18,1,4
4,TRUE,0,149,46,4,64,1,10
3,TRUE,0,117,12,4,68,3,10
5,TRUE,0,110,4,3,43,1,7
7,TRUE,0,120,71,10,40,3,7
8,TRUE,0,103,22,1,11,1,3
5,TRUE,1,21,108,22,0,6,0
7,TRUE,0,110,99,2,33,1,7
4,TRUE,0,148,4,2,55,1,7
12,TRUE,1,98,122,34,10,7,4
9,TRUE,0,109,78,7,18,4,3
6,TRUE,1,80,109,19,1,7,1
4,TRUE,0,108,13,1,50,1,7
5,TRUE,0,102,2,6,18,3,4
5,TRUE,1,41,161,70,6,10,2
7,TRUE,1,56,104,25,10,6,3
10,TRUE,1,90,100,44,6,10,3
8,TRUE,0,110,24,8,27,4,7
3,TRUE,0,121,0,6,66,1,10
5,TRUE,0,106,16,4,39,1,7
7,TRUE,1,95,115,49,0,10,0
8,TRUE,1,57,106,29,8,7,4
12,TRUE,0,117,88,8,30,3,6
7,TRUE,0,116,82,5,30,3,7
5,TRUE,0,116,18,5,29,1,4
5,TRUE,0,112,31,10,31,4,7
7,TRUE,0,126,43,8,44,4,7
8,TRUE,1,27,101,11,8,4,3
7,TRUE,1,23,101,20,7,4,3
6,TRUE,0,105,12,10,40,4,7
5,TRUE,0,100,21,8,16,3,4
6,TRUE,0,108,50,7,37,3,7
3,TRUE,1,0,111,48,1,10,1
11,TRUE,0,115,82,8,26,2,7
7,TRUE,0,148,69,9,72,4,10
11,TRUE,1,72,109,56,10,10,4
8,TRUE,1,59,107,18,4,4,1
4,TRUE,1,36,101,19,9,4,4
5,TRUE,0,119,19,9,40,4,6
6,TRUE,0,112,16,9,32,3,4
4,TRUE,1,99,102,43,3,7,1
4,TRUE,1,35,103,48,8,10,3
6,TRUE,0,118,52,4,44,1,10
3,TRUE,0,134,50,0,58,0,10
7,TRUE,1,24,123,37,3,7,1
10,TRUE,0,101,72,8,11,3,3
5,TRUE,0,139,13,10,57,3,10
4,TRUE,1,0,128,50,3,10,1
3,TRUE,0,114,0,6,43,3,7
4,TRUE,0,113,7,6,36,3,7
9,TRUE,0,111,72,7,38,2,7
6,TRUE,0,144,11,6,66,1,10
6,TRUE,0,132,20,7,60,2,10
6,TRUE,1,75,111,26,0,7,0
8,TRUE,0,105,42,8,23,4,4
5,TRUE,0,109,60,7,37,3,7
8,TRUE,0,133,41,0,31,0,7
4,TRUE,0,122,40,7,54,4,10
8,TRUE,0,108,67,6,26,3,6
3,TRUE,0,120,0,1,63,1,10
6,TRUE,0,123,20,8,66,4,10
2,TRUE,0,115,0,8,61,4,10
3,TRUE,1,41,107,57,9,10,4
8,TRUE,0,112,83,9,28,3,7
6,TRUE,0,104,40,8,28,3,7
4,TRUE,0,107,1,10,30,4,7
6,TRUE,0,147,51,0,53,0,7
7,TRUE,1,41,107,32,8,7,3
7,TRUE,0,127,58,8,57,4,10
9,TRUE,1,67,132,35,1,7,1
4,TRUE,0,102,11,2,25,1,7
7,TRUE,0,140,62,0,34,0,7
7,TRUE,0,109,54,1,45,1,10
7,TRUE,0,116,77,9,57,2,10
7,TRUE,1,37,115,30,9,7,3
8,TRUE,1,80,125,65,6,10,4
7,TRUE,0,126,91,10,49,4,7
9,TRUE,1,62,113,35,7,7,3
8,TRUE,0,100,73,10,22,4,4
2,TRUE,0,126,0,3,44,1,7
4,TRUE,0,114,29,1,40,1,7
7,TRUE,1,37,107,35,10,6,3
6,TRUE,0,104,81,2,16,1,4
4,TRUE,0,107,0,4,28,1,7
5,TRUE,0,119,19,3,33,2,7
